,data_ind,lambd,p,nnz,true_label,ones_label,exbs_label,ones_mu_label,exbs_mu_label,ones_gap,exbs_gap,ones_mu_gap,exbs_mu_gap,inc_init_r_max,inc_curr_r_max,inc_max_dist,inc_num_resets,inc_num_ces,dec_init_r_max,dec_curr_r_max,dec_max_dist,dec_num_resets,dec_num_ces
0,0,0.125,64,16,395,30,30,30,26,0.125,0.0,0.3125,1.0,8,0,0,0,1,8,0,0,0,1
1,1,0.125,64,16,838,836,433,838,838,0.0625,0.0,0.75,1.0,8,1,4,9,4,8,0,0,0,1
2,2,0.125,64,16,873,873,873,873,873,0.6875,0.625,1.0,1.0,32,32,30,6,0,32,32,32,4,0
3,3,0.125,64,16,2,2,2,2,2,1.0,0.5625,1.0,1.0,32,32,29,5,0,32,32,32,4,0
4,4,0.125,64,16,534,534,534,534,534,0.6875,0.125,1.0,1.0,32,32,29,6,0,32,32,32,4,0
5,5,0.125,64,16,269,269,235,269,269,0.25,0.0,1.0,1.0,8,0,0,0,1,8,7,8,12,1
6,6,0.125,64,16,885,709,21,709,709,0.5625,0.0625,0.5,1.0,8,0,0,0,1,8,7,8,11,1
7,7,0.125,64,16,590,810,674,590,590,0.25,0.125,1.0,1.0,8,0,0,0,1,8,1,3,3,3
8,8,0.125,64,16,133,133,133,133,133,0.875,0.6875,1.0,1.0,32,32,24,5,0,32,32,32,4,0
9,9,0.125,64,16,280,715,270,280,280,0.0625,0.0,1.0,1.0,8,0,0,0,1,8,0,0,0,1
10,10,0.125,64,16,211,168,211,211,211,0.1875,0.1875,1.0,1.0,16,13,16,5,1,8,2,4,23,3
11,11,0.125,64,16,464,512,21,512,512,0.0,0.0625,1.0,1.0,8,0,0,0,1,8,1,3,7,3
12,12,0.125,64,16,800,800,674,800,800,0.25,0.0,1.0,1.0,8,1,5,20,4,8,5,8,13,2
13,13,0.125,64,16,66,329,674,66,66,0.0625,0.0625,0.875,1.0,8,0,0,0,1,8,0,0,0,1
14,14,0.125,64,16,587,587,103,587,587,0.3125,0.0,1.0,1.0,8,0,0,0,1,8,6,7,12,2
15,15,0.125,64,16,975,733,147,975,144,0.0,0.125,0.6875,1.0,8,0,0,0,1,8,0,0,0,1
16,16,0.125,64,16,889,481,466,401,889,0.0625,0.0,0.0,1.0,8,1,4,4,4,8,0,0,0,1
17,17,0.125,64,16,774,549,708,774,774,0.0,0.0,0.6875,1.0,8,0,0,0,1,8,0,0,0,1
18,18,0.125,64,16,138,138,138,138,138,0.875,0.375,1.0,1.0,32,32,25,6,0,32,32,32,4,0
19,19,0.125,64,16,956,956,956,956,956,0.1875,0.25,1.0,1.0,8,0,0,0,1,16,11,11,8,1
20,20,0.125,64,16,569,569,569,569,569,0.8125,0.125,1.0,1.0,8,0,0,0,1,32,25,31,5,3
21,21,0.125,64,16,214,214,214,214,214,0.125,0.0,1.0,1.0,8,0,0,0,1,16,11,14,7,4
22,22,0.125,64,16,97,97,88,97,97,0.375,0.0,1.0,1.0,8,0,0,0,1,8,4,4,16,2
23,23,0.125,64,16,919,919,919,919,919,0.25,0.1875,1.0,1.0,32,32,31,5,0,32,32,26,4,0
24,24,0.125,64,16,213,213,213,213,213,0.875,0.3125,1.0,1.0,32,32,24,5,0,32,32,32,3,0
25,25,0.125,64,16,233,261,261,170,170,0.0625,0.0625,0.25,1.0,8,1,3,4,4,8,4,8,14,2
26,26,0.125,64,16,489,489,91,489,489,0.25,0.0,1.0,1.0,8,0,0,0,1,8,7,7,11,1
27,27,0.125,64,16,465,465,750,414,414,0.1875,0.0625,0.4375,1.0,8,0,0,0,1,8,2,5,21,3
28,28,0.125,64,16,118,118,118,118,118,0.625,0.1875,1.0,1.0,8,1,8,4,3,32,31,32,3,1
29,29,0.125,64,16,675,412,458,412,412,0.0,0.0625,1.0,1.0,32,19,25,6,2,16,14,16,6,1
30,30,0.125,64,16,327,329,815,327,329,0.0,0.0625,0.6875,1.0,8,1,1,2,2,8,0,0,0,1
31,31,0.125,64,16,784,695,894,695,695,0.125,0.0625,1.0,1.0,8,0,0,0,1,8,4,7,14,4
32,32,0.125,64,16,190,216,153,190,190,0.0,0.25,1.0,1.0,8,7,8,11,1,8,0,0,0,1
33,33,0.125,64,16,545,518,479,545,545,0.125,0.0,1.0,1.0,8,0,0,0,1,8,4,4,16,1
34,34,0.125,64,16,506,506,403,506,506,0.1875,0.0,1.0,1.0,8,0,0,0,1,8,5,8,12,3
35,35,0.125,64,16,480,877,399,480,877,0.0625,0.0,0.0,1.0,8,1,0,2,2,8,1,3,9,4
36,36,0.125,64,16,133,16,16,133,133,0.625,0.0625,1.0,1.0,8,0,0,0,1,32,22,25,7,3
37,37,0.125,64,16,886,886,886,886,886,1.0,0.25,1.0,1.0,32,32,22,5,0,32,32,32,4,0
38,38,0.125,64,16,967,762,762,762,762,0.25,0.1875,0.625,1.0,8,2,6,19,4,8,4,6,13,3
39,39,0.125,64,16,643,929,542,629,629,0.0625,0.0,0.8125,1.0,8,0,0,0,1,8,0,0,0,1
40,40,0.125,64,16,562,445,838,838,842,0.0,0.0,0.1875,1.0,8,0,0,0,1,8,0,0,0,1
41,41,0.125,64,16,396,55,108,396,396,0.0625,0.0625,0.875,1.0,8,1,3,3,2,8,5,5,14,1
