,data_ind,lambd,p,nnz,true_label,ones_label,exbs_label,ones_mu_label,exbs_mu_label,ones_gap,exbs_gap,ones_mu_gap,exbs_mu_gap,inc_init_r_max,inc_curr_r_max,inc_max_dist,inc_num_resets,inc_num_ces,dec_init_r_max,dec_curr_r_max,dec_max_dist,dec_num_resets,dec_num_ces
0,0,0.5,29,8,1,1,1,1,1,1.0,1.0,1.0,1.0,14,14,13,6,0,14,14,14,7,0
1,1,0.5,23,6,2,2,2,2,2,0.5,0.875,1.0,1.0,2,0,0,0,1,2,1,2,2,1
2,2,0.5,37,10,2,2,2,2,2,0.75,1.0,1.0,1.0,18,18,14,5,0,18,18,18,6,0
3,3,0.5,22,6,1,1,1,2,2,0.0,0.0,1.0,1.0,11,6,6,12,1,5,3,4,17,2
4,4,0.5,33,9,2,2,2,2,2,1.0,0.875,1.0,1.0,16,16,12,7,0,16,16,16,4,0
5,5,0.5,21,6,0,1,1,0,0,0.0,0.0,1.0,1.0,2,0,0,0,1,5,3,3,21,1
6,6,0.5,38,10,1,1,1,1,1,0.875,1.0,1.0,1.0,9,5,6,11,3,9,4,8,13,4
7,7,0.5,27,7,2,2,2,2,2,0.8125,0.875,1.0,1.0,13,13,12,7,0,13,13,13,8,0
8,8,0.5,23,6,2,2,2,2,2,0.625,0.5,1.0,1.0,11,11,11,8,0,11,11,11,6,0
9,9,0.5,22,6,2,1,1,2,2,0.25,0.25,1.0,1.0,2,0,0,0,1,2,0,0,0,1
10,10,0.5,35,9,2,2,2,2,2,1.0,0.875,1.0,1.0,17,17,15,6,0,17,17,17,7,0
11,11,0.5,21,6,0,1,1,0,0,0.625,1.0,0.875,1.0,10,10,10,9,0,10,10,10,8,0
12,12,0.5,31,8,1,1,1,1,1,1.0,0.875,1.0,1.0,15,15,14,6,0,15,15,15,5,0
13,13,0.5,17,5,2,2,2,2,2,0.875,0.625,1.0,1.0,8,8,6,11,0,8,8,8,10,0
14,14,0.5,29,8,1,1,1,1,1,1.0,1.0,1.0,1.0,14,14,13,7,0,14,14,14,6,0
15,15,0.5,28,7,1,1,1,1,2,0.0,0.25,0.0,1.0,3,0,0,0,1,3,0,0,0,1
16,16,0.5,33,9,1,1,1,1,1,1.0,1.0,1.0,1.0,16,16,13,5,0,16,16,16,5,0
17,17,0.5,38,10,1,1,1,1,2,0.25,0.375,0.375,1.0,4,2,2,25,1,4,0,0,0,1
18,18,0.5,23,6,1,1,1,1,2,0.875,0.125,0.75,1.0,2,0,0,0,1,5,2,4,19,3
19,19,0.5,31,8,1,1,1,1,1,0.75,0.875,0.75,1.0,3,0,0,0,1,7,3,6,19,3
20,20,0.5,19,5,1,1,0,0,0,0.0,0.75,0.75,1.0,9,4,5,16,2,2,0,0,0,1
21,21,0.5,40,10,2,2,2,2,2,1.0,0.875,1.0,1.0,20,20,19,6,0,20,20,20,5,0
22,22,0.5,25,7,2,1,1,1,1,0.0,1.0,0.0,1.0,12,8,10,10,2,3,0,0,0,1
23,23,0.5,43,11,2,2,1,2,1,0.0625,1.0,0.1875,1.0,5,0,0,0,1,5,0,0,0,1
