,data_ind,lambd,p,nnz,true_label,ones_label,exbs_label,ones_mu_label,exbs_mu_label,ones_gap,exbs_gap,ones_mu_gap,exbs_mu_gap,inc_init_r_max,inc_curr_r_max,inc_max_dist,inc_num_resets,inc_num_ces,dec_init_r_max,dec_curr_r_max,dec_max_dist,dec_num_resets,dec_num_ces
0,0,0.25,64,16,395,26,973,26,26,0.375,0.0625,1.0,1.0,8,0,0,0,1,8,2,5,21,4
1,1,0.25,64,16,838,838,836,838,838,0.375,0.0,1.0,1.0,32,32,25,5,0,32,32,32,3,0
2,2,0.25,64,16,873,873,873,873,873,1.0,0.3125,1.0,1.0,32,32,25,5,0,32,32,32,3,0
3,3,0.25,64,16,2,2,2,2,2,1.0,0.875,1.0,1.0,32,32,26,5,0,32,32,32,3,0
4,4,0.25,64,16,534,534,534,534,534,1.0,0.125,1.0,1.0,8,3,4,17,2,32,32,32,4,0
5,5,0.25,64,16,269,269,269,269,269,1.0,0.3125,1.0,1.0,8,4,8,11,2,32,32,32,4,0
6,6,0.25,64,16,885,709,709,709,709,0.8125,0.0625,1.0,1.0,8,5,7,11,2,16,15,15,6,1
7,7,0.25,64,16,590,508,681,810,810,0.0,0.0625,1.0,1.0,8,0,0,0,1,8,0,0,0,1
8,8,0.25,64,16,133,133,133,133,133,1.0,0.75,1.0,1.0,32,32,28,4,0,32,32,32,3,0
9,9,0.25,64,16,280,280,349,280,280,0.375,0.0625,1.0,1.0,8,0,0,0,1,8,5,5,14,2
10,10,0.25,64,16,211,211,211,211,211,0.875,0.6875,1.0,1.0,32,32,21,3,0,32,32,31,3,0
11,11,0.25,64,16,464,512,803,902,902,0.125,0.1875,0.1875,1.0,8,0,0,0,1,8,0,0,0,1
12,12,0.25,64,16,800,800,800,800,509,0.125,0.25,0.5,1.0,8,1,0,2,2,8,0,0,0,1
13,13,0.25,64,16,66,66,66,68,68,0.1875,0.0625,0.5,1.0,8,0,0,0,1,8,4,7,13,4
14,14,0.25,64,16,587,587,587,587,587,0.875,0.375,1.0,1.0,8,2,4,20,4,16,15,16,6,1
15,15,0.25,64,16,975,708,708,708,708,0.375,0.0,1.0,1.0,8,0,0,0,1,8,3,8,18,2
16,16,0.25,64,16,889,421,421,889,889,0.0625,0.0,1.0,1.0,8,1,0,2,2,8,1,3,3,3
17,17,0.25,64,16,774,774,774,774,774,0.625,0.0625,0.875,1.0,8,0,0,0,1,8,6,8,12,2
18,18,0.25,64,16,138,138,138,138,138,1.0,0.6875,1.0,1.0,32,32,29,7,0,32,32,32,3,0
19,19,0.25,64,16,956,956,956,956,956,1.0,0.5625,1.0,1.0,32,32,26,7,0,32,32,32,3,0
20,20,0.25,64,16,569,569,569,569,569,1.0,0.625,1.0,1.0,32,32,29,6,0,32,32,32,4,0
21,21,0.25,64,16,214,214,214,214,214,0.625,0.1875,1.0,1.0,8,7,7,8,1,32,18,19,7,1
22,22,0.25,64,16,97,97,97,97,97,0.75,0.3125,1.0,1.0,32,32,27,4,0,32,32,32,3,0
23,23,0.25,64,16,919,919,919,919,919,0.125,0.0625,0.25,1.0,8,0,0,0,1,8,0,0,0,1
24,24,0.25,64,16,213,213,213,213,213,1.0,0.5,1.0,1.0,8,5,8,10,2,32,30,31,5,2
25,25,0.25,64,16,233,233,233,233,233,0.625,0.0,1.0,1.0,8,0,0,0,1,32,20,24,6,3
26,26,0.25,64,16,489,489,489,489,489,0.75,0.25,1.0,1.0,8,0,0,0,1,16,9,12,8,3
27,27,0.25,64,16,465,465,763,465,465,1.0,0.0625,1.0,1.0,8,0,0,0,1,32,27,32,4,2
28,28,0.25,64,16,118,118,118,118,118,0.6875,0.5,1.0,1.0,32,32,32,7,0,32,32,32,3,0
29,29,0.25,64,16,675,412,458,412,412,0.8125,0.0625,0.875,1.0,8,1,3,7,3,16,7,10,11,3
30,30,0.25,64,16,327,327,952,327,327,0.6875,0.3125,1.0,1.0,8,1,3,3,3,32,19,19,6,2
31,31,0.25,64,16,784,695,695,695,695,0.6875,0.25,1.0,1.0,32,32,30,5,0,32,32,32,3,0
32,32,0.25,64,16,190,190,190,190,190,0.3125,0.0625,1.0,1.0,8,0,0,0,1,8,7,8,11,1
33,33,0.25,64,16,545,545,477,545,545,0.0625,0.125,0.75,1.0,8,0,0,0,1,8,0,0,0,1
34,34,0.25,64,16,506,506,506,506,506,1.0,0.625,1.0,1.0,32,32,19,6,0,32,32,32,4,0
35,35,0.25,64,16,480,480,480,480,480,0.8125,0.0625,1.0,1.0,8,1,2,9,2,16,12,16,7,1
36,36,0.25,64,16,133,133,133,133,133,0.8125,0.4375,1.0,1.0,32,32,29,3,0,32,32,32,3,0
37,37,0.25,64,16,886,886,886,886,886,1.0,0.5,1.0,1.0,32,32,30,7,0,32,32,32,4,0
38,38,0.25,64,16,967,762,762,762,762,0.4375,0.0625,0.75,1.0,8,0,0,0,1,16,10,13,9,4
39,39,0.25,64,16,643,633,678,504,898,0.0625,0.0625,0.0,1.0,8,0,0,0,1,8,1,0,1,1
40,40,0.25,64,16,562,562,562,562,562,0.5625,0.1875,1.0,1.0,8,0,0,0,1,16,14,16,6,2
41,41,0.25,64,16,396,396,108,396,396,1.0,0.3125,1.0,1.0,8,0,0,0,1,32,20,22,7,3
42,42,0.25,64,16,570,570,570,570,570,0.875,0.0625,1.0,1.0,8,6,8,13,1,16,15,16,5,1
43,43,0.25,64,16,690,690,690,690,690,0.0625,0.0625,1.0,1.0,8,2,8,14,4,16,14,16,6,1
44,44,0.25,64,16,902,902,902,902,902,0.75,0.0625,1.0,1.0,8,0,0,0,1,32,26,31,4,2
45,45,0.25,64,16,5,6,33,6,6,0.75,0.1875,1.0,1.0,8,0,0,0,1,16,14,16,6,1
46,46,0.25,64,16,914,914,914,914,914,1.0,0.8125,1.0,1.0,32,32,30,5,0,32,32,32,3,0
47,47,0.25,64,16,801,801,801,983,801,0.375,0.1875,0.125,1.0,8,3,8,16,3,8,1,2,5,3
48,48,0.25,64,16,149,149,149,149,149,1.0,0.0625,1.0,1.0,8,0,0,0,1,32,22,23,6,2
49,49,0.25,64,16,828,828,828,828,828,1.0,0.875,1.0,1.0,32,32,30,4,0,32,32,32,2,0
50,50,0.25,64,16,965,965,965,965,965,1.0,0.625,1.0,1.0,16,13,15,5,1,32,32,32,4,0
51,51,0.25,64,16,902,902,902,902,902,1.0,0.5,1.0,1.0,32,32,24,5,0,32,32,32,4,0
52,52,0.25,64,16,962,962,962,962,962,1.0,0.75,1.0,1.0,32,32,31,6,0,32,32,32,3,0
53,53,0.25,64,16,599,410,410,410,410,0.3125,0.25,1.0,1.0,8,4,7,13,3,16,12,16,7,2
54,54,0.25,64,16,654,609,609,654,654,0.25,0.125,0.875,1.0,8,1,2,4,2,8,3,6,16,2
55,55,0.25,64,16,709,709,709,709,709,0.8125,0.25,1.0,1.0,16,8,11,8,2,32,22,25,5,2
56,56,0.25,64,16,532,532,532,532,532,1.0,0.5625,1.0,1.0,8,6,8,9,2,32,32,32,2,0
57,57,0.25,64,16,706,706,576,706,706,1.0,0.0625,1.0,1.0,8,0,0,0,1,32,21,21,6,1
58,58,0.25,64,16,975,975,346,975,408,0.3125,0.0,0.875,1.0,8,0,0,0,1,8,3,6,18,4
59,59,0.25,64,16,933,933,934,933,933,0.0625,0.4375,1.0,1.0,8,0,0,0,1,8,0,0,0,1
60,60,0.25,64,16,171,171,171,171,171,0.4375,0.3125,1.0,1.0,8,4,8,12,1,32,21,24,5,3
61,61,0.25,64,16,597,597,630,597,597,0.875,0.125,1.0,1.0,8,0,0,0,1,32,29,30,3,1
62,62,0.25,64,16,528,528,528,528,528,0.875,0.25,1.0,1.0,32,32,29,6,0,32,32,32,4,0
63,63,0.25,64,16,752,752,430,752,752,0.6875,0.0625,1.0,1.0,8,0,0,0,1,32,23,32,6,2
64,64,0.25,64,16,269,269,269,273,269,0.25,0.6875,0.375,1.0,8,6,8,9,1,8,7,8,10,1
65,65,0.25,64,16,282,281,285,281,281,0.5625,0.1875,1.0,1.0,8,0,0,0,1,8,2,7,20,3
66,66,0.25,64,16,799,799,650,760,760,0.125,0.125,0.75,1.0,8,0,0,0,1,8,0,0,0,1
67,67,0.25,64,16,289,289,289,289,289,1.0,0.5625,1.0,1.0,32,32,28,7,0,32,32,32,4,0
68,68,0.25,64,16,942,942,942,942,942,0.8125,0.625,1.0,1.0,16,10,10,6,1,32,32,32,4,0
69,69,0.25,64,16,937,937,937,937,937,1.0,0.375,1.0,1.0,32,32,28,6,0,32,32,32,3,0
70,70,0.25,64,16,924,924,924,924,924,1.0,0.6875,1.0,1.0,32,32,28,4,0,32,32,32,3,0
71,71,0.25,64,16,705,705,791,705,705,1.0,0.0625,1.0,1.0,8,3,4,18,2,32,26,30,4,2
72,72,0.25,64,16,202,202,202,202,202,1.0,0.4375,1.0,1.0,32,32,26,5,0,32,32,32,2,0
73,73,0.25,64,16,618,544,544,544,587,0.4375,0.125,0.1875,1.0,8,2,7,20,4,8,6,8,12,1
74,74,0.25,64,16,278,280,371,274,274,0.3125,0.125,1.0,1.0,8,0,0,0,1,8,0,0,0,1
75,75,0.25,64,16,583,583,583,583,583,0.875,0.0625,1.0,1.0,8,0,0,0,1,32,21,23,6,2
76,76,0.25,64,16,419,419,710,549,549,0.4375,0.1875,0.5,1.0,8,0,0,0,1,8,5,7,14,2
77,77,0.25,64,16,84,84,84,84,84,1.0,0.875,1.0,1.0,32,32,28,6,0,32,32,32,4,0
78,78,0.25,64,16,688,688,688,688,688,0.875,0.1875,1.0,1.0,8,0,0,0,1,16,15,16,6,1
79,79,0.25,64,16,351,351,351,351,351,1.0,0.375,1.0,1.0,32,32,23,4,0,32,32,30,2,0
80,80,0.25,64,16,806,658,658,658,806,0.375,0.125,0.0,1.0,8,0,0,0,1,8,1,3,11,4
81,81,0.25,64,16,884,500,500,500,500,0.25,0.4375,0.5625,1.0,8,5,8,12,2,8,7,8,11,1
82,82,0.25,64,16,145,145,145,145,145,1.0,0.625,1.0,1.0,32,32,26,6,0,32,32,32,3,0
83,83,0.25,64,16,335,335,335,335,335,0.6875,0.375,1.0,1.0,32,32,21,6,0,32,32,32,2,0
84,84,0.25,64,16,633,570,592,633,633,0.1875,0.0,1.0,1.0,8,0,0,0,1,8,2,8,17,3
85,85,0.25,64,16,360,360,360,360,360,0.75,0.3125,1.0,1.0,8,3,5,16,3,32,26,30,4,2
86,86,0.25,64,16,715,715,715,715,715,1.0,1.0,1.0,1.0,32,32,23,4,0,32,32,32,2,0
87,87,0.25,64,16,78,78,78,78,78,1.0,0.75,1.0,1.0,32,32,31,5,0,32,32,32,3,0
88,88,0.25,64,16,935,935,961,935,961,0.5,0.5625,0.875,1.0,8,2,6,19,4,8,4,4,16,1
89,89,0.25,64,16,171,171,171,242,151,0.5625,0.0,0.125,1.0,8,1,0,1,1,8,5,6,14,2
90,90,0.25,64,16,603,603,603,603,442,0.5625,0.25,0.875,1.0,8,1,3,10,3,8,2,4,19,2
91,91,0.25,64,16,389,389,389,389,389,1.0,0.625,1.0,1.0,32,32,29,4,0,32,32,32,3,0
92,92,0.25,64,16,370,370,370,370,370,0.875,0.0,1.0,1.0,8,0,0,0,1,16,12,12,7,1
93,93,0.25,64,16,449,449,449,449,449,0.875,0.1875,1.0,1.0,8,1,8,4,2,32,25,25,5,3
94,94,0.25,64,16,572,509,572,711,509,0.125,0.1875,0.5625,1.0,8,0,0,0,1,8,0,0,0,1
95,95,0.25,64,16,60,60,60,60,60,0.375,0.125,0.375,1.0,8,0,0,0,1,16,11,15,6,2
96,96,0.25,64,16,779,779,779,779,779,0.5625,0.4375,1.0,1.0,16,9,11,7,3,16,11,13,7,1
97,97,0.25,64,16,347,347,347,347,347,1.0,0.75,1.0,1.0,32,32,29,4,0,32,32,32,3,0
98,98,0.25,64,16,370,370,370,370,370,0.6875,0.25,1.0,1.0,32,32,29,4,0,32,32,32,3,0
99,99,0.25,64,16,690,690,690,690,690,0.125,0.125,0.8125,1.0,8,0,0,0,1,8,7,8,11,1
100,100,0.25,64,16,910,938,948,910,910,0.0625,0.1875,0.6875,1.0,8,0,0,0,1,8,0,0,0,1
101,101,0.25,64,16,365,365,365,365,365,1.0,0.25,1.0,1.0,8,7,8,10,1,32,32,32,4,0
102,102,0.25,64,16,162,166,263,166,166,0.125,0.0625,0.3125,1.0,8,1,0,1,1,8,0,0,0,1
103,103,0.25,64,16,837,970,970,970,970,0.625,0.4375,1.0,1.0,8,6,8,10,2,16,13,16,6,2
104,104,0.25,64,16,603,603,603,603,603,0.75,0.375,1.0,1.0,8,4,5,13,2,32,24,27,5,1
105,105,0.25,64,16,286,286,286,286,286,0.5,0.75,1.0,1.0,8,5,8,11,2,8,6,8,12,1
106,106,0.25,64,16,264,264,264,264,264,0.875,0.4375,1.0,1.0,8,6,8,9,2,32,32,32,3,0
107,107,0.25,64,16,747,747,898,747,747,0.375,0.0625,1.0,1.0,8,0,0,0,1,8,3,7,19,3
108,108,0.25,64,16,649,649,649,649,649,1.0,0.625,1.0,1.0,32,32,30,7,0,32,32,32,4,0
109,109,0.25,64,16,486,486,486,486,486,1.0,0.375,1.0,1.0,32,32,28,5,0,32,25,27,5,1
110,110,0.25,64,16,512,512,512,512,512,0.8125,0.1875,1.0,1.0,8,5,8,12,2,32,27,29,4,1
111,111,0.25,64,16,828,828,784,828,828,0.5625,0.1875,1.0,1.0,8,0,0,0,1,8,7,7,11,1
112,112,0.25,64,16,955,955,955,955,955,1.0,0.5625,1.0,1.0,32,32,28,5,0,32,32,32,2,0
113,113,0.25,64,16,680,680,697,680,697,0.0625,0.0625,0.0,1.0,8,0,0,0,1,8,0,0,0,1
114,114,0.25,64,16,893,748,549,893,893,0.0625,0.125,1.0,1.0,8,0,0,0,1,8,0,0,0,1
115,115,0.25,64,16,385,385,385,385,385,0.5,0.5,1.0,1.0,8,2,3,20,2,8,1,2,8,2
116,116,0.25,64,16,965,965,964,965,937,0.5,0.0625,1.0,1.0,8,0,0,0,1,16,14,14,7,1
117,117,0.25,64,16,609,609,609,609,609,0.75,0.0625,1.0,1.0,8,0,0,0,1,16,7,13,11,3
118,118,0.25,64,16,131,131,131,131,131,1.0,0.375,1.0,1.0,32,32,31,6,0,32,32,32,4,0
119,119,0.25,64,16,717,717,717,717,717,0.3125,0.0625,1.0,1.0,8,0,0,0,1,8,5,8,14,1
120,120,0.25,64,16,819,736,854,854,854,0.125,0.1875,1.0,1.0,8,2,2,22,1,8,0,0,0,1
121,121,0.25,64,16,870,870,603,870,870,0.75,0.0625,1.0,1.0,8,0,0,0,1,8,7,8,10,1
122,122,0.25,64,16,237,237,237,237,237,0.125,0.0625,1.0,1.0,8,1,4,4,4,8,0,0,0,1
123,123,0.25,64,16,562,974,974,562,562,0.1875,0.5625,0.875,1.0,16,9,12,7,3,8,0,0,0,1
124,124,0.25,64,16,48,48,48,48,48,0.875,0.4375,1.0,1.0,32,32,29,6,0,32,32,32,3,0
125,125,0.25,64,16,979,975,975,975,975,0.25,0.25,1.0,1.0,8,1,4,7,4,8,3,3,21,1
126,126,0.25,64,16,834,834,457,906,906,0.1875,0.1875,0.625,1.0,8,0,0,0,1,8,2,5,23,5
