,lambd,p,nnz,true_label,ones_label,exbs_label,ones_mu_label,exbs_mu_label,ones_gap,exbs_gap,ones_mu_gap,exbs_mu_gap
0,0.25,64,24,395,30,30,26,29,0.15625,0.171875,0.046875,1.0
1,0.25,64,24,838,836,838,838,838,0.203125,0.0625,0.953125,1.0
2,0.25,64,24,873,873,873,873,873,1.0,1.0,1.0,1.0
3,0.25,64,24,2,2,2,2,2,1.0,0.96875,1.0,1.0
4,0.25,64,24,534,534,534,534,534,1.0,0.4375,1.0,1.0
5,0.25,64,24,269,269,269,269,269,0.734375,0.15625,1.0,1.0
6,0.25,64,24,885,893,709,893,893,0.046875,0.15625,0.5,1.0
7,0.25,64,24,590,590,590,590,590,0.53125,0.3125,1.0,1.0
8,0.25,64,24,133,133,133,133,133,1.0,0.84375,1.0,1.0
9,0.25,64,24,280,280,280,280,280,0.15625,0.5,0.875,1.0
10,0.25,64,24,211,168,211,211,211,0.625,0.296875,1.0,1.0
11,0.25,64,24,464,777,512,512,512,0.078125,0.0,1.0,1.0
12,0.25,64,24,800,800,788,800,800,0.234375,0.0,1.0,1.0
13,0.25,64,24,66,66,289,66,66,0.078125,0.015625,0.765625,1.0
14,0.25,64,24,587,587,587,587,587,0.5625,0.1875,1.0,1.0
15,0.25,64,24,975,733,462,708,733,0.21875,0.03125,0.328125,1.0
16,0.25,64,24,889,454,413,446,481,0.015625,0.015625,0.015625,1.0
17,0.25,64,24,774,774,435,774,435,0.09375,0.0,0.125,1.0
18,0.25,64,24,138,138,138,138,138,1.0,0.59375,1.0,1.0
19,0.25,64,24,956,956,938,956,956,0.78125,0.015625,1.0,1.0
20,0.25,64,24,569,569,569,569,569,0.890625,0.75,1.0,1.0
21,0.25,64,24,214,214,214,214,214,0.796875,0.265625,1.0,1.0
22,0.25,64,24,97,97,97,97,97,0.390625,0.375,1.0,1.0
23,0.25,64,24,919,919,919,919,919,0.03125,0.203125,0.90625,1.0
24,0.25,64,24,213,213,213,213,213,1.0,0.765625,1.0,1.0
25,0.25,64,24,233,170,170,233,170,0.109375,0.125,0.390625,1.0
26,0.25,64,24,489,489,489,489,489,0.375,0.328125,1.0,1.0
27,0.25,64,24,465,465,414,414,414,0.015625,0.125,1.0,1.0
28,0.25,64,24,118,118,118,118,118,0.90625,0.703125,1.0,1.0
29,0.25,64,24,675,408,847,569,847,0.046875,0.03125,0.078125,1.0
30,0.25,64,24,327,327,327,327,327,0.390625,0.03125,1.0,1.0
31,0.25,64,24,784,695,695,695,695,0.84375,0.265625,1.0,1.0
32,0.25,64,24,190,190,153,190,190,0.234375,0.21875,1.0,1.0
33,0.25,64,24,545,518,545,545,545,0.125,0.03125,1.0,1.0
34,0.25,64,24,506,506,506,506,506,0.96875,0.0,1.0,1.0
35,0.25,64,24,480,877,877,480,480,0.234375,0.015625,0.5,1.0
36,0.25,64,24,133,16,16,16,16,0.203125,0.171875,0.34375,1.0
37,0.25,64,24,886,886,886,886,886,1.0,0.703125,1.0,1.0
38,0.25,64,24,967,760,762,760,762,0.0625,0.09375,0.1875,1.0
39,0.25,64,24,643,629,445,845,542,0.015625,0.0,0.328125,1.0
40,0.25,64,24,562,838,529,838,639,0.1875,0.125,0.59375,1.0
41,0.25,64,24,396,396,396,396,396,0.796875,0.78125,1.0,1.0
42,0.25,64,24,570,570,447,570,570,0.59375,0.046875,1.0,1.0
43,0.25,64,24,690,690,341,690,690,0.203125,0.0625,0.9375,1.0
44,0.25,64,24,902,840,789,840,840,0.453125,0.0625,0.03125,1.0
45,0.25,64,24,5,34,344,34,34,0.296875,0.125,0.96875,1.0
46,0.25,64,24,914,914,914,914,914,0.9375,0.15625,1.0,1.0
47,0.25,64,24,801,801,801,801,801,0.359375,0.0625,0.875,1.0
48,0.25,64,24,149,149,149,149,149,0.421875,0.265625,1.0,1.0
49,0.25,64,24,828,828,828,828,828,1.0,0.96875,1.0,1.0
50,0.25,64,24,965,965,965,965,965,0.96875,0.4375,1.0,1.0
51,0.25,64,24,902,902,418,902,902,0.6875,0.0625,1.0,1.0
52,0.25,64,24,962,962,962,962,962,0.5625,0.921875,0.90625,1.0
53,0.25,64,24,599,410,410,410,410,0.03125,0.328125,1.0,1.0
54,0.25,64,24,654,609,609,609,609,0.859375,0.171875,1.0,1.0
55,0.25,64,24,709,477,807,709,709,0.203125,0.0625,0.765625,1.0
56,0.25,64,24,532,532,532,532,532,1.0,0.640625,1.0,1.0
57,0.25,64,24,706,706,706,706,706,0.53125,0.40625,0.59375,1.0
58,0.25,64,24,975,975,975,975,975,0.453125,0.375,1.0,1.0
59,0.25,64,24,933,933,934,933,933,0.46875,0.046875,1.0,1.0
60,0.25,64,24,171,171,171,171,171,0.9375,0.484375,0.96875,1.0
