,lambd,p,nnz,true_label,ones_label,exbs_label,ones_mu_label,exbs_mu_label,ones_gap,exbs_gap,ones_mu_gap,exbs_mu_gap
0,0.0625,64,24,395,30,674,76,76,0.078125,0.046875,0.671875,1.0
1,0.0625,64,24,838,836,674,971,971,0.0625,0.0625,0.65625,1.0
2,0.0625,64,24,873,873,873,873,873,0.609375,0.21875,1.0,1.0
3,0.0625,64,24,2,2,2,2,2,0.875,0.4375,1.0,1.0
4,0.0625,64,24,534,534,674,534,534,0.265625,0.234375,1.0,1.0
5,0.0625,64,24,269,269,674,272,272,0.125,0.0625,0.78125,1.0
6,0.0625,64,24,885,709,674,893,893,0.28125,0.03125,1.0,1.0
7,0.0625,64,24,590,590,674,590,590,0.046875,0.0625,1.0,1.0
8,0.0625,64,24,133,133,133,133,133,0.390625,0.15625,1.0,1.0
9,0.0625,64,24,280,715,270,280,280,0.0625,0.0,0.625,1.0
10,0.0625,64,24,211,168,211,211,211,0.078125,0.203125,0.9375,1.0
11,0.0625,64,24,464,746,674,512,512,0.03125,0.09375,1.0,1.0
12,0.0625,64,24,800,800,674,800,800,0.125,0.015625,0.765625,1.0
13,0.0625,64,24,66,68,674,66,66,0.046875,0.03125,0.6875,1.0
14,0.0625,64,24,587,622,674,587,563,0.046875,0.09375,0.21875,1.0
15,0.0625,64,24,975,975,674,733,733,0.1875,0.046875,0.78125,1.0
16,0.0625,64,24,889,413,674,454,454,0.015625,0.0625,0.3125,1.0
17,0.0625,64,24,774,458,674,876,876,0.015625,0.171875,0.390625,1.0
18,0.0625,64,24,138,138,138,138,138,0.453125,0.09375,1.0,1.0
19,0.0625,64,24,956,956,674,956,956,0.03125,0.03125,1.0,1.0
20,0.0625,64,24,569,569,674,569,569,0.234375,0.0625,1.0,1.0
21,0.0625,64,24,214,214,674,214,214,0.078125,0.171875,1.0,1.0
22,0.0625,64,24,97,134,674,97,97,0.015625,0.078125,0.875,1.0
23,0.0625,64,24,919,919,674,395,780,0.109375,0.140625,0.203125,1.0
24,0.0625,64,24,213,213,213,213,213,0.578125,0.015625,1.0,1.0
25,0.0625,64,24,233,261,261,233,233,0.34375,0.03125,1.0,1.0
26,0.0625,64,24,489,489,674,489,489,0.078125,0.078125,1.0,1.0
27,0.0625,64,24,465,465,674,465,465,0.0625,0.125,0.1875,1.0
28,0.0625,64,24,118,118,118,118,118,0.359375,0.09375,1.0,1.0
29,0.0625,64,24,675,458,674,412,412,0.0625,0.09375,0.9375,1.0
30,0.0625,64,24,327,327,674,329,329,0.03125,0.171875,0.625,1.0
31,0.0625,64,24,784,894,674,695,695,0.078125,0.015625,1.0,1.0
32,0.0625,64,24,190,153,153,212,212,0.046875,0.046875,0.21875,1.0
33,0.0625,64,24,545,518,674,751,751,0.09375,0.0625,0.296875,1.0
34,0.0625,64,24,506,506,409,506,506,0.140625,0.03125,1.0,1.0
35,0.0625,64,24,480,877,674,877,877,0.046875,0.171875,0.75,1.0
36,0.0625,64,24,133,16,674,16,16,0.296875,0.046875,0.46875,1.0
37,0.0625,64,24,886,886,674,886,886,0.703125,0.046875,1.0,1.0
38,0.0625,64,24,967,762,762,762,762,0.046875,0.015625,1.0,1.0
39,0.0625,64,24,643,929,674,629,629,0.015625,0.171875,0.84375,1.0
40,0.0625,64,24,562,655,674,838,838,0.0,0.203125,0.9375,1.0
41,0.0625,64,24,396,396,674,108,108,0.015625,0.0,0.9375,1.0
42,0.0625,64,24,570,447,674,570,570,0.015625,0.046875,1.0,1.0
43,0.0625,64,24,690,29,674,690,690,0.0625,0.140625,1.0,1.0
44,0.0625,64,24,902,688,789,840,840,0.15625,0.046875,1.0,1.0
45,0.0625,64,24,5,977,977,34,34,0.125,0.015625,0.96875,1.0
46,0.0625,64,24,914,914,914,914,914,0.34375,0.046875,1.0,1.0
47,0.0625,64,24,801,801,674,2,2,0.28125,0.109375,0.03125,1.0
48,0.0625,64,24,149,149,674,149,983,0.234375,0.078125,0.125,1.0
49,0.0625,64,24,828,828,828,828,828,0.5,0.03125,1.0,1.0
50,0.0625,64,24,965,965,674,965,965,0.375,0.109375,1.0,1.0
51,0.0625,64,24,902,512,674,902,902,0.015625,0.140625,0.90625,1.0
52,0.0625,64,24,962,962,962,962,962,0.34375,0.046875,1.0,1.0
53,0.0625,64,24,599,953,674,410,410,0.0,0.09375,1.0,1.0
