,lambd,p,nnz,true_label,ones_label,exbs_label,ones_mu_label,exbs_mu_label,ones_gap,exbs_gap,ones_mu_gap,exbs_mu_gap
0,0.5,64,8,395,30,395,30,395,0.25,0.328125,0.0625,1.0
1,0.5,64,8,838,838,593,838,593,0.578125,0.0625,1.0,1.0
2,0.5,64,8,873,873,873,873,873,1.0,1.0,1.0,1.0
3,0.5,64,8,2,2,2,2,2,1.0,0.765625,1.0,1.0
4,0.5,64,8,534,534,534,534,534,1.0,0.609375,1.0,1.0
5,0.5,64,8,269,269,269,269,269,0.84375,0.046875,0.84375,1.0
6,0.5,64,8,885,893,723,709,723,0.0625,0.21875,0.09375,1.0
7,0.5,64,8,590,590,810,590,810,1.0,0.328125,0.8125,1.0
8,0.5,64,8,133,133,133,133,133,1.0,1.0,1.0,1.0
9,0.5,64,8,280,280,280,280,280,0.546875,0.53125,0.6875,1.0
10,0.5,64,8,211,211,211,211,211,0.3125,0.3125,1.0,1.0
11,0.5,64,8,464,512,512,512,512,0.0,0.03125,1.0,1.0
12,0.5,64,8,800,800,800,800,800,1.0,0.21875,1.0,1.0
13,0.5,64,8,66,66,68,66,68,0.328125,0.34375,0.4375,1.0
14,0.5,64,8,587,587,2,587,618,1.0,0.015625,1.0,1.0
15,0.5,64,8,975,708,975,708,562,0.15625,0.15625,0.640625,1.0
16,0.5,64,8,889,889,795,889,889,0.21875,0.109375,1.0,1.0
17,0.5,64,8,774,774,774,774,502,0.6875,0.171875,0.796875,1.0
18,0.5,64,8,138,138,138,138,138,1.0,0.875,1.0,1.0
19,0.5,64,8,956,956,956,956,956,1.0,0.109375,1.0,1.0
20,0.5,64,8,569,569,730,569,569,1.0,0.03125,1.0,1.0
21,0.5,64,8,214,214,240,214,214,0.9375,0.140625,1.0,1.0
22,0.5,64,8,97,97,89,97,146,1.0,0.265625,1.0,1.0
23,0.5,64,8,919,919,919,919,919,0.671875,0.6875,1.0,1.0
24,0.5,64,8,213,213,213,213,213,1.0,0.8125,1.0,1.0
25,0.5,64,8,233,233,261,233,261,0.578125,0.375,0.765625,1.0
26,0.5,64,8,489,489,489,489,489,0.671875,0.375,1.0,1.0
27,0.5,64,8,465,414,465,414,465,0.453125,0.15625,0.9375,1.0
28,0.5,64,8,118,118,118,118,118,1.0,0.078125,1.0,1.0
29,0.5,64,8,675,412,833,675,410,0.140625,0.171875,0.265625,1.0
30,0.5,64,8,327,327,735,327,329,1.0,0.09375,1.0,1.0
31,0.5,64,8,784,695,695,695,695,0.96875,0.25,1.0,1.0
32,0.5,64,8,190,190,153,190,190,0.703125,0.390625,1.0,1.0
33,0.5,64,8,545,545,545,545,545,0.53125,0.328125,1.0,1.0
34,0.5,64,8,506,506,409,506,506,1.0,0.09375,1.0,1.0
35,0.5,64,8,480,877,480,480,480,0.03125,0.09375,1.0,1.0
36,0.5,64,8,133,133,16,133,16,0.25,0.1875,0.53125,1.0
37,0.5,64,8,886,886,886,886,886,1.0,0.890625,1.0,1.0
38,0.5,64,8,967,760,634,762,788,0.03125,0.03125,0.0,1.0
39,0.5,64,8,643,845,418,845,593,0.046875,0.03125,0.203125,1.0
40,0.5,64,8,562,838,529,838,463,0.1875,0.046875,0.484375,1.0
41,0.5,64,8,396,396,396,396,396,1.0,0.359375,1.0,1.0
42,0.5,64,8,570,570,570,570,570,1.0,0.203125,1.0,1.0
43,0.5,64,8,690,690,690,690,690,0.921875,0.25,1.0,1.0
44,0.5,64,8,902,840,688,902,688,0.0,0.171875,0.625,1.0
45,0.5,64,8,5,34,34,34,34,0.21875,0.140625,0.40625,1.0
46,0.5,64,8,914,914,318,914,792,1.0,0.015625,1.0,1.0
47,0.5,64,8,801,801,801,801,801,0.875,0.21875,1.0,1.0
48,0.5,64,8,149,149,149,149,149,1.0,0.3125,1.0,1.0
49,0.5,64,8,828,828,828,828,828,1.0,1.0,1.0,1.0
50,0.5,64,8,965,965,965,965,965,1.0,0.71875,1.0,1.0
51,0.5,64,8,902,902,435,902,435,1.0,0.140625,1.0,1.0
52,0.5,64,8,962,962,962,962,962,1.0,0.578125,1.0,1.0
53,0.5,64,8,599,410,116,410,996,1.0,0.109375,1.0,1.0
54,0.5,64,8,654,609,609,609,609,0.90625,0.390625,1.0,1.0
55,0.5,64,8,709,477,401,709,401,0.0,0.28125,0.109375,1.0
56,0.5,64,8,532,532,532,532,532,1.0,0.09375,1.0,1.0
57,0.5,64,8,706,706,706,706,706,0.6875,0.296875,0.96875,1.0
58,0.5,64,8,975,975,975,975,975,0.9375,0.765625,1.0,1.0
59,0.5,64,8,933,933,933,933,933,0.9375,0.28125,1.0,1.0
60,0.5,64,8,171,171,171,171,171,1.0,0.625,1.0,1.0
61,0.5,64,8,597,597,597,597,597,1.0,0.25,1.0,1.0
62,0.5,64,8,528,528,528,528,528,1.0,0.8125,1.0,1.0
63,0.5,64,8,752,752,774,752,823,0.96875,0.015625,1.0,1.0
64,0.5,64,8,269,269,269,269,269,1.0,0.53125,1.0,1.0
65,0.5,64,8,282,285,289,285,249,0.3125,0.171875,0.3125,1.0
66,0.5,64,8,799,747,776,747,650,0.21875,0.078125,0.1875,1.0
67,0.5,64,8,289,289,289,289,289,1.0,1.0,1.0,1.0
68,0.5,64,8,942,942,942,942,942,1.0,1.0,1.0,1.0
69,0.5,64,8,937,937,937,937,937,0.765625,0.671875,1.0,1.0
70,0.5,64,8,924,924,924,924,924,1.0,0.84375,1.0,1.0
71,0.5,64,8,705,705,547,705,547,0.84375,0.40625,1.0,1.0
72,0.5,64,8,202,202,202,202,202,0.875,0.28125,1.0,1.0
73,0.5,64,8,618,544,81,544,463,0.171875,0.109375,0.03125,1.0
74,0.5,64,8,278,272,272,272,104,0.140625,0.03125,0.25,1.0
75,0.5,64,8,583,583,812,583,498,0.8125,0.046875,0.546875,1.0
76,0.5,64,8,419,419,419,419,419,1.0,0.765625,1.0,1.0
77,0.5,64,8,84,84,84,84,84,1.0,1.0,1.0,1.0
78,0.5,64,8,688,688,688,688,688,0.859375,0.609375,1.0,1.0
79,0.5,64,8,351,351,351,351,351,1.0,0.5625,1.0,1.0
80,0.5,64,8,806,806,806,806,806,1.0,0.375,1.0,1.0
81,0.5,64,8,884,500,343,972,343,0.09375,0.046875,0.1875,1.0
82,0.5,64,8,145,145,145,145,145,1.0,0.625,1.0,1.0
83,0.5,64,8,335,335,335,335,335,0.84375,0.78125,1.0,1.0
84,0.5,64,8,633,633,487,633,633,0.328125,0.0,0.625,1.0
85,0.5,64,8,360,360,537,360,537,0.609375,0.03125,1.0,1.0
86,0.5,64,8,715,715,715,715,715,1.0,0.171875,1.0,1.0
87,0.5,64,8,78,78,78,78,78,1.0,0.5,1.0,1.0
88,0.5,64,8,935,935,935,935,935,1.0,0.71875,1.0,1.0
89,0.5,64,8,171,171,172,171,171,0.609375,0.171875,0.375,1.0
90,0.5,64,8,603,603,603,603,603,0.6875,0.625,0.71875,1.0
91,0.5,64,8,389,389,389,389,389,0.96875,0.6875,1.0,1.0
92,0.5,64,8,370,370,370,370,370,1.0,0.75,1.0,1.0
93,0.5,64,8,449,975,449,449,449,0.03125,0.140625,0.40625,1.0
94,0.5,64,8,572,509,966,572,572,0.25,0.265625,0.75,1.0
95,0.5,64,8,60,60,62,60,60,0.875,0.03125,1.0,1.0
96,0.5,64,8,779,779,779,779,779,1.0,0.734375,1.0,1.0
97,0.5,64,8,347,347,347,347,347,1.0,0.90625,1.0,1.0
98,0.5,64,8,370,370,370,370,370,1.0,0.0,1.0,1.0
99,0.5,64,8,690,690,730,690,730,0.765625,0.03125,0.15625,1.0
100,0.5,64,8,910,909,938,909,909,0.890625,0.265625,0.796875,1.0
101,0.5,64,8,365,365,365,365,365,1.0,0.359375,1.0,1.0
102,0.5,64,8,162,263,247,263,162,0.171875,0.03125,0.140625,1.0
103,0.5,64,8,837,970,970,970,970,1.0,0.25,1.0,1.0
104,0.5,64,8,603,603,690,603,690,0.9375,0.453125,1.0,1.0
105,0.5,64,8,286,286,286,286,286,1.0,0.625,1.0,1.0
106,0.5,64,8,264,264,264,264,264,1.0,0.875,1.0,1.0
107,0.5,64,8,747,604,747,747,747,0.0625,0.421875,0.875,1.0
108,0.5,64,8,649,649,649,649,649,1.0,0.875,1.0,1.0
109,0.5,64,8,486,486,486,486,486,0.96875,0.90625,1.0,1.0
110,0.5,64,8,512,512,512,512,512,0.9375,0.046875,1.0,1.0
111,0.5,64,8,828,828,110,828,828,0.9375,0.09375,0.96875,1.0
112,0.5,64,8,955,955,695,955,955,1.0,0.078125,1.0,1.0
113,0.5,64,8,680,680,680,680,680,0.875,0.1875,1.0,1.0
114,0.5,64,8,893,549,549,893,892,0.546875,0.234375,0.234375,1.0
115,0.5,64,8,385,385,385,385,385,1.0,0.359375,1.0,1.0
116,0.5,64,8,965,965,987,965,965,1.0,0.140625,1.0,1.0
117,0.5,64,8,609,609,609,609,609,0.84375,0.03125,1.0,1.0
118,0.5,64,8,131,131,131,131,131,1.0,0.703125,1.0,1.0
119,0.5,64,8,717,717,436,717,511,0.71875,0.4375,1.0,1.0
120,0.5,64,8,819,745,818,745,475,0.015625,0.0625,0.4375,1.0
121,0.5,64,8,870,444,870,870,870,0.09375,0.390625,0.09375,1.0
122,0.5,64,8,237,237,237,237,237,0.8125,0.25,1.0,1.0
123,0.5,64,8,562,974,974,974,974,0.3125,0.78125,0.34375,1.0
124,0.5,64,8,48,48,48,48,48,0.96875,0.34375,1.0,1.0
125,0.5,64,8,979,975,979,975,975,1.0,0.171875,1.0,1.0
126,0.5,64,8,834,834,834,834,834,1.0,0.75,1.0,1.0
127,0.5,64,8,709,748,539,748,539,0.546875,0.28125,0.65625,1.0
128,0.5,64,8,109,109,109,109,109,1.0,0.546875,1.0,1.0
129,0.5,64,8,511,751,436,511,436,0.015625,0.046875,0.90625,1.0
130,0.5,64,8,778,778,778,778,778,0.390625,0.109375,0.34375,1.0
131,0.5,64,8,521,521,521,521,521,1.0,0.046875,1.0,1.0
132,0.5,64,8,996,996,996,996,996,0.5625,0.453125,0.3125,1.0
133,0.5,64,8,827,896,968,896,809,0.328125,0.140625,0.25,1.0
134,0.5,64,8,241,241,227,241,241,0.890625,0.03125,1.0,1.0
135,0.5,64,8,700,700,459,700,459,0.0625,0.421875,0.4375,1.0
136,0.5,64,8,635,826,826,826,826,0.234375,0.296875,0.96875,1.0
137,0.5,64,8,388,388,388,388,388,1.0,0.90625,1.0,1.0
138,0.5,64,8,124,124,71,124,124,0.5,0.0625,1.0,1.0
139,0.5,64,8,468,468,468,468,468,1.0,0.453125,1.0,1.0
140,0.5,64,8,774,774,774,774,774,1.0,0.4375,1.0,1.0
141,0.5,64,8,662,662,769,662,769,0.8125,0.296875,1.0,1.0
142,0.5,64,8,682,682,682,682,682,1.0,0.203125,1.0,1.0
143,0.5,64,8,591,591,591,591,591,1.0,0.671875,1.0,1.0
144,0.5,64,8,941,941,941,941,941,1.0,0.84375,1.0,1.0
145,0.5,64,8,51,51,103,51,33,1.0,0.171875,1.0,1.0
146,0.5,64,8,75,450,560,450,560,0.5,0.234375,0.390625,1.0
147,0.5,64,8,136,136,136,136,136,1.0,0.421875,1.0,1.0
148,0.5,64,8,182,182,182,182,182,1.0,0.5625,1.0,1.0
149,0.5,64,8,901,901,898,901,898,0.25,0.203125,0.796875,1.0
150,0.5,64,8,41,41,41,41,41,0.6875,0.578125,1.0,1.0
151,0.5,64,8,289,289,289,289,289,1.0,0.9375,1.0,1.0
152,0.5,64,8,19,13,89,19,374,0.421875,0.015625,0.78125,1.0
153,0.5,64,8,924,924,956,924,924,1.0,0.046875,1.0,1.0
154,0.5,64,8,516,431,431,431,431,0.53125,0.40625,0.90625,1.0
155,0.5,64,8,258,258,258,258,258,0.96875,0.328125,1.0,1.0
156,0.5,64,8,976,976,976,976,976,0.59375,0.328125,1.0,1.0
157,0.5,64,8,754,485,485,485,485,0.875,0.421875,0.875,1.0
158,0.5,64,8,791,791,603,791,603,1.0,0.328125,1.0,1.0
159,0.5,64,8,675,656,817,468,817,0.03125,0.140625,0.53125,1.0
160,0.5,64,8,317,317,317,317,317,1.0,0.59375,1.0,1.0
161,0.5,64,8,261,261,261,261,261,1.0,0.515625,1.0,1.0
162,0.5,64,8,124,124,33,124,122,0.25,0.25,0.34375,1.0
163,0.5,64,8,667,529,842,529,842,0.53125,0.125,0.6875,1.0
164,0.5,64,8,170,221,221,221,221,1.0,0.8125,1.0,1.0
165,0.5,64,8,257,258,258,257,222,0.171875,0.109375,0.875,1.0
166,0.5,64,8,418,767,418,767,767,1.0,0.171875,1.0,1.0
167,0.5,64,8,108,116,584,116,793,0.75,0.03125,0.96875,1.0
168,0.5,64,8,185,185,185,185,185,1.0,0.875,1.0,1.0
169,0.5,64,8,746,746,746,746,746,1.0,0.921875,1.0,1.0
170,0.5,64,8,528,849,528,528,528,0.5,0.140625,0.4375,1.0
171,0.5,64,8,107,107,107,107,107,1.0,1.0,1.0,1.0
172,0.5,64,8,578,982,578,578,578,0.21875,0.375,0.25,1.0
173,0.5,64,8,674,674,674,674,674,0.109375,0.53125,0.84375,1.0
