,lambd,p,nnz,true_label,ones_label,exbs_label,ones_mu_label,exbs_mu_label,ones_gap,exbs_gap,ones_mu_gap,exbs_mu_gap
0,0.375,64,8,395,26,395,26,395,0.53125,0.265625,1.0,1.0
1,0.375,64,8,838,838,838,838,838,0.296875,0.03125,0.46875,1.0
2,0.375,64,8,873,873,873,873,873,1.0,0.046875,1.0,1.0
3,0.375,64,8,2,2,2,2,2,1.0,0.0625,1.0,1.0
4,0.375,64,8,534,534,534,534,534,1.0,0.25,1.0,1.0
5,0.375,64,8,269,269,277,269,269,0.96875,0.078125,1.0,1.0
6,0.375,64,8,885,709,709,709,709,0.921875,0.59375,1.0,1.0
7,0.375,64,8,590,810,681,810,681,0.40625,0.203125,0.4375,1.0
8,0.375,64,8,133,133,133,133,133,0.96875,0.0625,1.0,1.0
9,0.375,64,8,280,280,270,280,282,0.8125,0.03125,1.0,1.0
10,0.375,64,8,211,211,211,211,211,0.96875,0.578125,1.0,1.0
11,0.375,64,8,464,902,644,902,902,0.578125,0.078125,0.671875,1.0
12,0.375,64,8,800,800,800,800,800,0.328125,0.390625,0.359375,1.0
13,0.375,64,8,66,66,66,68,68,0.125,0.640625,0.046875,1.0
14,0.375,64,8,587,587,677,587,587,0.96875,0.0,1.0,1.0
15,0.375,64,8,975,708,23,708,144,0.40625,0.015625,1.0,1.0
16,0.375,64,8,889,740,880,889,889,0.09375,0.015625,0.96875,1.0
17,0.375,64,8,774,774,659,774,697,1.0,0.109375,1.0,1.0
18,0.375,64,8,138,138,138,138,138,1.0,0.546875,1.0,1.0
19,0.375,64,8,956,956,956,956,956,1.0,0.25,1.0,1.0
20,0.375,64,8,569,569,569,569,569,1.0,0.328125,1.0,1.0
21,0.375,64,8,214,214,214,214,182,0.953125,0.25,1.0,1.0
22,0.375,64,8,97,97,97,97,97,1.0,0.3125,1.0,1.0
23,0.375,64,8,919,919,919,919,919,0.796875,0.1875,0.90625,1.0
24,0.375,64,8,213,213,213,213,213,1.0,0.421875,1.0,1.0
25,0.375,64,8,233,233,177,233,177,1.0,0.203125,0.9375,1.0
26,0.375,64,8,489,489,489,489,489,0.515625,0.515625,1.0,1.0
27,0.375,64,8,465,465,465,465,414,1.0,0.015625,1.0,1.0
28,0.375,64,8,118,118,932,118,118,0.875,0.0625,1.0,1.0
29,0.375,64,8,675,412,660,412,660,0.46875,0.078125,0.953125,1.0
30,0.375,64,8,327,327,364,327,364,0.9375,0.0625,1.0,1.0
31,0.375,64,8,784,695,695,695,600,0.9375,0.109375,0.65625,1.0
32,0.375,64,8,190,190,405,190,190,0.8125,0.21875,0.96875,1.0
33,0.375,64,8,545,545,567,545,686,0.515625,0.0625,0.46875,1.0
34,0.375,64,8,506,506,506,506,506,1.0,0.09375,1.0,1.0
35,0.375,64,8,480,480,530,480,480,0.96875,0.046875,1.0,1.0
36,0.375,64,8,133,133,133,133,133,1.0,0.25,1.0,1.0
37,0.375,64,8,886,886,886,886,886,1.0,0.453125,1.0,1.0
38,0.375,64,8,967,762,762,762,762,0.5,0.1875,1.0,1.0
