,lambd,p,nnz,true_label,ones_label,exbs_label,ones_mu_label,exbs_mu_label,ones_gap,exbs_gap,ones_mu_gap,exbs_mu_gap
0,0.0625,64,8,395,30,111,30,30,0.0625,0.5,0.5625,1.0
1,0.0625,64,8,838,836,111,902,836,0.140625,0.53125,0.015625,1.0
2,0.0625,64,8,873,873,111,873,873,0.609375,0.25,1.0,1.0
3,0.0625,64,8,2,2,111,2,2,0.8125,0.375,1.0,1.0
4,0.0625,64,8,534,534,111,534,534,0.5625,0.46875,1.0,1.0
5,0.0625,64,8,269,269,111,269,269,0.53125,0.46875,1.0,1.0
6,0.0625,64,8,885,709,111,709,709,0.390625,0.59375,1.0,1.0
7,0.0625,64,8,590,681,111,681,681,0.0625,0.546875,0.640625,1.0
8,0.0625,64,8,133,133,111,133,133,0.5,0.546875,1.0,1.0
9,0.0625,64,8,280,715,111,715,715,0.234375,0.59375,0.53125,1.0
10,0.0625,64,8,211,211,111,211,211,0.015625,0.546875,0.953125,1.0
11,0.0625,64,8,464,777,111,777,777,0.21875,0.53125,0.734375,1.0
12,0.0625,64,8,800,865,111,865,688,0.046875,0.625,0.03125,1.0
13,0.0625,64,8,66,66,111,66,66,0.140625,0.484375,0.5,1.0
14,0.0625,64,8,587,587,111,587,587,0.15625,0.484375,1.0,1.0
15,0.0625,64,8,975,144,111,348,348,0.046875,0.546875,0.03125,1.0
16,0.0625,64,8,889,421,111,510,510,0.015625,0.515625,0.078125,1.0
17,0.0625,64,8,774,578,111,774,774,0.0,0.578125,0.203125,1.0
18,0.0625,64,8,138,138,111,138,138,0.703125,0.40625,1.0,1.0
19,0.0625,64,8,956,956,111,956,956,0.546875,0.53125,1.0,1.0
20,0.0625,64,8,569,569,111,569,569,0.515625,0.515625,1.0,1.0
21,0.0625,64,8,214,214,111,214,214,0.25,0.515625,0.828125,1.0
22,0.0625,64,8,97,97,111,97,97,0.25,0.484375,1.0,1.0
23,0.0625,64,8,919,919,111,919,919,0.0625,0.578125,0.8125,1.0
24,0.0625,64,8,213,213,111,213,213,0.59375,0.421875,1.0,1.0
25,0.0625,64,8,233,233,111,233,233,0.140625,0.515625,0.9375,1.0
26,0.0625,64,8,489,489,111,695,695,0.078125,0.578125,0.078125,1.0
27,0.0625,64,8,465,465,111,465,597,0.203125,0.515625,0.5,1.0
28,0.0625,64,8,118,118,111,118,118,0.390625,0.515625,1.0,1.0
29,0.0625,64,8,675,458,111,412,519,0.046875,0.5,0.1875,1.0
30,0.0625,64,8,327,327,111,329,329,0.15625,0.546875,0.234375,1.0
31,0.0625,64,8,784,695,111,695,695,0.796875,0.546875,0.875,1.0
32,0.0625,64,8,190,153,111,190,257,0.03125,0.4375,0.046875,1.0
33,0.0625,64,8,545,477,111,635,635,0.015625,0.453125,0.265625,1.0
34,0.0625,64,8,506,506,111,506,506,0.40625,0.453125,1.0,1.0
35,0.0625,64,8,480,707,111,480,480,0.015625,0.484375,1.0,1.0
36,0.0625,64,8,133,133,111,133,133,0.0625,0.578125,1.0,1.0
37,0.0625,64,8,886,886,111,886,886,0.875,0.3125,0.9375,1.0
38,0.0625,64,8,967,762,111,762,762,0.1875,0.390625,0.609375,1.0
39,0.0625,64,8,643,419,111,633,966,0.0,0.515625,0.140625,1.0
40,0.0625,64,8,562,870,111,332,332,0.078125,0.4375,0.03125,1.0
41,0.0625,64,8,396,396,111,396,396,0.1875,0.484375,1.0,1.0
42,0.0625,64,8,570,570,111,570,545,0.171875,0.546875,0.15625,1.0
43,0.0625,64,8,690,29,111,690,43,0.09375,0.625,0.53125,1.0
44,0.0625,64,8,902,418,111,584,584,0.171875,0.46875,0.3125,1.0
45,0.0625,64,8,5,913,111,6,977,0.0,0.53125,0.609375,1.0
46,0.0625,64,8,914,914,111,914,914,0.515625,0.59375,1.0,1.0
47,0.0625,64,8,801,801,111,983,983,0.09375,0.5,0.9375,1.0
48,0.0625,64,8,149,149,111,149,149,0.296875,0.375,1.0,1.0
49,0.0625,64,8,828,828,111,828,828,0.78125,0.453125,1.0,1.0
50,0.0625,64,8,965,965,111,965,965,0.5,0.5,1.0,1.0
51,0.0625,64,8,902,902,111,902,902,0.109375,0.515625,0.96875,1.0
52,0.0625,64,8,962,962,111,962,962,0.640625,0.5,1.0,1.0
53,0.0625,64,8,599,410,111,410,410,0.125,0.46875,1.0,1.0
54,0.0625,64,8,654,609,111,609,609,0.421875,0.484375,1.0,1.0
55,0.0625,64,8,709,709,111,477,477,0.09375,0.578125,0.328125,1.0
56,0.0625,64,8,532,532,111,532,532,0.453125,0.515625,1.0,1.0
57,0.0625,64,8,706,706,111,706,706,0.25,0.609375,0.75,1.0
58,0.0625,64,8,975,975,111,536,536,0.015625,0.4375,0.21875,1.0
59,0.0625,64,8,933,934,111,934,934,0.015625,0.609375,0.84375,1.0
60,0.0625,64,8,171,171,111,171,171,0.0,0.546875,0.9375,1.0
61,0.0625,64,8,597,597,111,597,695,0.25,0.546875,0.171875,1.0
62,0.0625,64,8,528,621,111,528,528,0.015625,0.4375,0.8125,1.0
63,0.0625,64,8,752,752,111,486,486,0.328125,0.421875,0.359375,1.0
64,0.0625,64,8,269,269,111,269,269,0.484375,0.640625,0.875,1.0
65,0.0625,64,8,282,285,111,281,281,0.03125,0.53125,0.21875,1.0
66,0.0625,64,8,799,877,111,877,747,0.015625,0.5,0.5625,1.0
67,0.0625,64,8,289,289,111,289,289,0.765625,0.5625,1.0,1.0
68,0.0625,64,8,942,942,111,942,942,0.484375,0.46875,0.890625,1.0
69,0.0625,64,8,937,937,111,937,936,0.359375,0.375,0.34375,1.0
70,0.0625,64,8,924,924,111,924,924,1.0,0.390625,1.0,1.0
71,0.0625,64,8,705,705,111,705,466,0.25,0.375,0.875,1.0
72,0.0625,64,8,202,202,111,202,202,0.59375,0.5,1.0,1.0
73,0.0625,64,8,618,544,111,544,544,0.25,0.609375,0.65625,1.0
74,0.0625,64,8,278,280,111,280,280,0.015625,0.546875,0.15625,1.0
75,0.0625,64,8,583,583,111,583,583,0.078125,0.453125,1.0,1.0
76,0.0625,64,8,419,419,111,419,419,0.140625,0.484375,0.96875,1.0
77,0.0625,64,8,84,84,111,84,84,0.78125,0.484375,1.0,1.0
78,0.0625,64,8,688,688,111,688,688,0.328125,0.578125,0.8125,1.0
79,0.0625,64,8,351,351,111,351,539,0.28125,0.46875,0.359375,1.0
80,0.0625,64,8,806,658,111,658,806,0.046875,0.515625,0.0625,1.0
81,0.0625,64,8,884,500,111,114,500,0.359375,0.375,0.0,1.0
82,0.0625,64,8,145,145,111,145,145,0.671875,0.3125,1.0,1.0
83,0.0625,64,8,335,335,111,335,335,0.203125,0.5,1.0,1.0
84,0.0625,64,8,633,526,111,897,897,0.0,0.5625,0.71875,1.0
85,0.0625,64,8,360,360,111,360,98,0.3125,0.453125,0.25,1.0
86,0.0625,64,8,715,715,111,715,715,0.703125,0.4375,1.0,1.0
87,0.0625,64,8,78,78,111,78,78,0.6875,0.375,1.0,1.0
88,0.0625,64,8,935,961,111,935,935,0.046875,0.484375,0.890625,1.0
89,0.0625,64,8,171,171,111,151,552,0.0625,0.609375,0.59375,1.0
90,0.0625,64,8,603,603,111,603,603,0.21875,0.515625,0.96875,1.0
91,0.0625,64,8,389,389,111,389,389,0.71875,0.484375,1.0,1.0
92,0.0625,64,8,370,370,111,370,370,0.09375,0.5625,1.0,1.0
93,0.0625,64,8,449,449,111,975,975,0.265625,0.53125,0.40625,1.0
94,0.0625,64,8,572,509,111,509,509,0.171875,0.390625,0.1875,1.0
95,0.0625,64,8,60,60,111,60,62,0.078125,0.46875,0.25,1.0
96,0.0625,64,8,779,779,111,779,594,0.0625,0.546875,0.109375,1.0
97,0.0625,64,8,347,347,111,347,347,0.671875,0.421875,1.0,1.0
98,0.0625,64,8,370,370,111,370,370,0.09375,0.625,1.0,1.0
99,0.0625,64,8,690,690,111,690,690,0.28125,0.5625,0.296875,1.0
100,0.0625,64,8,910,938,111,909,909,0.171875,0.46875,0.328125,1.0
101,0.0625,64,8,365,365,111,365,365,0.609375,0.390625,1.0,1.0
102,0.0625,64,8,162,263,111,173,173,0.125,0.46875,0.09375,1.0
103,0.0625,64,8,837,970,111,970,391,0.328125,0.5625,0.203125,1.0
104,0.0625,64,8,603,603,111,603,603,0.078125,0.484375,1.0,1.0
105,0.0625,64,8,286,286,111,286,286,0.28125,0.546875,0.96875,1.0
106,0.0625,64,8,264,264,111,264,264,0.1875,0.453125,1.0,1.0
107,0.0625,64,8,747,872,111,737,737,0.0,0.4375,0.28125,1.0
108,0.0625,64,8,649,649,111,649,972,0.640625,0.515625,0.28125,1.0
109,0.0625,64,8,486,486,111,486,486,0.375,0.5,1.0,1.0
110,0.0625,64,8,512,512,111,512,679,0.265625,0.484375,0.59375,1.0
111,0.0625,64,8,828,828,111,110,110,0.046875,0.546875,0.0,1.0
112,0.0625,64,8,955,955,111,955,955,0.421875,0.578125,1.0,1.0
113,0.0625,64,8,680,431,111,443,443,0.0,0.53125,0.46875,1.0
114,0.0625,64,8,893,892,111,868,868,0.078125,0.453125,0.59375,1.0
115,0.0625,64,8,385,386,111,386,386,0.0625,0.5,0.75,1.0
116,0.0625,64,8,965,965,111,965,809,0.09375,0.5,0.09375,1.0
117,0.0625,64,8,609,436,111,609,817,0.015625,0.484375,0.25,1.0
118,0.0625,64,8,131,131,111,131,131,0.609375,0.484375,1.0,1.0
119,0.0625,64,8,717,436,111,717,717,0.03125,0.46875,0.90625,1.0
120,0.0625,64,8,819,470,111,854,819,0.0,0.46875,0.3125,1.0
121,0.0625,64,8,870,444,111,870,665,0.0,0.4375,0.125,1.0
122,0.0625,64,8,237,909,111,237,237,0.03125,0.484375,0.671875,1.0
123,0.0625,64,8,562,682,111,974,974,0.15625,0.4375,0.4375,1.0
124,0.0625,64,8,48,48,111,48,48,0.40625,0.46875,1.0,1.0
125,0.0625,64,8,979,472,111,472,472,0.3125,0.578125,0.328125,1.0
126,0.0625,64,8,834,678,111,906,906,0.015625,0.578125,1.0,1.0
127,0.0625,64,8,709,893,111,748,75,0.109375,0.515625,0.21875,1.0
128,0.0625,64,8,109,109,111,109,109,0.3125,0.515625,1.0,1.0
129,0.0625,64,8,511,511,111,627,627,0.09375,0.53125,0.53125,1.0
130,0.0625,64,8,778,458,111,674,412,0.078125,0.5625,0.109375,1.0
131,0.0625,64,8,521,521,111,521,521,0.3125,0.5625,1.0,1.0
132,0.0625,64,8,996,996,111,996,996,0.609375,0.546875,0.6875,1.0
133,0.0625,64,8,827,478,111,896,896,0.0,0.421875,0.890625,1.0
134,0.0625,64,8,241,195,111,238,238,0.015625,0.515625,0.625,1.0
135,0.0625,64,8,700,700,111,999,774,0.0,0.5,0.1875,1.0
136,0.0625,64,8,635,479,111,835,835,0.015625,0.546875,0.078125,1.0
137,0.0625,64,8,388,388,111,388,388,0.734375,0.40625,1.0,1.0
138,0.0625,64,8,124,124,111,124,124,0.3125,0.40625,0.90625,1.0
139,0.0625,64,8,468,468,111,468,468,0.65625,0.5625,1.0,1.0
140,0.0625,64,8,774,774,111,774,749,0.3125,0.578125,0.1875,1.0
141,0.0625,64,8,662,605,111,605,605,0.15625,0.484375,0.84375,1.0
142,0.0625,64,8,682,682,111,682,682,0.484375,0.546875,1.0,1.0
143,0.0625,64,8,591,591,111,591,591,0.765625,0.5,1.0,1.0
144,0.0625,64,8,941,941,111,941,941,0.6875,0.46875,1.0,1.0
145,0.0625,64,8,51,33,111,51,51,0.34375,0.515625,0.40625,1.0
146,0.0625,64,8,75,442,111,75,75,0.046875,0.484375,0.71875,1.0
147,0.0625,64,8,136,136,111,136,136,0.734375,0.484375,1.0,1.0
148,0.0625,64,8,182,182,111,182,254,0.234375,0.515625,0.6875,1.0
149,0.0625,64,8,901,901,111,728,728,0.15625,0.484375,0.1875,1.0
150,0.0625,64,8,41,47,111,47,47,0.046875,0.546875,0.140625,1.0
151,0.0625,64,8,289,289,111,289,289,0.859375,0.453125,1.0,1.0
152,0.0625,64,8,19,12,111,19,19,0.25,0.59375,0.8125,1.0
153,0.0625,64,8,924,924,111,924,924,0.71875,0.484375,1.0,1.0
154,0.0625,64,8,516,431,111,516,516,0.3125,0.46875,0.84375,1.0
155,0.0625,64,8,258,258,111,258,258,0.375,0.359375,1.0,1.0
156,0.0625,64,8,976,976,111,976,976,0.4375,0.546875,1.0,1.0
157,0.0625,64,8,754,485,111,485,485,0.421875,0.53125,1.0,1.0
158,0.0625,64,8,791,791,111,791,766,0.609375,0.5625,0.703125,1.0
159,0.0625,64,8,675,656,111,704,704,0.109375,0.578125,0.34375,1.0
160,0.0625,64,8,317,317,111,317,317,0.703125,0.40625,1.0,1.0
161,0.0625,64,8,261,261,111,261,261,0.234375,0.515625,1.0,1.0
162,0.0625,64,8,124,124,111,124,124,0.0,0.40625,0.859375,1.0
163,0.0625,64,8,667,529,111,793,793,0.140625,0.4375,0.265625,1.0
164,0.0625,64,8,170,221,111,221,221,0.890625,0.4375,1.0,1.0
165,0.0625,64,8,257,223,111,212,212,0.09375,0.515625,0.234375,1.0
166,0.0625,64,8,418,767,111,767,767,0.1875,0.53125,1.0,1.0
167,0.0625,64,8,108,108,111,116,116,0.046875,0.546875,0.5625,1.0
168,0.0625,64,8,185,185,111,185,185,0.046875,0.5,0.75,1.0
169,0.0625,64,8,746,746,111,746,746,0.8125,0.453125,1.0,1.0
170,0.0625,64,8,528,968,111,849,849,0.109375,0.46875,0.796875,1.0
171,0.0625,64,8,107,107,111,107,107,0.6875,0.265625,1.0,1.0
172,0.0625,64,8,578,982,111,982,982,0.5,0.515625,1.0,1.0
173,0.0625,64,8,674,674,111,674,674,0.078125,0.640625,1.0,1.0
174,0.0625,64,8,240,241,111,240,240,0.375,0.421875,0.375,1.0
175,0.0625,64,8,478,478,111,742,742,0.03125,0.46875,0.515625,1.0
176,0.0625,64,8,922,922,111,922,922,0.859375,0.328125,1.0,1.0
177,0.0625,64,8,905,905,111,799,799,0.09375,0.484375,0.3125,1.0
178,0.0625,64,8,50,975,111,50,801,0.046875,0.546875,0.65625,1.0
179,0.0625,64,8,463,738,111,738,412,0.125,0.53125,0.328125,1.0
180,0.0625,64,8,256,224,111,197,197,0.015625,0.453125,0.328125,1.0
181,0.0625,64,8,507,695,111,695,695,0.578125,0.5,1.0,1.0
182,0.0625,64,8,392,392,111,392,392,0.828125,0.359375,1.0,1.0
183,0.0625,64,8,884,884,111,884,884,0.859375,0.515625,1.0,1.0
184,0.0625,64,8,714,714,111,714,714,0.015625,0.546875,1.0,1.0
185,0.0625,64,8,47,652,111,652,652,0.078125,0.640625,0.546875,1.0
186,0.0625,64,8,271,271,111,271,271,0.71875,0.46875,1.0,1.0
187,0.0625,64,8,136,131,111,137,136,0.078125,0.46875,0.03125,1.0
188,0.0625,64,8,274,274,111,274,274,0.3125,0.578125,1.0,1.0
189,0.0625,64,8,188,188,111,266,266,0.0625,0.515625,0.0625,1.0
190,0.0625,64,8,210,210,111,210,210,0.125,0.515625,1.0,1.0
191,0.0625,64,8,349,349,111,349,349,0.234375,0.4375,1.0,1.0
192,0.0625,64,8,262,566,111,262,262,0.015625,0.515625,0.40625,1.0
193,0.0625,64,8,171,168,111,168,168,0.421875,0.53125,0.53125,1.0
194,0.0625,64,8,20,20,111,20,20,0.546875,0.421875,1.0,1.0
195,0.0625,64,8,421,421,111,421,421,0.234375,0.453125,1.0,1.0
196,0.0625,64,8,506,533,111,533,533,0.6875,0.421875,0.96875,1.0
