,lambd,p,nnz,true_label,ones_label,exbs_label,ones_mu_label,exbs_mu_label,ones_gap,exbs_gap,ones_mu_gap,exbs_mu_gap
0,0.125,64,24,395,30,973,26,26,0.25,0.15625,1.0,1.0
1,0.125,64,24,838,838,836,838,838,0.171875,0.140625,1.0,1.0
2,0.125,64,24,873,873,873,873,873,0.796875,0.40625,1.0,1.0
3,0.125,64,24,2,2,2,2,2,0.96875,0.875,1.0,1.0
4,0.125,64,24,534,534,534,534,534,0.890625,0.375,1.0,1.0
5,0.125,64,24,269,269,269,269,269,0.78125,0.265625,1.0,1.0
6,0.125,64,24,885,709,709,709,709,0.65625,0.1875,1.0,1.0
7,0.125,64,24,590,508,810,810,810,0.125,0.109375,1.0,1.0
8,0.125,64,24,133,133,133,133,133,0.875,0.4375,1.0,1.0
9,0.125,64,24,280,280,280,280,280,0.03125,0.0,1.0,1.0
10,0.125,64,24,211,211,211,211,211,0.203125,0.140625,1.0,1.0
11,0.125,64,24,464,777,902,902,902,0.125,0.03125,0.875,1.0
12,0.125,64,24,800,865,800,800,502,0.1875,0.0,0.28125,1.0
13,0.125,64,24,66,66,68,68,66,0.046875,0.0625,0.34375,1.0
14,0.125,64,24,587,587,622,587,587,0.5625,0.046875,1.0,1.0
15,0.125,64,24,975,144,975,708,708,0.03125,0.046875,1.0,1.0
16,0.125,64,24,889,740,832,889,889,0.03125,0.03125,0.65625,1.0
17,0.125,64,24,774,774,578,774,774,0.1875,0.125,1.0,1.0
18,0.125,64,24,138,138,138,138,138,0.96875,0.28125,1.0,1.0
19,0.125,64,24,956,956,956,956,956,0.9375,0.328125,1.0,1.0
20,0.125,64,24,569,569,569,569,569,0.75,0.328125,1.0,1.0
21,0.125,64,24,214,214,111,214,214,0.421875,0.0,1.0,1.0
22,0.125,64,24,97,97,97,97,97,0.609375,0.375,1.0,1.0
23,0.125,64,24,919,919,919,919,919,0.109375,0.15625,1.0,1.0
24,0.125,64,24,213,213,213,213,213,0.8125,0.25,1.0,1.0
25,0.125,64,24,233,233,233,233,233,0.3125,0.078125,1.0,1.0
26,0.125,64,24,489,489,489,489,489,0.21875,0.078125,1.0,1.0
27,0.125,64,24,465,465,465,465,465,0.609375,0.015625,1.0,1.0
28,0.125,64,24,118,118,118,118,118,0.75,0.53125,1.0,1.0
29,0.125,64,24,675,412,458,412,412,0.015625,0.0625,0.375,1.0
30,0.125,64,24,327,327,952,327,327,0.40625,0.0625,1.0,1.0
31,0.125,64,24,784,695,695,695,695,0.75,0.59375,1.0,1.0
32,0.125,64,24,190,190,258,190,190,0.03125,0.015625,1.0,1.0
33,0.125,64,24,545,545,477,545,545,0.109375,0.015625,1.0,1.0
34,0.125,64,24,506,506,506,506,506,0.875,0.390625,1.0,1.0
35,0.125,64,24,480,480,884,480,480,0.125,0.046875,1.0,1.0
36,0.125,64,24,133,133,133,133,133,0.375,0.25,1.0,1.0
37,0.125,64,24,886,886,886,886,886,0.96875,0.5625,1.0,1.0
38,0.125,64,24,967,762,762,762,762,0.40625,0.4375,1.0,1.0
39,0.125,64,24,643,558,333,691,691,0.109375,0.015625,0.890625,1.0
40,0.125,64,24,562,562,870,562,562,0.015625,0.078125,1.0,1.0
41,0.125,64,24,396,396,108,396,396,0.453125,0.15625,1.0,1.0
42,0.125,64,24,570,570,447,570,570,0.328125,0.046875,1.0,1.0
43,0.125,64,24,690,690,29,690,690,0.015625,0.03125,1.0,1.0
44,0.125,64,24,902,902,902,902,902,0.03125,0.046875,1.0,1.0
45,0.125,64,24,5,6,977,6,6,0.1875,0.046875,1.0,1.0
46,0.125,64,24,914,914,914,914,914,0.78125,0.46875,1.0,1.0
47,0.125,64,24,801,801,801,801,801,0.0,0.015625,1.0,1.0
48,0.125,64,24,149,149,149,149,149,0.703125,0.078125,1.0,1.0
49,0.125,64,24,828,828,828,828,828,0.96875,0.5,1.0,1.0
50,0.125,64,24,965,965,965,965,965,0.71875,0.359375,1.0,1.0
51,0.125,64,24,902,902,902,902,902,0.625,0.15625,1.0,1.0
52,0.125,64,24,962,962,962,962,962,0.71875,0.515625,1.0,1.0
53,0.125,64,24,599,410,410,410,410,0.5,0.265625,1.0,1.0
54,0.125,64,24,654,609,609,654,654,0.734375,0.265625,0.53125,1.0
55,0.125,64,24,709,709,709,709,709,0.5,0.3125,1.0,1.0
56,0.125,64,24,532,532,532,532,532,0.9375,0.34375,1.0,1.0
57,0.125,64,24,706,706,706,706,706,0.5625,0.03125,1.0,1.0
58,0.125,64,24,975,975,979,975,975,0.25,0.03125,0.96875,1.0
59,0.125,64,24,933,933,934,933,933,0.03125,0.03125,1.0,1.0
60,0.125,64,24,171,171,171,171,171,0.1875,0.09375,1.0,1.0
61,0.125,64,24,597,597,597,597,597,0.59375,0.0,1.0,1.0
62,0.125,64,24,528,528,528,528,528,0.65625,0.078125,1.0,1.0
63,0.125,64,24,752,752,752,752,752,0.75,0.234375,1.0,1.0
64,0.125,64,24,269,269,269,269,269,0.71875,0.578125,0.96875,1.0
65,0.125,64,24,282,285,289,281,281,0.0625,0.109375,1.0,1.0
66,0.125,64,24,799,760,530,760,760,0.0,0.0,0.71875,1.0
67,0.125,64,24,289,289,289,289,289,0.96875,0.75,1.0,1.0
68,0.125,64,24,942,942,942,942,942,0.6875,0.390625,1.0,1.0
69,0.125,64,24,937,937,937,937,937,0.703125,0.09375,1.0,1.0
70,0.125,64,24,924,924,924,924,924,1.0,0.8125,1.0,1.0
71,0.125,64,24,705,705,111,705,705,0.4375,0.0,0.875,1.0
72,0.125,64,24,202,202,202,202,202,0.921875,0.46875,1.0,1.0
73,0.125,64,24,618,544,544,544,756,0.3125,0.09375,0.3125,1.0
74,0.125,64,24,278,280,351,274,274,0.140625,0.0625,0.859375,1.0
75,0.125,64,24,583,583,760,583,583,0.46875,0.046875,1.0,1.0
76,0.125,64,24,419,419,419,549,549,0.5,0.078125,0.46875,1.0
77,0.125,64,24,84,84,84,84,84,0.953125,0.6875,1.0,1.0
78,0.125,64,24,688,688,688,688,688,0.515625,0.1875,1.0,1.0
79,0.125,64,24,351,351,351,351,351,0.40625,0.234375,1.0,1.0
80,0.125,64,24,806,658,806,806,806,0.171875,0.203125,0.6875,1.0
81,0.125,64,24,884,500,500,500,500,0.46875,0.3125,0.8125,1.0
82,0.125,64,24,145,145,145,145,145,0.90625,0.6875,1.0,1.0
83,0.125,64,24,335,335,335,335,335,0.484375,0.1875,1.0,1.0
84,0.125,64,24,633,897,486,633,633,0.03125,0.0,1.0,1.0
85,0.125,64,24,360,360,360,360,360,0.65625,0.1875,1.0,1.0
86,0.125,64,24,715,715,715,715,715,0.9375,0.46875,1.0,1.0
87,0.125,64,24,78,78,78,78,78,0.84375,0.390625,1.0,1.0
88,0.125,64,24,935,935,961,935,935,0.15625,0.375,1.0,1.0
89,0.125,64,24,171,171,171,151,151,0.171875,0.0625,0.125,1.0
90,0.125,64,24,603,603,603,603,603,0.34375,0.09375,1.0,1.0
91,0.125,64,24,389,389,389,389,389,1.0,0.5,1.0,1.0
92,0.125,64,24,370,370,375,370,370,0.484375,0.046875,1.0,1.0
93,0.125,64,24,449,449,449,449,449,0.5625,0.1875,1.0,1.0
94,0.125,64,24,572,509,509,711,711,0.125,0.125,1.0,1.0
95,0.125,64,24,60,60,62,60,60,0.28125,0.046875,0.96875,1.0
96,0.125,64,24,779,779,779,779,779,0.1875,0.28125,1.0,1.0
97,0.125,64,24,347,347,347,347,347,0.875,0.59375,1.0,1.0
98,0.125,64,24,370,370,370,370,370,0.328125,0.03125,1.0,1.0
99,0.125,64,24,690,690,690,690,690,0.34375,0.171875,1.0,1.0
