,lambd,p,nnz,true_label,ones_label,exbs_label,ones_mu_label,exbs_mu_label,ones_gap,exbs_gap,ones_mu_gap,exbs_mu_gap
0,0.0625,64,32,395,30,123,26,26,0.0625,0.015625,1.0,1.0
1,0.0625,64,32,838,836,836,419,419,0.140625,0.203125,0.8125,1.0
2,0.0625,64,32,873,873,873,873,873,0.609375,0.046875,1.0,1.0
3,0.0625,64,32,2,2,2,2,2,0.8125,0.53125,1.0,1.0
4,0.0625,64,32,534,534,534,534,534,0.5625,0.109375,1.0,1.0
5,0.0625,64,32,269,269,111,269,269,0.53125,0.046875,1.0,1.0
6,0.0625,64,32,885,709,709,709,709,0.390625,0.09375,1.0,1.0
7,0.0625,64,32,590,681,681,590,590,0.0625,0.0625,1.0,1.0
8,0.0625,64,32,133,133,133,133,133,0.5,0.28125,1.0,1.0
9,0.0625,64,32,280,715,715,280,280,0.234375,0.046875,1.0,1.0
10,0.0625,64,32,211,211,168,211,211,0.015625,0.0625,1.0,1.0
11,0.0625,64,32,464,777,111,902,902,0.21875,0.015625,0.5625,1.0
12,0.0625,64,32,800,865,800,800,800,0.046875,0.0625,1.0,1.0
13,0.0625,64,32,66,66,300,68,68,0.140625,0.03125,0.96875,1.0
14,0.0625,64,32,587,587,622,587,587,0.15625,0.078125,1.0,1.0
15,0.0625,64,32,975,144,147,708,708,0.046875,0.09375,1.0,1.0
16,0.0625,64,32,889,421,111,421,421,0.015625,0.171875,0.875,1.0
17,0.0625,64,32,774,578,549,774,697,0.0,0.09375,0.28125,1.0
18,0.0625,64,32,138,138,138,138,138,0.703125,0.21875,1.0,1.0
19,0.0625,64,32,956,956,956,956,956,0.546875,0.09375,1.0,1.0
20,0.0625,64,32,569,569,569,569,569,0.515625,0.296875,1.0,1.0
21,0.0625,64,32,214,214,369,214,214,0.25,0.015625,1.0,1.0
22,0.0625,64,32,97,97,97,97,97,0.25,0.09375,1.0,1.0
23,0.0625,64,32,919,919,900,919,919,0.0625,0.015625,1.0,1.0
24,0.0625,64,32,213,213,213,213,213,0.59375,0.171875,1.0,1.0
25,0.0625,64,32,233,233,261,233,233,0.140625,0.15625,1.0,1.0
26,0.0625,64,32,489,489,489,489,489,0.078125,0.03125,1.0,1.0
