,lambd,p,true_label,ones_label,logit_gap,cert_r
0,0.1875,64,395,30,0.078125,0.20833333333333334
1,0.1875,64,838,836,0.125,0.3333333333333333
2,0.1875,64,873,873,1.0,2.6666666666666665
3,0.1875,64,2,2,1.0,2.6666666666666665
4,0.1875,64,534,534,0.96875,2.5833333333333335
5,0.1875,64,269,269,0.53125,1.4166666666666667
6,0.1875,64,885,709,0.28125,0.75
7,0.1875,64,590,590,0.125,0.3333333333333333
8,0.1875,64,133,133,1.0,2.6666666666666665
9,0.1875,64,280,280,0.125,0.3333333333333333
10,0.1875,64,211,168,0.515625,1.375
11,0.1875,64,464,777,0.015625,0.041666666666666664
12,0.1875,64,800,800,0.15625,0.4166666666666667
13,0.1875,64,66,329,0.046875,0.125
14,0.1875,64,587,587,0.4375,1.1666666666666667
15,0.1875,64,975,733,0.0625,0.16666666666666666
16,0.1875,64,889,481,0.015625,0.041666666666666664
17,0.1875,64,774,774,0.09375,0.25
18,0.1875,64,138,138,1.0,2.6666666666666665
19,0.1875,64,956,956,0.5,1.3333333333333333
20,0.1875,64,569,569,0.859375,2.2916666666666665
21,0.1875,64,214,214,0.515625,1.375
22,0.1875,64,97,97,0.328125,0.875
23,0.1875,64,919,919,0.078125,0.20833333333333334
24,0.1875,64,213,213,1.0,2.6666666666666665
25,0.1875,64,233,170,0.265625,0.7083333333333334
26,0.1875,64,489,489,0.3125,0.8333333333333334
27,0.1875,64,465,465,0.140625,0.375
28,0.1875,64,118,118,0.71875,1.9166666666666667
29,0.1875,64,675,408,0.015625,0.041666666666666664
30,0.1875,64,327,327,0.203125,0.5416666666666666
31,0.1875,64,784,695,0.671875,1.7916666666666667
32,0.1875,64,190,153,0.015625,0.041666666666666664
33,0.1875,64,545,518,0.0625,0.16666666666666666
34,0.1875,64,506,506,0.9375,2.5
35,0.1875,64,480,877,0.265625,0.7083333333333334
36,0.1875,64,133,16,0.3125,0.8333333333333334
37,0.1875,64,886,886,1.0,2.6666666666666665
38,0.1875,64,967,762,0.125,0.3333333333333333
