,lambd,p,true_label,ones_label,logit_gap,cert_r
0,0.1875,29,1,1,0.90625,2.4166666666666665
1,0.1875,23,2,1,0.53125,1.4166666666666667
2,0.1875,37,2,1,0.28125,0.75
3,0.1875,22,1,2,0.09375,0.25
4,0.1875,33,2,2,0.90625,2.4166666666666665
5,0.1875,21,0,1,0.90625,2.4166666666666665
6,0.1875,38,1,1,0.4375,1.1666666666666667
7,0.1875,27,2,2,0.125,0.3333333333333333
8,0.1875,23,2,2,0.15625,0.4166666666666667
9,0.1875,22,2,1,0.15625,0.4166666666666667
10,0.1875,35,2,2,0.21875,0.5833333333333334
11,0.1875,21,0,1,0.453125,1.2083333333333333
12,0.1875,31,1,1,0.78125,2.0833333333333335
13,0.1875,17,2,2,0.53125,1.4166666666666667
14,0.1875,29,1,1,0.9375,2.5
15,0.1875,28,1,2,0.09375,0.25
16,0.1875,33,1,1,0.625,1.6666666666666667
17,0.1875,38,1,2,0.3125,0.8333333333333334
18,0.1875,23,1,1,0.90625,2.4166666666666665
19,0.1875,31,1,1,0.421875,1.125
20,0.1875,19,1,1,0.25,0.6666666666666666
21,0.1875,40,2,1,0.09375,0.25
22,0.1875,25,2,1,0.4375,1.1666666666666667
23,0.1875,43,2,1,0.578125,1.5416666666666667
24,0.1875,24,1,1,0.46875,1.25
25,0.1875,22,2,2,0.03125,0.08333333333333333
26,0.1875,28,2,2,0.09375,0.25
27,0.1875,20,2,1,0.375,1.0
28,0.1875,28,2,1,0.078125,0.20833333333333334
29,0.1875,38,2,2,0.28125,0.75
30,0.1875,16,2,1,0.25,0.6666666666666666
31,0.1875,25,1,1,0.5625,1.5
32,0.1875,24,1,1,0.46875,1.25
33,0.1875,16,2,1,0.5,1.3333333333333333
34,0.1875,26,2,2,0.28125,0.75
35,0.1875,29,1,1,0.875,2.3333333333333335
36,0.1875,42,2,2,0.125,0.3333333333333333
37,0.1875,30,1,1,1.0,2.6666666666666665
38,0.1875,36,0,1,0.4375,1.1666666666666667
39,0.1875,36,1,1,0.71875,1.9166666666666667
40,0.1875,36,1,1,0.03125,0.08333333333333333
41,0.1875,31,1,1,0.90625,2.4166666666666665
42,0.1875,27,2,2,0.65625,1.75
43,0.1875,27,1,1,0.59375,1.5833333333333333
44,0.1875,58,1,1,0.09375,0.25
45,0.1875,20,1,1,0.375,1.0
46,0.1875,36,0,0,0.09375,0.25
47,0.1875,32,2,2,0.4375,1.1666666666666667
48,0.1875,30,1,1,0.6875,1.8333333333333333
49,0.1875,38,2,1,0.125,0.3333333333333333
50,0.1875,35,2,2,0.734375,1.9583333333333333
51,0.1875,29,1,2,0.6875,1.8333333333333333
52,0.1875,18,1,2,0.1875,0.5
53,0.1875,20,1,1,0.59375,1.5833333333333333
54,0.1875,32,2,1,0.609375,1.625
55,0.1875,29,1,2,0.09375,0.25
56,0.1875,34,0,1,0.21875,0.5833333333333334
57,0.1875,30,2,2,0.25,0.6666666666666666
58,0.1875,41,0,2,0.4375,1.1666666666666667
59,0.1875,21,1,1,1.0,2.6666666666666665
60,0.1875,37,2,1,0.25,0.6666666666666666
61,0.1875,37,1,2,0.40625,1.0833333333333333
62,0.1875,39,1,2,0.59375,1.5833333333333333
63,0.1875,39,2,2,0.59375,1.5833333333333333
64,0.1875,14,2,1,0.09375,0.25
65,0.1875,21,1,2,0.1875,0.5
66,0.1875,35,1,1,0.09375,0.25
67,0.1875,29,2,2,0.4375,1.1666666666666667
68,0.1875,25,2,2,0.59375,1.5833333333333333
69,0.1875,18,2,2,0.1875,0.5
70,0.1875,35,0,1,0.640625,1.7083333333333333
71,0.1875,32,2,2,0.4375,1.1666666666666667
72,0.1875,33,1,1,0.84375,2.25
73,0.1875,24,2,1,0.53125,1.4166666666666667
74,0.1875,28,2,2,0.375,1.0
75,0.1875,33,1,2,0.09375,0.25
76,0.1875,17,1,1,0.640625,1.7083333333333333
77,0.1875,28,1,2,0.375,1.0
78,0.1875,18,2,1,0.5625,1.5
79,0.1875,19,2,1,0.25,0.6666666666666666
80,0.1875,23,2,2,0.21875,0.5833333333333334
81,0.1875,24,2,2,0.4375,1.1666666666666667
82,0.1875,29,2,2,0.28125,0.75
83,0.1875,28,0,1,0.25,0.6666666666666666
84,0.1875,31,1,1,0.28125,0.75
85,0.1875,18,1,1,1.0,2.6666666666666665
86,0.1875,30,1,1,0.3125,0.8333333333333334
87,0.1875,25,1,1,0.53125,1.4166666666666667
