,lambd,p,true_label,ones_label,logit_gap,cert_r
0,0.25,64,395,26,0.28125,0.5625
1,0.25,64,838,838,0.46875,0.9375
2,0.25,64,873,873,1.0,2.0
3,0.25,64,2,2,1.0,2.0
4,0.25,64,534,534,1.0,2.0
5,0.25,64,269,269,1.0,2.0
6,0.25,64,885,709,0.90625,1.8125
7,0.25,64,590,590,0.140625,0.28125
8,0.25,64,133,133,0.8125,1.625
9,0.25,64,280,280,0.1875,0.375
10,0.25,64,211,211,0.5,1.0
11,0.25,64,464,902,0.125,0.25
12,0.25,64,800,865,0.1875,0.375
13,0.25,64,66,66,0.109375,0.21875
14,0.25,64,587,587,0.796875,1.59375
15,0.25,64,975,708,0.25,0.5
16,0.25,64,889,421,0.0,0.0
17,0.25,64,774,774,0.828125,1.65625
18,0.25,64,138,138,1.0,2.0
19,0.25,64,956,956,1.0,2.0
20,0.25,64,569,569,1.0,2.0
21,0.25,64,214,214,0.78125,1.5625
22,0.25,64,97,97,1.0,2.0
23,0.25,64,919,919,0.375,0.75
24,0.25,64,213,213,0.96875,1.9375
25,0.25,64,233,233,0.90625,1.8125
26,0.25,64,489,489,0.421875,0.84375
27,0.25,64,465,465,1.0,2.0
28,0.25,64,118,118,0.875,1.75
29,0.25,64,675,412,0.28125,0.5625
30,0.25,64,327,327,0.71875,1.4375
31,0.25,64,784,695,0.6875,1.375
32,0.25,64,190,190,0.484375,0.96875
33,0.25,64,545,545,0.21875,0.4375
34,0.25,64,506,506,1.0,2.0
35,0.25,64,480,480,0.78125,1.5625
36,0.25,64,133,133,0.90625,1.8125
37,0.25,64,886,886,1.0,2.0
38,0.25,64,967,762,0.5625,1.125
39,0.25,64,643,633,0.125,0.25
40,0.25,64,562,562,0.5625,1.125
41,0.25,64,396,396,0.9375,1.875
42,0.25,64,570,570,0.609375,1.21875
43,0.25,64,690,690,0.125,0.25
44,0.25,64,902,902,0.296875,0.59375
45,0.25,64,5,6,0.421875,0.84375
46,0.25,64,914,914,0.953125,1.90625
