,lambd,p,true_label,ones_label,logit_gap,cert_r
0,0.375,64,395,30,0.0625,0.08333333333333333
1,0.375,64,838,838,0.125,0.16666666666666666
2,0.375,64,873,873,1.0,1.3333333333333333
3,0.375,64,2,2,1.0,1.3333333333333333
4,0.375,64,534,534,1.0,1.3333333333333333
5,0.375,64,269,269,0.875,1.1666666666666667
6,0.375,64,885,709,0.375,0.5
7,0.375,64,590,590,0.25,0.3333333333333333
8,0.375,64,133,133,1.0,1.3333333333333333
9,0.375,64,280,280,0.1875,0.25
10,0.375,64,211,211,0.25,0.3333333333333333
11,0.375,64,464,512,0.1875,0.25
12,0.375,64,800,800,0.75,1.0
13,0.375,64,66,931,0.4375,0.5833333333333334
14,0.375,64,587,587,1.0,1.3333333333333333
15,0.375,64,975,708,0.375,0.5
16,0.375,64,889,453,0.0625,0.08333333333333333
17,0.375,64,774,774,0.125,0.16666666666666666
18,0.375,64,138,138,1.0,1.3333333333333333
19,0.375,64,956,956,1.0,1.3333333333333333
20,0.375,64,569,569,1.0,1.3333333333333333
21,0.375,64,214,214,1.0,1.3333333333333333
22,0.375,64,97,97,0.625,0.8333333333333334
23,0.375,64,919,919,0.375,0.5
24,0.375,64,213,213,1.0,1.3333333333333333
25,0.375,64,233,233,0.3125,0.4166666666666667
26,0.375,64,489,489,0.625,0.8333333333333334
27,0.375,64,465,414,0.125,0.16666666666666666
28,0.375,64,118,118,0.875,1.1666666666666667
29,0.375,64,675,412,0.125,0.16666666666666666
30,0.375,64,327,327,0.375,0.5
31,0.375,64,784,695,0.375,0.5
32,0.375,64,190,190,0.625,0.8333333333333334
33,0.375,64,545,545,0.0625,0.08333333333333333
34,0.375,64,506,506,1.0,1.3333333333333333
35,0.375,64,480,480,0.25,0.3333333333333333
36,0.375,64,133,133,0.0625,0.08333333333333333
37,0.375,64,886,886,1.0,1.3333333333333333
38,0.375,64,967,909,0.125,0.16666666666666666
39,0.375,64,643,523,0.0,0.0
40,0.375,64,562,838,0.0625,0.08333333333333333
41,0.375,64,396,396,1.0,1.3333333333333333
