,lambd,p,true_label,ones_label,logit_gap,cert_r
0,0.25,29,1,1,0.921875,1.84375
1,0.25,23,2,1,0.390625,0.78125
2,0.25,37,2,2,0.078125,0.15625
3,0.25,22,1,2,0.0625,0.125
4,0.25,33,2,2,0.859375,1.71875
5,0.25,21,0,1,0.890625,1.78125
6,0.25,38,1,1,0.4609375,0.921875
7,0.25,27,2,2,0.265625,0.53125
8,0.25,23,2,2,0.359375,0.71875
9,0.25,22,2,1,0.03125,0.0625
10,0.25,35,2,2,0.390625,0.78125
11,0.25,21,0,1,0.609375,1.21875
12,0.25,31,1,1,0.625,1.25
13,0.25,17,2,2,0.71875,1.4375
14,0.25,29,1,1,1.0,2.0
15,0.25,28,1,2,0.453125,0.90625
16,0.25,33,1,1,0.65625,1.3125
17,0.25,38,1,1,0.234375,0.46875
18,0.25,23,1,1,0.953125,1.90625
19,0.25,31,1,1,0.265625,0.53125
20,0.25,19,1,1,0.0703125,0.140625
21,0.25,40,2,2,0.296875,0.59375
22,0.25,25,2,1,0.4375,0.875
23,0.25,43,2,1,0.3203125,0.640625
24,0.25,24,1,1,0.7734375,1.546875
25,0.25,22,2,2,0.171875,0.34375
26,0.25,28,2,2,0.515625,1.03125
27,0.25,20,2,1,0.21875,0.4375
28,0.25,28,2,2,0.140625,0.28125
29,0.25,38,2,2,0.765625,1.53125
30,0.25,16,2,1,0.0,0.0
31,0.25,25,1,1,0.5,1.0
32,0.25,24,1,1,0.7109375,1.421875
33,0.25,16,2,1,0.28125,0.5625
34,0.25,26,2,2,0.328125,0.65625
35,0.25,29,1,1,0.6875,1.375
36,0.25,42,2,2,0.328125,0.65625
37,0.25,30,1,1,0.90625,1.8125
38,0.25,36,0,1,0.3671875,0.734375
39,0.25,36,1,1,0.6875,1.375
40,0.25,36,1,2,0.140625,0.28125
41,0.25,31,1,1,0.6953125,1.390625
42,0.25,27,2,2,0.75,1.5
43,0.25,27,1,1,0.703125,1.40625
44,0.25,58,1,1,0.0234375,0.046875
45,0.25,20,1,1,0.09375,0.1875
46,0.25,36,0,0,0.234375,0.46875
47,0.25,32,2,2,0.96875,1.9375
48,0.25,30,1,1,0.09375,0.1875
49,0.25,38,2,2,0.375,0.75
50,0.25,35,2,2,0.7890625,1.578125
51,0.25,29,1,2,0.859375,1.71875
52,0.25,18,1,2,0.484375,0.96875
53,0.25,20,1,1,0.5,1.0
54,0.25,32,2,1,0.359375,0.71875
55,0.25,29,1,2,0.3828125,0.765625
56,0.25,34,0,1,0.359375,0.71875
57,0.25,30,2,2,0.390625,0.78125
58,0.25,41,0,2,0.2734375,0.546875
59,0.25,21,1,1,1.0,2.0
60,0.25,37,2,1,0.375,0.75
61,0.25,37,1,2,0.7421875,1.484375
62,0.25,39,1,2,0.5625,1.125
63,0.25,39,2,2,0.796875,1.59375
64,0.25,14,2,2,0.4375,0.875
65,0.25,21,1,2,0.546875,1.09375
66,0.25,35,1,2,0.1640625,0.328125
67,0.25,29,2,2,0.78125,1.5625
68,0.25,25,2,2,0.578125,1.15625
69,0.25,18,2,2,0.375,0.75
70,0.25,35,0,1,0.625,1.25
71,0.25,32,2,2,0.796875,1.59375
72,0.25,33,1,1,0.640625,1.28125
73,0.25,24,2,1,0.34375,0.6875
74,0.25,28,2,2,0.765625,1.53125
75,0.25,33,1,2,0.21875,0.4375
76,0.25,17,1,1,0.890625,1.78125
77,0.25,28,1,2,0.75,1.5
78,0.25,18,2,1,0.5625,1.125
79,0.25,19,2,2,0.078125,0.15625
80,0.25,23,2,2,0.671875,1.34375
81,0.25,24,2,2,0.765625,1.53125
82,0.25,29,2,2,0.5703125,1.140625
83,0.25,28,0,1,0.2109375,0.421875
84,0.25,31,1,1,0.234375,0.46875
85,0.25,18,1,1,1.0,2.0
86,0.25,30,1,1,0.25,0.5
87,0.25,25,1,1,0.3359375,0.671875
88,0.25,37,2,2,0.3984375,0.796875
89,0.25,24,2,2,0.203125,0.40625
90,0.25,25,0,0,0.0546875,0.109375
91,0.25,38,1,1,0.015625,0.03125
92,0.25,12,1,1,0.5078125,1.015625
93,0.25,22,1,1,0.859375,1.71875
94,0.25,26,1,0,0.015625,0.03125
95,0.25,40,2,1,0.28125,0.5625
96,0.25,30,0,1,0.1875,0.375
97,0.25,27,1,1,0.890625,1.78125
98,0.25,28,1,1,0.84375,1.6875
99,0.25,18,2,1,0.21875,0.4375
100,0.25,42,2,2,0.921875,1.84375
101,0.25,36,1,1,0.59375,1.1875
102,0.25,15,1,1,0.453125,0.90625
103,0.25,28,2,1,0.375,0.75
104,0.25,24,1,1,0.140625,0.28125
105,0.25,32,2,1,0.3515625,0.703125
106,0.25,54,0,0,0.65625,1.3125
107,0.25,25,1,1,1.0,2.0
108,0.25,28,1,2,0.3046875,0.609375
109,0.25,31,1,1,1.0,2.0
110,0.25,32,2,1,0.109375,0.21875
111,0.25,34,2,1,0.390625,0.78125
112,0.25,33,2,1,0.1796875,0.359375
113,0.25,25,2,2,0.625,1.25
114,0.25,31,1,1,1.0,2.0
115,0.25,20,2,2,0.5,1.0
116,0.25,19,1,1,0.28125,0.5625
117,0.25,29,0,0,0.203125,0.40625
