,lambd,p,true_label,ones_label,logit_gap,cert_r
0,0.25,64,395,26,0.75,1.5
1,0.25,64,838,838,0.5,1.0
2,0.25,64,873,873,1.0,2.0
3,0.25,64,2,2,1.0,2.0
4,0.25,64,534,534,1.0,2.0
5,0.25,64,269,269,0.75,1.5
6,0.25,64,885,709,1.0,2.0
7,0.25,64,590,508,0.0,0.0
8,0.25,64,133,133,1.0,2.0
9,0.25,64,280,715,0.0,0.0
10,0.25,64,211,211,1.0,2.0
11,0.25,64,464,512,0.25,0.5
12,0.25,64,800,865,0.25,0.5
13,0.25,64,66,66,0.125,0.25
14,0.25,64,587,587,0.75,1.5
15,0.25,64,975,708,0.125,0.25
16,0.25,64,889,740,0.125,0.25
17,0.25,64,774,774,0.625,1.25
18,0.25,64,138,138,1.0,2.0
19,0.25,64,956,956,1.0,2.0
20,0.25,64,569,569,1.0,2.0
21,0.25,64,214,214,0.75,1.5
22,0.25,64,97,97,1.0,2.0
23,0.25,64,919,693,0.0,0.0
24,0.25,64,213,213,0.75,1.5
25,0.25,64,233,233,0.75,1.5
26,0.25,64,489,489,0.5,1.0
27,0.25,64,465,465,1.0,2.0
28,0.25,64,118,118,0.75,1.5
29,0.25,64,675,412,0.375,0.75
30,0.25,64,327,327,0.625,1.25
31,0.25,64,784,695,0.75,1.5
32,0.25,64,190,190,0.625,1.25
33,0.25,64,545,545,0.125,0.25
34,0.25,64,506,506,1.0,2.0
35,0.25,64,480,480,0.75,1.5
36,0.25,64,133,133,0.75,1.5
37,0.25,64,886,886,1.0,2.0
38,0.25,64,967,762,0.375,0.75
39,0.25,64,643,585,0.0,0.0
40,0.25,64,562,562,0.0,0.0
41,0.25,64,396,396,1.0,2.0
42,0.25,64,570,570,0.375,0.75
43,0.25,64,690,690,0.25,0.5
44,0.25,64,902,902,0.625,1.25
45,0.25,64,5,6,0.625,1.25
46,0.25,64,914,914,1.0,2.0
47,0.25,64,801,801,0.25,0.5
48,0.25,64,149,149,1.0,2.0
49,0.25,64,828,828,1.0,2.0
50,0.25,64,965,965,1.0,2.0
51,0.25,64,902,902,0.75,1.5
52,0.25,64,962,962,1.0,2.0
53,0.25,64,599,410,0.625,1.25
54,0.25,64,654,609,0.25,0.5
55,0.25,64,709,709,0.75,1.5
56,0.25,64,532,532,1.0,2.0
57,0.25,64,706,706,0.75,1.5
58,0.25,64,975,975,0.5,1.0
59,0.25,64,933,934,0.25,0.5
60,0.25,64,171,171,0.75,1.5
61,0.25,64,597,597,1.0,2.0
62,0.25,64,528,528,1.0,2.0
63,0.25,64,752,752,1.0,2.0
64,0.25,64,269,269,0.125,0.25
65,0.25,64,282,281,0.5,1.0
66,0.25,64,799,760,0.375,0.75
67,0.25,64,289,289,1.0,2.0
68,0.25,64,942,942,0.75,1.5
69,0.25,64,937,937,1.0,2.0
70,0.25,64,924,924,1.0,2.0
71,0.25,64,705,705,0.625,1.25
72,0.25,64,202,202,1.0,2.0
73,0.25,64,618,544,0.375,0.75
74,0.25,64,278,280,0.125,0.25
75,0.25,64,583,583,0.75,1.5
76,0.25,64,419,419,0.375,0.75
77,0.25,64,84,84,1.0,2.0
78,0.25,64,688,688,0.625,1.25
79,0.25,64,351,351,0.75,1.5
80,0.25,64,806,658,0.25,0.5
81,0.25,64,884,500,0.25,0.5
82,0.25,64,145,145,1.0,2.0
83,0.25,64,335,335,0.75,1.5
84,0.25,64,633,570,0.125,0.25
85,0.25,64,360,360,0.75,1.5
86,0.25,64,715,715,1.0,2.0
