,lambd,p,true_label,ones_label,logit_gap,cert_r
0,0.0625,64,395,30,0.078125,0.625
1,0.0625,64,838,836,0.0625,0.5
2,0.0625,64,873,873,0.609375,4.875
3,0.0625,64,2,2,0.875,7.0
4,0.0625,64,534,534,0.265625,2.125
5,0.0625,64,269,269,0.125,1.0
6,0.0625,64,885,709,0.28125,2.25
7,0.0625,64,590,590,0.046875,0.375
8,0.0625,64,133,133,0.390625,3.125
9,0.0625,64,280,715,0.0625,0.5
10,0.0625,64,211,168,0.078125,0.625
11,0.0625,64,464,746,0.03125,0.25
12,0.0625,64,800,800,0.125,1.0
13,0.0625,64,66,68,0.046875,0.375
14,0.0625,64,587,622,0.046875,0.375
15,0.0625,64,975,975,0.1875,1.5
16,0.0625,64,889,413,0.015625,0.125
17,0.0625,64,774,458,0.015625,0.125
18,0.0625,64,138,138,0.453125,3.625
19,0.0625,64,956,956,0.03125,0.25
20,0.0625,64,569,569,0.234375,1.875
21,0.0625,64,214,214,0.078125,0.625
22,0.0625,64,97,134,0.015625,0.125
23,0.0625,64,919,919,0.109375,0.875
24,0.0625,64,213,213,0.578125,4.625
25,0.0625,64,233,261,0.34375,2.75
26,0.0625,64,489,489,0.078125,0.625
27,0.0625,64,465,465,0.0625,0.5
28,0.0625,64,118,118,0.359375,2.875
29,0.0625,64,675,458,0.0625,0.5
30,0.0625,64,327,327,0.03125,0.25
31,0.0625,64,784,894,0.078125,0.625
32,0.0625,64,190,153,0.046875,0.375
33,0.0625,64,545,518,0.09375,0.75
34,0.0625,64,506,506,0.140625,1.125
35,0.0625,64,480,877,0.046875,0.375
36,0.0625,64,133,16,0.296875,2.375
37,0.0625,64,886,886,0.703125,5.625
38,0.0625,64,967,762,0.046875,0.375
39,0.0625,64,643,929,0.015625,0.125
40,0.0625,64,562,655,0.0,0.0
41,0.0625,64,396,396,0.015625,0.125
42,0.0625,64,570,447,0.015625,0.125
43,0.0625,64,690,29,0.0625,0.5
44,0.0625,64,902,688,0.15625,1.25
45,0.0625,64,5,977,0.125,1.0
46,0.0625,64,914,914,0.34375,2.75
47,0.0625,64,801,801,0.28125,2.25
48,0.0625,64,149,149,0.234375,1.875
49,0.0625,64,828,828,0.5,4.0
50,0.0625,64,965,965,0.375,3.0
51,0.0625,64,902,512,0.015625,0.125
52,0.0625,64,962,962,0.34375,2.75
53,0.0625,64,599,953,0.0,0.0
54,0.0625,64,654,609,0.265625,2.125
55,0.0625,64,709,401,0.0625,0.5
56,0.0625,64,532,532,0.453125,3.625
57,0.0625,64,706,706,0.125,1.0
58,0.0625,64,975,975,0.0625,0.5
59,0.0625,64,933,934,0.078125,0.625
60,0.0625,64,171,171,0.265625,2.125
61,0.0625,64,597,597,0.09375,0.75
62,0.0625,64,528,528,0.125,1.0
63,0.0625,64,752,752,0.21875,1.75
64,0.0625,64,269,269,0.34375,2.75
65,0.0625,64,282,289,0.109375,0.875
66,0.0625,64,799,877,0.046875,0.375
67,0.0625,64,289,289,0.84375,6.75
68,0.0625,64,942,942,0.25,2.0
69,0.0625,64,937,937,0.0625,0.5
70,0.0625,64,924,924,0.734375,5.875
71,0.0625,64,705,705,0.046875,0.375
72,0.0625,64,202,266,0.078125,0.625
73,0.0625,64,618,544,0.125,1.0
74,0.0625,64,278,138,0.0625,0.5
75,0.0625,64,583,583,0.03125,0.25
76,0.0625,64,419,419,0.375,3.0
77,0.0625,64,84,84,0.8125,6.5
78,0.0625,64,688,688,0.1875,1.5
79,0.0625,64,351,351,0.25,2.0
80,0.0625,64,806,806,0.71875,5.75
81,0.0625,64,884,500,0.390625,3.125
82,0.0625,64,145,145,0.59375,4.75
83,0.0625,64,335,335,0.125,1.0
84,0.0625,64,633,570,0.0,0.0
85,0.0625,64,360,98,0.359375,2.875
86,0.0625,64,715,715,0.046875,0.375
87,0.0625,64,78,78,0.625,5.0
88,0.0625,64,935,935,0.34375,2.75
89,0.0625,64,171,171,0.015625,0.125
90,0.0625,64,603,603,0.0625,0.5
91,0.0625,64,389,389,0.375,3.0
92,0.0625,64,370,370,0.234375,1.875
93,0.0625,64,449,975,0.0,0.0
94,0.0625,64,572,509,0.03125,0.25
95,0.0625,64,60,34,0.296875,2.375
96,0.0625,64,779,779,0.1875,1.5
97,0.0625,64,347,347,0.609375,4.875
98,0.0625,64,370,370,0.09375,0.75
99,0.0625,64,690,690,0.234375,1.875
100,0.0625,64,910,938,0.21875,1.75
101,0.0625,64,365,365,0.5625,4.5
102,0.0625,64,162,263,0.28125,2.25
103,0.0625,64,837,970,0.203125,1.625
104,0.0625,64,603,690,0.203125,1.625
105,0.0625,64,286,286,0.140625,1.125
106,0.0625,64,264,264,0.109375,0.875
