,lambd,p,true_label,ones_label,logit_gap,cert_r
0,0.3125,29,1,1,1.0,1.6
1,0.3125,23,2,2,0.1875,0.3
2,0.3125,37,2,1,0.0,0.0
3,0.3125,22,1,1,0.3125,0.5
4,0.3125,33,2,2,1.0,1.6
5,0.3125,21,0,1,0.5625,0.9
6,0.3125,38,1,1,0.75,1.2
7,0.3125,27,2,2,0.46875,0.75
8,0.3125,23,2,2,0.4375,0.7
9,0.3125,22,2,1,0.1875,0.3
10,0.3125,35,2,2,0.5,0.8
11,0.3125,21,0,1,0.625,1.0
12,0.3125,31,1,1,1.0,1.6
13,0.3125,17,2,2,0.875,1.4
14,0.3125,29,1,1,0.9375,1.5
15,0.3125,28,1,1,0.25,0.4
16,0.3125,33,1,1,1.0,1.6
17,0.3125,38,1,2,0.375,0.6
18,0.3125,23,1,1,0.75,1.2
19,0.3125,31,1,1,0.375,0.6
20,0.3125,19,1,1,0.0625,0.1
21,0.3125,40,2,2,0.1875,0.3
22,0.3125,25,2,1,0.5,0.8
23,0.3125,43,2,1,0.3125,0.5
24,0.3125,24,1,1,0.34375,0.55
25,0.3125,22,2,2,0.1875,0.3
26,0.3125,28,2,2,0.5625,0.9
27,0.3125,20,2,2,0.0625,0.1
28,0.3125,28,2,1,0.375,0.6
29,0.3125,38,2,2,0.4375,0.7
30,0.3125,16,2,2,0.4375,0.7
31,0.3125,25,1,1,0.3125,0.5
32,0.3125,24,1,1,0.5,0.8
33,0.3125,16,2,1,0.125,0.2
34,0.3125,26,2,2,0.8125,1.3
35,0.3125,29,1,1,0.875,1.4
36,0.3125,42,2,1,0.25,0.4
37,0.3125,30,1,1,0.9375,1.5
38,0.3125,36,0,1,0.25,0.4
39,0.3125,36,1,1,0.53125,0.85
40,0.3125,36,1,1,0.25,0.4
41,0.3125,31,1,1,0.8125,1.3
42,0.3125,27,2,2,0.9375,1.5
43,0.3125,27,1,1,1.0,1.6
44,0.3125,58,1,2,0.1875,0.3
45,0.3125,20,1,1,0.375,0.6
46,0.3125,36,0,0,0.25,0.4
47,0.3125,32,2,2,0.375,0.6
48,0.3125,30,1,1,0.5,0.8
49,0.3125,38,2,2,0.6875,1.1
50,0.3125,35,2,2,0.75,1.2
51,0.3125,29,1,2,0.9375,1.5
52,0.3125,18,1,1,0.0,0.0
53,0.3125,20,1,1,0.3125,0.5
54,0.3125,32,2,1,0.75,1.2
55,0.3125,29,1,2,0.1875,0.3
56,0.3125,34,0,1,0.5625,0.9
57,0.3125,30,2,1,0.0625,0.1
58,0.3125,41,0,2,0.4375,0.7
59,0.3125,21,1,1,1.0,1.6
60,0.3125,37,2,1,0.0,0.0
61,0.3125,37,1,2,0.34375,0.55
62,0.3125,39,1,2,0.125,0.2
63,0.3125,39,2,2,1.0,1.6
64,0.3125,14,2,1,0.1875,0.3
65,0.3125,21,1,2,0.25,0.4
66,0.3125,35,1,1,0.59375,0.95
67,0.3125,29,2,2,0.3125,0.5
68,0.3125,25,2,2,0.5625,0.9
69,0.3125,18,2,2,0.5,0.8
70,0.3125,35,0,1,0.4375,0.7
71,0.3125,32,2,2,0.875,1.4
72,0.3125,33,1,1,1.0,1.6
73,0.3125,24,2,1,0.25,0.4
74,0.3125,28,2,2,0.75,1.2
75,0.3125,33,1,2,0.53125,0.85
76,0.3125,17,1,1,0.875,1.4
77,0.3125,28,1,2,0.6875,1.1
78,0.3125,18,2,1,0.3125,0.5
79,0.3125,19,2,2,0.125,0.2
80,0.3125,23,2,2,0.375,0.6
81,0.3125,24,2,2,0.75,1.2
82,0.3125,29,2,2,0.25,0.4
83,0.3125,28,0,1,0.125,0.2
84,0.3125,31,1,1,0.375,0.6
85,0.3125,18,1,1,1.0,1.6
