,lambd,p,true_label,ones_label,logit_gap,cert_r
0,0.4375,64,395,26,0.21875,0.25
1,0.4375,64,838,838,0.28125,0.32142857142857145
2,0.4375,64,873,873,1.0,1.1428571428571428
3,0.4375,64,2,2,1.0,1.1428571428571428
4,0.4375,64,534,534,1.0,1.1428571428571428
5,0.4375,64,269,269,1.0,1.1428571428571428
6,0.4375,64,885,709,0.5,0.5714285714285714
7,0.4375,64,590,810,0.3125,0.35714285714285715
8,0.4375,64,133,133,1.0,1.1428571428571428
9,0.4375,64,280,280,0.46875,0.5357142857142857
10,0.4375,64,211,211,0.875,1.0
11,0.4375,64,464,902,0.25,0.2857142857142857
12,0.4375,64,800,865,0.03125,0.03571428571428571
13,0.4375,64,66,68,0.15625,0.17857142857142858
14,0.4375,64,587,587,1.0,1.1428571428571428
15,0.4375,64,975,708,0.84375,0.9642857142857143
16,0.4375,64,889,519,0.125,0.14285714285714285
17,0.4375,64,774,774,0.9375,1.0714285714285714
18,0.4375,64,138,138,1.0,1.1428571428571428
19,0.4375,64,956,956,1.0,1.1428571428571428
20,0.4375,64,569,569,1.0,1.1428571428571428
21,0.4375,64,214,214,1.0,1.1428571428571428
22,0.4375,64,97,97,1.0,1.1428571428571428
23,0.4375,64,919,919,0.5,0.5714285714285714
24,0.4375,64,213,213,1.0,1.1428571428571428
25,0.4375,64,233,233,1.0,1.1428571428571428
26,0.4375,64,489,489,1.0,1.1428571428571428
27,0.4375,64,465,465,1.0,1.1428571428571428
28,0.4375,64,118,118,1.0,1.1428571428571428
29,0.4375,64,675,412,0.59375,0.6785714285714286
30,0.4375,64,327,327,1.0,1.1428571428571428
31,0.4375,64,784,695,0.5625,0.6428571428571429
32,0.4375,64,190,190,0.90625,1.0357142857142858
33,0.4375,64,545,545,0.78125,0.8928571428571429
34,0.4375,64,506,506,1.0,1.1428571428571428
35,0.4375,64,480,480,1.0,1.1428571428571428
36,0.4375,64,133,133,1.0,1.1428571428571428
37,0.4375,64,886,886,1.0,1.1428571428571428
38,0.4375,64,967,762,0.75,0.8571428571428571
39,0.4375,64,643,643,0.0625,0.07142857142857142
40,0.4375,64,562,562,0.875,1.0
41,0.4375,64,396,396,0.9375,1.0714285714285714
42,0.4375,64,570,570,1.0,1.1428571428571428
43,0.4375,64,690,690,0.125,0.14285714285714285
44,0.4375,64,902,902,0.9375,1.0714285714285714
45,0.4375,64,5,6,0.75,0.8571428571428571
46,0.4375,64,914,914,1.0,1.1428571428571428
47,0.4375,64,801,983,0.375,0.42857142857142855
48,0.4375,64,149,149,1.0,1.1428571428571428
49,0.4375,64,828,828,1.0,1.1428571428571428
50,0.4375,64,965,965,1.0,1.1428571428571428
51,0.4375,64,902,902,1.0,1.1428571428571428
52,0.4375,64,962,962,1.0,1.1428571428571428
53,0.4375,64,599,410,0.75,0.8571428571428571
54,0.4375,64,654,609,0.1875,0.21428571428571427
55,0.4375,64,709,709,1.0,1.1428571428571428
56,0.4375,64,532,532,1.0,1.1428571428571428
57,0.4375,64,706,706,1.0,1.1428571428571428
58,0.4375,64,975,975,0.53125,0.6071428571428571
59,0.4375,64,933,933,0.0625,0.07142857142857142
60,0.4375,64,171,171,1.0,1.1428571428571428
61,0.4375,64,597,597,1.0,1.1428571428571428
62,0.4375,64,528,528,1.0,1.1428571428571428
63,0.4375,64,752,752,1.0,1.1428571428571428
64,0.4375,64,269,273,0.0625,0.07142857142857142
65,0.4375,64,282,281,0.71875,0.8214285714285714
66,0.4375,64,799,760,0.03125,0.03571428571428571
67,0.4375,64,289,289,1.0,1.1428571428571428
68,0.4375,64,942,942,1.0,1.1428571428571428
69,0.4375,64,937,937,1.0,1.1428571428571428
70,0.4375,64,924,924,1.0,1.1428571428571428
71,0.4375,64,705,705,1.0,1.1428571428571428
72,0.4375,64,202,202,1.0,1.1428571428571428
73,0.4375,64,618,544,0.4375,0.5
74,0.4375,64,278,274,0.59375,0.6785714285714286
75,0.4375,64,583,583,0.9375,1.0714285714285714
76,0.4375,64,419,419,0.28125,0.32142857142857145
77,0.4375,64,84,84,1.0,1.1428571428571428
78,0.4375,64,688,688,1.0,1.1428571428571428
79,0.4375,64,351,351,1.0,1.1428571428571428
80,0.4375,64,806,658,0.3125,0.35714285714285715
81,0.4375,64,884,500,0.40625,0.4642857142857143
82,0.4375,64,145,145,1.0,1.1428571428571428
83,0.4375,64,335,335,0.9375,1.0714285714285714
84,0.4375,64,633,918,0.0625,0.07142857142857142
