,lambd,p,k,k_mu
0,0.125,64,64,13
1,0.125,64,64,60
2,0.125,64,12,10
3,0.125,64,17,12
4,0.125,64,27,17
5,0.125,64,25,14
6,0.125,64,38,23
7,0.125,64,64,29
8,0.125,64,10,7
9,0.125,64,64,39
10,0.125,64,47,44
11,0.125,64,64,22
12,0.125,64,64,12
13,0.125,64,64,28
14,0.125,64,64,16
15,0.125,64,64,35
16,0.125,64,64,54
17,0.125,64,64,35
18,0.125,64,21,7
19,0.125,64,58,32
20,0.125,64,48,13
21,0.125,64,64,23
22,0.125,64,55,15
23,0.125,64,64,19
24,0.125,64,24,18
25,0.125,64,64,50
26,0.125,64,41,15
27,0.125,64,64,41
28,0.125,64,24,14
29,0.125,64,64,63
30,0.125,64,64,63
31,0.125,64,55,48
32,0.125,64,64,11
33,0.125,64,64,31
34,0.125,64,47,38
35,0.125,64,55,18
36,0.125,64,34,29
37,0.125,64,19,14
38,0.125,64,64,14
39,0.125,64,64,23
40,0.125,64,64,56
41,0.125,64,64,22
42,0.125,64,52,32
43,0.125,64,64,64
44,0.125,64,64,56
45,0.125,64,64,54
46,0.125,64,32,20
47,0.125,64,22,13
48,0.125,64,49,11
49,0.125,64,14,9
50,0.125,64,32,23
51,0.125,64,64,56
52,0.125,64,18,15
53,0.125,64,64,19
54,0.125,64,45,13
55,0.125,64,64,45
56,0.125,64,18,13
57,0.125,64,64,9
58,0.125,64,64,18
59,0.125,64,64,50
60,0.125,64,25,19
61,0.125,64,64,17
62,0.125,64,32,11
63,0.125,64,62,48
64,0.125,64,26,17
65,0.125,64,64,63
66,0.125,64,64,62
67,0.125,64,18,8
68,0.125,64,15,6
69,0.125,64,64,26
70,0.125,64,15,13
71,0.125,64,59,45
72,0.125,64,55,41
73,0.125,64,64,28
74,0.125,64,64,50
75,0.125,64,64,47
76,0.125,64,46,16
77,0.125,64,12,8
78,0.125,64,36,11
79,0.125,64,30,12
80,0.125,64,36,15
81,0.125,64,42,14
82,0.125,64,14,12
83,0.125,64,64,12
84,0.125,64,64,64
85,0.125,64,64,28
86,0.125,64,64,24
87,0.125,64,18,12
88,0.125,64,30,12
89,0.125,64,29,26
90,0.125,64,64,15
91,0.125,64,13,9
92,0.125,64,14,12
93,0.125,64,64,14
94,0.125,64,64,13
95,0.125,64,64,36
96,0.125,64,64,11
97,0.125,64,15,12
98,0.125,64,64,48
99,0.125,64,50,37
100,0.125,64,64,35
101,0.125,64,14,10
102,0.125,64,52,39
103,0.125,64,26,18
104,0.125,64,60,34
105,0.125,64,37,26
106,0.125,64,57,33
107,0.125,64,64,63
108,0.125,64,17,9
109,0.125,64,10,7
110,0.125,64,64,13
111,0.125,64,44,10
112,0.125,64,64,55
113,0.125,64,64,16
114,0.125,64,64,64
115,0.125,64,64,42
116,0.125,64,20,15
117,0.125,64,64,17
118,0.125,64,17,11
119,0.125,64,64,25
120,0.125,64,64,22
121,0.125,64,58,24
122,0.125,64,41,15
123,0.125,64,29,8
124,0.125,64,39,17
125,0.125,64,64,17
126,0.125,64,64,26
127,0.125,64,64,34
128,0.125,64,13,10
129,0.125,64,64,34
130,0.125,64,64,59
131,0.125,64,31,17
132,0.125,64,64,61
133,0.125,64,64,51
134,0.125,64,64,18
135,0.125,64,64,46
136,0.125,64,64,15
137,0.125,64,27,18
138,0.125,64,64,22
139,0.125,64,15,11
140,0.125,64,48,14
141,0.125,64,59,33
142,0.125,64,10,7
143,0.125,64,23,10
144,0.125,64,14,10
145,0.125,64,48,22
146,0.125,64,64,32
147,0.125,64,18,9
148,0.125,64,26,17
149,0.125,64,50,26
150,0.125,64,64,13
151,0.125,64,14,9
152,0.125,64,64,37
153,0.125,64,11,8
154,0.125,64,15,10
155,0.125,64,9,8
156,0.125,64,64,15
157,0.125,64,32,16
158,0.125,64,21,15
159,0.125,64,64,63
160,0.125,64,43,12
161,0.125,64,38,10
162,0.125,64,64,59
163,0.125,64,37,13
164,0.125,64,16,10
165,0.125,64,64,47
166,0.125,64,57,13
167,0.125,64,53,16
168,0.125,64,64,60
169,0.125,64,10,7
170,0.125,64,64,20
171,0.125,64,14,8
172,0.125,64,64,44
173,0.125,64,64,64
174,0.125,64,64,21
175,0.125,64,64,28
176,0.125,64,17,12
177,0.125,64,64,16
178,0.125,64,64,37
179,0.125,64,64,32
180,0.125,64,64,56
181,0.125,64,43,11
182,0.125,64,10,5
183,0.125,64,21,9
184,0.125,64,64,40
185,0.125,64,64,44
186,0.125,64,14,11
187,0.125,64,64,45
188,0.125,64,64,24
189,0.125,64,30,17
190,0.125,64,64,21
191,0.125,64,64,14
192,0.125,64,64,34
193,0.125,64,22,22
194,0.125,64,64,36
195,0.125,64,64,64
196,0.125,64,18,15
197,0.125,64,64,14
198,0.125,64,11,8
199,0.125,64,21,9
200,0.125,64,64,24
201,0.125,64,64,31
202,0.125,64,40,23
203,0.125,64,64,11
204,0.125,64,64,31
205,0.125,64,64,57
206,0.125,64,64,35
207,0.125,64,64,62
208,0.125,64,58,37
209,0.125,64,16,7
210,0.125,64,11,7
211,0.125,64,16,8
212,0.125,64,64,56
213,0.125,64,18,10
214,0.125,64,64,24
215,0.125,64,64,33
216,0.125,64,64,31
217,0.125,64,64,46
218,0.125,64,64,15
219,0.125,64,35,12
220,0.125,64,64,57
221,0.125,64,26,15
222,0.125,64,64,50
223,0.125,64,9,8
224,0.125,64,11,10
225,0.125,64,21,15
226,0.125,64,64,17
227,0.125,64,64,48
228,0.125,64,20,17
229,0.125,64,15,9
230,0.125,64,64,45
231,0.125,64,58,16
232,0.125,64,12,9
233,0.125,64,64,33
234,0.125,64,64,33
235,0.125,64,64,58
236,0.125,64,64,59
237,0.125,64,12,33
238,0.125,64,19,9
239,0.125,64,24,11
240,0.125,64,33,22
241,0.125,64,64,59
242,0.125,64,64,14
243,0.125,64,64,24
244,0.125,64,59,32
245,0.125,64,64,47
246,0.125,64,55,32
247,0.125,64,64,17
248,0.125,64,13,10
249,0.125,64,34,17
