,lambd,p,k,k_mu
0,0.5,64,64,61
1,0.5,64,64,46
2,0.5,64,12,5
3,0.5,64,18,3
4,0.5,64,28,7
5,0.5,64,64,27
6,0.5,64,64,55
7,0.5,64,64,50
8,0.5,64,19,4
9,0.5,64,64,63
10,0.5,64,64,62
11,0.5,64,64,20
12,0.5,64,44,7
13,0.5,64,64,44
14,0.5,64,63,18
15,0.5,64,64,44
16,0.5,64,64,58
17,0.5,64,64,43
18,0.5,64,39,6
19,0.5,64,54,5
20,0.5,64,36,5
21,0.5,64,64,24
22,0.5,64,57,10
23,0.5,64,64,37
24,0.5,64,29,5
25,0.5,64,64,29
26,0.5,64,64,24
27,0.5,64,64,46
28,0.5,64,18,1
29,0.5,64,64,43
30,0.5,64,45,20
31,0.5,64,64,17
32,0.5,64,64,36
33,0.5,64,64,41
34,0.5,64,28,5
35,0.5,64,64,64
36,0.5,64,64,29
37,0.5,64,18,11
38,0.5,64,64,64
39,0.5,64,64,64
40,0.5,64,64,63
41,0.5,64,44,25
42,0.5,64,64,6
43,0.5,64,64,18
44,0.5,64,64,21
45,0.5,64,64,54
46,0.5,64,28,16
47,0.5,64,64,13
48,0.5,64,44,29
49,0.5,64,31,9
50,0.5,64,26,12
51,0.5,64,62,29
52,0.5,64,15,5
53,0.5,64,61,21
54,0.5,64,64,6
55,0.5,64,64,57
56,0.5,64,28,12
57,0.5,64,64,42
58,0.5,64,64,31
59,0.5,64,64,16
60,0.5,64,64,3
61,0.5,64,43,5
62,0.5,64,31,4
63,0.5,64,64,35
64,0.5,64,46,5
65,0.5,64,64,26
66,0.5,64,64,59
67,0.5,64,17,6
68,0.5,64,31,15
69,0.5,64,64,10
70,0.5,64,23,4
71,0.5,64,64,14
72,0.5,64,64,13
73,0.5,64,64,62
74,0.5,64,64,51
75,0.5,64,64,42
76,0.5,64,43,4
77,0.5,64,24,4
78,0.5,64,64,14
79,0.5,64,43,10
80,0.5,64,9,4
81,0.5,64,64,35
82,0.5,64,14,2
83,0.5,64,64,37
84,0.5,64,64,49
85,0.5,64,64,22
86,0.5,64,54,25
87,0.5,64,10,2
88,0.5,64,12,7
89,0.5,64,64,47
90,0.5,64,64,38
91,0.5,64,64,2
92,0.5,64,61,1
93,0.5,64,64,64
94,0.5,64,64,32
95,0.5,64,64,24
96,0.5,64,40,4
97,0.5,64,29,2
98,0.5,64,33,16
99,0.5,64,64,60
100,0.5,64,64,64
101,0.5,64,15,3
102,0.5,64,64,58
103,0.5,64,61,26
104,0.5,64,64,40
105,0.5,64,47,15
106,0.5,64,45,13
107,0.5,64,64,62
108,0.5,64,28,6
109,0.5,64,64,8
110,0.5,64,64,14
111,0.5,64,64,9
112,0.5,64,58,3
113,0.5,64,64,32
114,0.5,64,64,25
115,0.5,64,52,8
116,0.5,64,45,23
117,0.5,64,64,15
118,0.5,64,28,6
119,0.5,64,64,33
120,0.5,64,64,63
121,0.5,64,64,55
122,0.5,64,64,17
123,0.5,64,64,60
124,0.5,64,64,3
125,0.5,64,48,20
126,0.5,64,29,18
127,0.5,64,64,57
128,0.5,64,27,7
129,0.5,64,64,55
130,0.5,64,64,37
131,0.5,64,60,14
132,0.5,64,64,49
133,0.5,64,64,64
134,0.5,64,64,8
135,0.5,64,64,46
136,0.5,64,64,46
137,0.5,64,20,9
138,0.5,64,64,32
139,0.5,64,20,4
140,0.5,64,34,18
141,0.5,64,64,29
142,0.5,64,11,2
143,0.5,64,16,1
144,0.5,64,7,2
145,0.5,64,38,20
146,0.5,64,64,64
147,0.5,64,23,1
148,0.5,64,33,14
149,0.5,64,64,22
150,0.5,64,64,5
151,0.5,64,20,7
152,0.5,64,64,64
153,0.5,64,24,2
154,0.5,64,64,27
155,0.5,64,64,1
156,0.5,64,64,5
157,0.5,64,64,13
158,0.5,64,37,2
159,0.5,64,64,59
160,0.5,64,45,16
161,0.5,64,48,12
162,0.5,64,64,46
163,0.5,64,64,44
164,0.5,64,25,3
165,0.5,64,64,62
166,0.5,64,50,14
167,0.5,64,64,22
168,0.5,64,62,40
169,0.5,64,11,3
170,0.5,64,64,62
171,0.5,64,33,9
172,0.5,64,64,59
173,0.5,64,64,62
174,0.5,64,64,8
175,0.5,64,64,26
176,0.5,64,24,2
177,0.5,64,64,15
178,0.5,64,64,45
179,0.5,64,64,62
180,0.5,64,64,33
181,0.5,64,43,22
182,0.5,64,10,3
183,0.5,64,9,3
184,0.5,64,64,58
185,0.5,64,64,63
186,0.5,64,19,5
187,0.5,64,64,22
188,0.5,64,64,47
189,0.5,64,29,10
190,0.5,64,12,1
191,0.5,64,64,32
192,0.5,64,64,41
193,0.5,64,64,63
194,0.5,64,64,7
195,0.5,64,64,56
196,0.5,64,64,48
197,0.5,64,64,28
198,0.5,64,14,2
199,0.5,64,28,3
200,0.5,64,64,9
201,0.5,64,64,63
202,0.5,64,37,3
203,0.5,64,64,46
204,0.5,64,64,52
205,0.5,64,64,36
206,0.5,64,45,12
207,0.5,64,64,53
208,0.5,64,64,43
209,0.5,64,28,1
210,0.5,64,49,5
211,0.5,64,8,5
212,0.5,64,64,64
213,0.5,64,64,64
214,0.5,64,64,21
215,0.5,64,61,12
216,0.5,64,64,59
217,0.5,64,64,40
218,0.5,64,64,36
219,0.5,64,18,16
220,0.5,64,64,44
221,0.5,64,26,8
222,0.5,64,64,55
223,0.5,64,25,7
224,0.5,64,6,4
225,0.5,64,64,54
226,0.5,64,64,63
227,0.5,64,64,64
228,0.5,64,38,8
229,0.5,64,30,6
230,0.5,64,64,45
231,0.5,64,22,11
232,0.5,64,31,7
233,0.5,64,52,1
234,0.5,64,64,64
235,0.5,64,64,27
236,0.5,64,64,48
237,0.5,64,64,36
238,0.5,64,21,3
239,0.5,64,64,15
240,0.5,64,64,61
241,0.5,64,64,43
242,0.5,64,64,33
243,0.5,64,25,13
244,0.5,64,56,18
245,0.5,64,64,55
246,0.5,64,55,19
247,0.5,64,64,29
248,0.5,64,50,3
249,0.5,64,21,6
