,lambd,p,k,k_mu
0,0.125,64,64,44
1,0.125,64,64,35
2,0.125,64,9,7
3,0.125,64,11,9
4,0.125,64,22,12
5,0.125,64,27,17
6,0.125,64,28,15
7,0.125,64,64,44
8,0.125,64,10,6
9,0.125,64,64,47
10,0.125,64,42,37
11,0.125,64,64,16
12,0.125,64,64,17
13,0.125,64,64,24
14,0.125,64,64,43
15,0.125,64,64,22
16,0.125,64,64,50
17,0.125,64,64,64
18,0.125,64,17,15
19,0.125,64,26,14
20,0.125,64,20,15
21,0.125,64,64,16
22,0.125,64,64,21
23,0.125,64,64,14
24,0.125,64,7,6
25,0.125,64,64,13
26,0.125,64,61,22
27,0.125,64,57,38
28,0.125,64,14,11
29,0.125,64,64,25
30,0.125,64,64,59
31,0.125,64,58,46
32,0.125,64,64,12
33,0.125,64,64,37
34,0.125,64,27,15
35,0.125,64,64,18
36,0.125,64,38,16
37,0.125,64,18,15
38,0.125,64,64,13
39,0.125,64,64,17
40,0.125,64,64,50
41,0.125,64,64,13
42,0.125,64,58,18
43,0.125,64,64,16
44,0.125,64,64,59
45,0.125,64,64,21
46,0.125,64,19,14
47,0.125,64,14,9
48,0.125,64,36,24
49,0.125,64,8,6
50,0.125,64,19,12
51,0.125,64,64,49
52,0.125,64,16,11
53,0.125,64,64,16
54,0.125,64,37,14
55,0.125,64,64,62
56,0.125,64,16,11
57,0.125,64,64,38
58,0.125,64,64,12
59,0.125,64,64,11
60,0.125,64,11,8
61,0.125,64,64,11
62,0.125,64,12,9
63,0.125,64,53,37
64,0.125,64,13,9
65,0.125,64,64,37
66,0.125,64,64,37
67,0.125,64,9,5
68,0.125,64,17,32
69,0.125,64,64,9
70,0.125,64,9,5
71,0.125,64,63,32
72,0.125,64,61,39
73,0.125,64,64,12
74,0.125,64,64,55
75,0.125,64,64,38
76,0.125,64,15,12
77,0.125,64,8,6
78,0.125,64,49,11
79,0.125,64,19,13
80,0.125,64,15,11
81,0.125,64,25,24
82,0.125,64,11,10
83,0.125,64,64,8
84,0.125,64,64,56
85,0.125,64,56,33
86,0.125,64,64,13
87,0.125,64,7,5
88,0.125,64,19,16
89,0.125,64,61,15
90,0.125,64,64,19
91,0.125,64,9,8
92,0.125,64,14,7
93,0.125,64,64,54
94,0.125,64,64,16
95,0.125,64,64,64
96,0.125,64,64,6
97,0.125,64,12,9
98,0.125,64,64,23
99,0.125,64,21,14
100,0.125,64,64,13
101,0.125,64,12,11
102,0.125,64,45,13
103,0.125,64,24,7
104,0.125,64,64,27
105,0.125,64,26,10
106,0.125,64,27,10
107,0.125,64,64,64
108,0.125,64,14,8
109,0.125,64,10,9
110,0.125,64,64,17
111,0.125,64,25,20
112,0.125,64,64,11
113,0.125,64,64,9
114,0.125,64,64,9
115,0.125,64,64,48
116,0.125,64,16,11
117,0.125,64,64,13
118,0.125,64,15,7
119,0.125,64,64,58
120,0.125,64,64,63
121,0.125,64,52,11
122,0.125,64,42,27
123,0.125,64,12,9
124,0.125,64,27,15
125,0.125,64,64,21
126,0.125,64,64,21
127,0.125,64,64,20
128,0.125,64,17,12
129,0.125,64,64,44
130,0.125,64,64,54
131,0.125,64,46,21
132,0.125,64,64,53
133,0.125,64,64,40
134,0.125,64,64,13
135,0.125,64,64,54
136,0.125,64,64,48
137,0.125,64,25,11
138,0.125,64,64,38
139,0.125,64,14,8
140,0.125,64,52,10
141,0.125,64,61,27
142,0.125,64,21,13
143,0.125,64,18,12
144,0.125,64,24,8
145,0.125,64,50,39
146,0.125,64,64,58
147,0.125,64,11,9
148,0.125,64,16,15
149,0.125,64,50,17
150,0.125,64,64,16
151,0.125,64,11,8
152,0.125,64,46,40
153,0.125,64,11,9
154,0.125,64,13,7
155,0.125,64,18,11
156,0.125,64,64,12
157,0.125,64,32,8
158,0.125,64,49,10
159,0.125,64,64,18
160,0.125,64,28,13
161,0.125,64,17,11
162,0.125,64,64,59
163,0.125,64,57,25
164,0.125,64,9,7
165,0.125,64,64,63
166,0.125,64,51,9
167,0.125,64,45,25
168,0.125,64,64,58
169,0.125,64,9,6
170,0.125,64,64,46
171,0.125,64,12,6
172,0.125,64,64,35
173,0.125,64,64,50
174,0.125,64,64,14
175,0.125,64,64,34
176,0.125,64,15,11
177,0.125,64,64,17
178,0.125,64,64,24
179,0.125,64,64,14
180,0.125,64,64,41
181,0.125,64,18,10
182,0.125,64,12,9
183,0.125,64,10,8
184,0.125,64,62,55
185,0.125,64,64,49
186,0.125,64,19,9
187,0.125,64,64,64
188,0.125,64,64,13
189,0.125,64,55,36
190,0.125,64,64,9
191,0.125,64,64,12
192,0.125,64,64,17
193,0.125,64,14,12
194,0.125,64,64,11
195,0.125,64,64,64
196,0.125,64,15,10
197,0.125,64,64,13
198,0.125,64,10,8
199,0.125,64,12,8
200,0.125,64,64,21
201,0.125,64,64,53
202,0.125,64,45,10
203,0.125,64,64,23
204,0.125,64,64,58
205,0.125,64,64,41
206,0.125,64,64,16
207,0.125,64,64,48
208,0.125,64,32,22
209,0.125,64,16,12
210,0.125,64,13,11
211,0.125,64,11,6
212,0.125,64,64,29
213,0.125,64,58,15
214,0.125,64,64,25
215,0.125,64,64,24
216,0.125,64,64,14
217,0.125,64,64,50
218,0.125,64,64,32
219,0.125,64,18,8
220,0.125,64,64,59
221,0.125,64,14,12
222,0.125,64,64,48
223,0.125,64,13,8
224,0.125,64,9,7
225,0.125,64,17,10
226,0.125,64,64,12
227,0.125,64,64,25
228,0.125,64,20,16
229,0.125,64,18,11
230,0.125,64,64,55
231,0.125,64,22,17
232,0.125,64,25,12
233,0.125,64,64,33
234,0.125,64,64,17
235,0.125,64,64,36
236,0.125,64,64,56
237,0.125,64,14,16
238,0.125,64,13,9
239,0.125,64,39,33
240,0.125,64,20,9
241,0.125,64,64,61
242,0.125,64,64,20
243,0.125,64,64,15
244,0.125,64,60,22
245,0.125,64,64,47
246,0.125,64,37,12
247,0.125,64,64,53
248,0.125,64,36,12
249,0.125,64,22,11
