,lambd,p,k,k_mu
0,0.25,64,64,47
1,0.25,64,64,50
2,0.25,64,14,9
3,0.25,64,8,4
4,0.25,64,13,7
5,0.25,64,27,20
6,0.25,64,64,60
7,0.25,64,62,39
8,0.25,64,7,4
9,0.25,64,64,13
10,0.25,64,43,35
11,0.25,64,64,52
12,0.25,64,64,6
13,0.25,64,64,39
14,0.25,64,59,17
15,0.25,64,64,48
16,0.25,64,64,63
17,0.25,64,64,40
18,0.25,64,12,7
19,0.25,64,36,26
20,0.25,64,26,5
21,0.25,64,39,30
22,0.25,64,64,5
23,0.25,64,64,13
24,0.25,64,6,4
25,0.25,64,64,34
26,0.25,64,64,10
27,0.25,64,64,36
28,0.25,64,33,16
29,0.25,64,64,59
30,0.25,64,64,51
31,0.25,64,46,22
32,0.25,64,64,29
33,0.25,64,64,52
34,0.25,64,38,25
35,0.25,64,64,56
36,0.25,64,64,36
37,0.25,64,10,6
38,0.25,64,64,57
39,0.25,64,64,42
40,0.25,64,64,59
41,0.25,64,26,16
42,0.25,64,56,40
43,0.25,64,64,42
44,0.25,64,64,54
45,0.25,64,64,43
46,0.25,64,26,22
47,0.25,64,64,39
48,0.25,64,64,10
49,0.25,64,12,7
50,0.25,64,26,18
51,0.25,64,58,8
52,0.25,64,25,16
53,0.25,64,64,11
54,0.25,64,49,9
55,0.25,64,64,53
56,0.25,64,23,15
57,0.25,64,60,26
58,0.25,64,64,11
59,0.25,64,64,8
60,0.25,64,27,25
61,0.25,64,64,19
62,0.25,64,10,5
63,0.25,64,64,22
64,0.25,64,20,11
65,0.25,64,64,55
66,0.25,64,64,35
67,0.25,64,22,9
68,0.25,64,14,10
69,0.25,64,64,7
70,0.25,64,15,10
71,0.25,64,64,37
72,0.25,64,64,25
73,0.25,64,64,42
74,0.25,64,64,38
75,0.25,64,64,55
76,0.25,64,27,7
77,0.25,64,13,9
78,0.25,64,35,19
79,0.25,64,48,16
80,0.25,64,48,13
81,0.25,64,64,24
82,0.25,64,10,6
83,0.25,64,64,11
84,0.25,64,64,42
85,0.25,64,64,53
86,0.25,64,64,17
87,0.25,64,12,8
88,0.25,64,8,4
89,0.25,64,51,22
90,0.25,64,64,26
91,0.25,64,33,5
92,0.25,64,14,5
93,0.25,64,64,43
94,0.25,64,64,15
95,0.25,64,39,19
96,0.25,64,40,15
97,0.25,64,12,5
98,0.25,64,32,8
99,0.25,64,57,36
100,0.25,64,64,56
101,0.25,64,14,6
102,0.25,64,64,49
103,0.25,64,41,6
104,0.25,64,64,22
105,0.25,64,19,11
106,0.25,64,55,8
107,0.25,64,64,43
108,0.25,64,15,5
109,0.25,64,16,7
110,0.25,64,64,16
111,0.25,64,20,6
112,0.25,64,61,4
113,0.25,64,64,5
114,0.25,64,64,24
115,0.25,64,55,34
116,0.25,64,26,8
117,0.25,64,27,10
118,0.25,64,27,17
119,0.25,64,61,27
120,0.25,64,64,63
121,0.25,64,64,30
122,0.25,64,27,16
123,0.25,64,16,6
124,0.25,64,45,6
125,0.25,64,44,32
126,0.25,64,40,16
127,0.25,64,64,33
128,0.25,64,62,20
129,0.25,64,64,57
130,0.25,64,64,50
131,0.25,64,64,9
132,0.25,64,64,11
133,0.25,64,64,60
134,0.25,64,64,6
135,0.25,64,64,35
136,0.25,64,64,48
137,0.25,64,31,9
138,0.25,64,64,52
139,0.25,64,10,3
140,0.25,64,47,13
141,0.25,64,64,27
142,0.25,64,30,5
143,0.25,64,16,11
144,0.25,64,27,11
145,0.25,64,58,6
146,0.25,64,64,58
147,0.25,64,14,6
148,0.25,64,31,23
149,0.25,64,64,32
150,0.25,64,64,6
151,0.25,64,14,10
152,0.25,64,64,27
153,0.25,64,19,4
154,0.25,64,17,9
155,0.25,64,41,7
156,0.25,64,64,45
157,0.25,64,39,33
158,0.25,64,57,4
159,0.25,64,64,28
160,0.25,64,16,11
161,0.25,64,23,9
162,0.25,64,64,60
163,0.25,64,57,46
164,0.25,64,7,6
165,0.25,64,64,5
166,0.25,64,51,19
167,0.25,64,57,30
168,0.25,64,64,14
169,0.25,64,15,4
170,0.25,64,64,57
171,0.25,64,13,2
172,0.25,64,64,31
173,0.25,64,64,58
174,0.25,64,64,17
175,0.25,64,64,29
176,0.25,64,20,14
177,0.25,64,24,11
178,0.25,64,64,34
179,0.25,64,64,41
180,0.25,64,64,34
181,0.25,64,32,9
182,0.25,64,12,4
183,0.25,64,12,3
184,0.25,64,64,37
185,0.25,64,64,54
186,0.25,64,14,10
187,0.25,64,64,21
188,0.25,64,64,51
189,0.25,64,21,13
190,0.25,64,62,4
191,0.25,64,36,11
192,0.25,64,64,55
193,0.25,64,44,10
194,0.25,64,38,10
195,0.25,64,64,30
196,0.25,64,21,19
197,0.25,64,59,20
198,0.25,64,15,5
199,0.25,64,17,14
200,0.25,64,55,6
201,0.25,64,64,59
202,0.25,64,38,3
203,0.25,64,64,51
204,0.25,64,64,41
205,0.25,64,64,31
206,0.25,64,64,5
207,0.25,64,64,56
208,0.25,64,64,33
209,0.25,64,20,4
210,0.25,64,17,6
211,0.25,64,12,9
212,0.25,64,64,30
213,0.25,64,64,52
214,0.25,64,64,27
215,0.25,64,64,35
216,0.25,64,64,59
217,0.25,64,64,30
218,0.25,64,64,48
219,0.25,64,22,18
220,0.25,64,64,58
221,0.25,64,46,22
222,0.25,64,57,51
223,0.25,64,9,7
224,0.25,64,13,7
225,0.25,64,64,24
226,0.25,64,64,58
227,0.25,64,64,55
228,0.25,64,18,6
229,0.25,64,37,25
230,0.25,64,64,29
231,0.25,64,19,6
232,0.25,64,32,4
233,0.25,64,47,10
234,0.25,64,64,61
235,0.25,64,64,46
236,0.25,64,64,59
237,0.25,64,15,7
238,0.25,64,14,7
239,0.25,64,37,8
240,0.25,64,35,17
241,0.25,64,64,48
242,0.25,64,64,21
243,0.25,64,45,11
244,0.25,64,32,6
245,0.25,64,64,39
246,0.25,64,64,29
247,0.25,64,64,34
248,0.25,64,20,4
249,0.25,64,38,5
