,lambd,p,k,k_mu
0,0.25,29,8,0
1,0.25,23,23,2
2,0.25,37,37,36
3,0.25,22,22,5
4,0.25,33,8,4
5,0.25,21,0,18
6,0.25,38,38,8
7,0.25,27,27,3
8,0.25,23,23,3
9,0.25,22,22,22
10,0.25,35,35,5
11,0.25,21,21,1
12,0.25,31,0,0
13,0.25,17,11,4
14,0.25,29,0,0
15,0.25,28,28,19
16,0.25,33,12,0
17,0.25,38,38,24
18,0.25,23,0,0
19,0.25,31,31,2
20,0.25,19,19,3
21,0.25,40,40,5
22,0.25,25,25,7
23,0.25,43,43,2
24,0.25,24,24,13
25,0.25,22,22,3
26,0.25,28,28,6
27,0.25,20,20,1
28,0.25,28,28,7
29,0.25,38,12,3
30,0.25,16,16,4
31,0.25,25,13,13
32,0.25,24,0,6
33,0.25,16,16,1
34,0.25,26,26,3
35,0.25,29,16,0
36,0.25,42,42,27
37,0.25,30,0,0
38,0.25,36,36,20
39,0.25,36,21,0
40,0.25,36,36,28
41,0.25,31,0,0
42,0.25,27,4,3
43,0.25,27,16,9
44,0.25,58,58,57
45,0.25,20,20,4
46,0.25,36,36,26
47,0.25,32,11,4
48,0.25,30,9,0
49,0.25,38,38,4
50,0.25,35,7,4
51,0.25,29,4,3
52,0.25,18,18,10
53,0.25,20,0,0
54,0.25,32,19,18
55,0.25,29,29,25
56,0.25,34,34,9
57,0.25,30,30,10
58,0.25,41,41,26
59,0.25,21,0,0
60,0.25,37,37,21
61,0.25,37,37,3
62,0.25,39,5,5
63,0.25,39,3,3
64,0.25,14,14,4
65,0.25,21,21,7
66,0.25,35,35,34
67,0.25,29,7,4
68,0.25,25,19,7
69,0.25,18,18,3
70,0.25,35,18,0
71,0.25,32,10,3
72,0.25,33,18,0
73,0.25,24,24,1
74,0.25,28,8,7
75,0.25,33,33,29
76,0.25,17,0,0
77,0.25,28,25,14
78,0.25,18,18,2
79,0.25,19,19,12
80,0.25,23,23,3
81,0.25,24,9,5
82,0.25,29,26,21
83,0.25,28,28,1
84,0.25,31,31,2
85,0.25,18,0,0
86,0.25,30,30,26
87,0.25,25,25,10
88,0.25,37,37,5
89,0.25,24,24,13
90,0.25,25,25,1
91,0.25,38,38,36
92,0.25,12,0,0
93,0.25,22,0,0
94,0.25,26,26,1
95,0.25,40,40,8
96,0.25,30,30,3
97,0.25,27,0,0
98,0.25,28,0,0
99,0.25,18,18,1
100,0.25,42,7,3
101,0.25,36,0,0
102,0.25,15,5,8
103,0.25,28,28,1
104,0.25,24,24,9
105,0.25,32,32,1
106,0.25,54,50,2
107,0.25,25,0,0
108,0.25,28,28,11
109,0.25,31,0,3
110,0.25,32,0,4
111,0.25,34,34,18
112,0.25,33,33,16
113,0.25,25,25,18
114,0.25,31,0,0
115,0.25,20,7,3
116,0.25,19,19,1
117,0.25,29,29,21
118,0.25,21,21,5
119,0.25,41,41,35
120,0.25,29,29,13
121,0.25,19,0,0
122,0.25,29,29,22
123,0.25,34,0,0
124,0.25,30,30,18
125,0.25,33,33,15
126,0.25,31,8,5
127,0.25,23,0,0
128,0.25,44,44,22
129,0.25,23,23,14
130,0.25,25,10,7
131,0.25,29,29,7
132,0.25,34,8,4
133,0.25,31,31,8
134,0.25,38,0,4
135,0.25,12,0,0
136,0.25,23,0,0
137,0.25,29,29,8
