,lambd,p,k,k_mu
0,0.375,29,29,2
1,0.375,23,23,15
2,0.375,37,37,15
3,0.375,22,22,5
4,0.375,33,12,6
5,0.375,21,21,2
6,0.375,38,38,2
7,0.375,27,6,3
8,0.375,23,23,2
9,0.375,22,22,15
10,0.375,35,35,2
11,0.375,21,0,8
12,0.375,31,0,0
13,0.375,17,17,2
14,0.375,29,0,0
15,0.375,28,28,12
16,0.375,33,23,8
17,0.375,38,38,30
18,0.375,23,0,0
19,0.375,31,31,29
20,0.375,19,19,2
21,0.375,40,40,22
22,0.375,25,25,12
23,0.375,43,43,21
24,0.375,24,24,11
25,0.375,22,22,2
26,0.375,28,28,3
27,0.375,20,20,3
28,0.375,28,28,5
29,0.375,38,8,4
30,0.375,16,16,2
31,0.375,25,25,12
32,0.375,24,0,7
33,0.375,16,16,8
34,0.375,26,26,2
35,0.375,29,29,0
36,0.375,42,42,7
37,0.375,30,18,0
38,0.375,36,36,8
39,0.375,36,30,16
40,0.375,36,36,22
41,0.375,31,9,0
42,0.375,27,7,3
43,0.375,27,17,14
44,0.375,58,58,13
45,0.375,20,20,11
46,0.375,36,36,20
47,0.375,32,15,8
48,0.375,30,30,2
49,0.375,38,38,4
50,0.375,35,8,6
51,0.375,29,8,6
52,0.375,18,18,7
53,0.375,20,18,0
54,0.375,32,32,7
55,0.375,29,29,28
56,0.375,34,0,0
57,0.375,30,30,4
58,0.375,41,41,30
59,0.375,21,0,0
60,0.375,37,37,13
61,0.375,37,37,6
62,0.375,39,39,28
63,0.375,39,28,3
64,0.375,14,14,2
65,0.375,21,21,2
66,0.375,35,10,11
67,0.375,29,29,3
68,0.375,25,15,5
69,0.375,18,18,4
70,0.375,35,35,1
71,0.375,32,32,8
72,0.375,33,7,0
73,0.375,24,24,1
74,0.375,28,28,4
75,0.375,33,33,18
76,0.375,17,0,0
77,0.375,28,28,4
78,0.375,18,18,2
79,0.375,19,19,2
80,0.375,23,23,5
81,0.375,24,11,4
82,0.375,29,15,10
83,0.375,28,27,25
84,0.375,31,31,7
85,0.375,18,0,0
86,0.375,30,30,27
87,0.375,25,25,2
88,0.375,37,37,4
89,0.375,24,24,14
90,0.375,25,25,20
91,0.375,38,38,23
92,0.375,12,0,0
93,0.375,22,11,0
94,0.375,26,26,19
95,0.375,40,40,33
96,0.375,30,30,29
97,0.375,27,12,0
98,0.375,28,0,0
99,0.375,18,18,1
100,0.375,42,29,16
101,0.375,36,0,0
102,0.375,15,15,10
103,0.375,28,28,1
104,0.375,24,24,4
105,0.375,32,32,19
106,0.375,54,50,13
107,0.375,25,0,0
108,0.375,28,28,9
109,0.375,31,6,0
110,0.375,32,32,4
111,0.375,34,34,4
112,0.375,33,33,4
113,0.375,25,11,2
114,0.375,31,9,0
115,0.375,20,9,2
116,0.375,19,18,15
117,0.375,29,29,7
118,0.375,21,21,8
119,0.375,41,41,16
120,0.375,29,29,11
121,0.375,19,19,0
122,0.375,29,29,4
123,0.375,34,25,0
124,0.375,30,30,14
125,0.375,33,33,1
126,0.375,31,9,2
127,0.375,23,0,0
128,0.375,44,44,10
129,0.375,23,23,14
130,0.375,25,12,7
131,0.375,29,29,29
132,0.375,34,12,10
133,0.375,31,31,2
134,0.375,38,38,19
135,0.375,12,0,0
136,0.375,23,23,2
137,0.375,29,21,0
138,0.375,24,24,16
139,0.375,33,13,3
140,0.375,27,0,0
141,0.375,7,7,3
142,0.375,41,41,28
143,0.375,36,36,8
144,0.375,27,9,2
145,0.375,17,17,3
146,0.375,34,34,27
147,0.375,29,23,18
148,0.375,22,22,2
149,0.375,57,57,31
150,0.375,29,29,21
151,0.375,37,37,13
152,0.375,27,27,7
153,0.375,31,0,0
154,0.375,28,25,26
155,0.375,30,30,18
156,0.375,18,0,0
157,0.375,35,35,19
158,0.375,36,36,7
159,0.375,34,14,9
160,0.375,35,35,35
161,0.375,30,30,28
162,0.375,24,24,2
163,0.375,15,15,8
164,0.375,40,17,0
165,0.375,32,32,4
166,0.375,31,0,0
167,0.375,29,11,0
168,0.375,25,0,0
169,0.375,26,0,0
170,0.375,28,28,8
171,0.375,32,14,2
172,0.375,31,31,2
173,0.375,28,28,6
174,0.375,24,24,23
175,0.375,36,36,4
176,0.375,32,10,5
177,0.375,29,29,29
178,0.375,27,0,0
179,0.375,44,44,12
180,0.375,36,20,20
181,0.375,30,30,21
182,0.375,24,24,12
183,0.375,37,21,13
184,0.375,26,7,4
185,0.375,24,15,0
186,0.375,17,12,13
187,0.375,25,4,3
188,0.375,18,0,0
189,0.375,35,35,7
190,0.375,37,31,11
191,0.375,20,12,5
192,0.375,27,27,3
193,0.375,20,20,4
194,0.375,26,0,0
195,0.375,29,29,8
196,0.375,28,28,9
197,0.375,31,31,22
198,0.375,30,30,29
199,0.375,28,28,15
200,0.375,22,22,15
201,0.375,27,27,9
202,0.375,35,35,23
203,0.375,29,0,15
204,0.375,20,20,10
205,0.375,48,48,2
206,0.375,33,33,2
207,0.375,17,17,17
208,0.375,42,7,0
209,0.375,33,33,23
210,0.375,34,34,13
211,0.375,39,23,6
212,0.375,33,33,6
213,0.375,27,27,21
214,0.375,12,12,3
215,0.375,26,0,0
216,0.375,38,38,23
217,0.375,28,28,20
218,0.375,31,27,23
219,0.375,27,27,25
220,0.375,49,0,0
221,0.375,32,32,21
222,0.375,16,16,5
223,0.375,42,42,9
224,0.375,24,24,7
225,0.375,34,34,19
226,0.375,34,33,12
227,0.375,18,18,4
228,0.375,36,36,20
229,0.375,26,26,1
230,0.375,23,21,13
231,0.375,36,36,34
232,0.375,28,0,20
233,0.375,27,12,0
234,0.375,31,11,4
235,0.375,28,0,0
236,0.375,25,15,0
237,0.375,29,5,0
238,0.375,28,19,0
239,0.375,34,34,12
240,0.375,43,16,4
241,0.375,30,17,2
242,0.375,28,28,17
243,0.375,27,27,16
244,0.375,31,31,6
245,0.375,35,17,0
246,0.375,29,29,2
247,0.375,37,6,4
248,0.375,25,25,13
249,0.375,33,33,9
