,lambd,p,k,k_mu
0,0.25,29,0,0
1,0.25,23,23,2
2,0.25,37,37,33
3,0.25,22,22,6
4,0.25,33,8,4
5,0.25,21,0,3
6,0.25,38,38,1
7,0.25,27,27,6
8,0.25,23,23,3
9,0.25,22,22,11
10,0.25,35,35,6
11,0.25,21,21,1
12,0.25,31,0,0
13,0.25,17,7,4
14,0.25,29,0,0
15,0.25,28,28,23
16,0.25,33,0,0
17,0.25,38,38,36
18,0.25,23,0,11
19,0.25,31,31,28
20,0.25,19,19,2
21,0.25,40,40,6
22,0.25,25,25,1
23,0.25,43,43,13
24,0.25,24,24,2
25,0.25,22,22,5
26,0.25,28,28,5
27,0.25,20,20,2
28,0.25,28,28,25
29,0.25,38,9,3
30,0.25,16,16,14
31,0.25,25,0,0
32,0.25,24,0,0
33,0.25,16,16,1
34,0.25,26,26,3
35,0.25,29,0,0
36,0.25,42,42,36
37,0.25,30,0,0
38,0.25,36,36,3
39,0.25,36,20,3
40,0.25,36,36,35
41,0.25,31,0,0
42,0.25,27,4,3
43,0.25,27,16,0
44,0.25,58,58,56
45,0.25,20,20,17
46,0.25,36,36,19
47,0.25,32,20,7
48,0.25,30,15,0
49,0.25,38,38,4
50,0.25,35,10,3
51,0.25,29,6,3
52,0.25,18,18,9
53,0.25,20,0,0
54,0.25,32,28,11
55,0.25,29,29,21
56,0.25,34,31,23
57,0.25,30,30,8
58,0.25,41,41,19
59,0.25,21,0,0
60,0.25,37,37,20
61,0.25,37,37,3
62,0.25,39,6,5
63,0.25,39,5,3
64,0.25,14,14,9
65,0.25,21,21,17
66,0.25,35,35,32
67,0.25,29,6,4
68,0.25,25,9,7
69,0.25,18,18,4
70,0.25,35,19,0
71,0.25,32,9,4
72,0.25,33,0,0
73,0.25,24,24,1
74,0.25,28,7,6
75,0.25,33,33,33
76,0.25,17,0,0
77,0.25,28,15,8
78,0.25,18,18,2
79,0.25,19,19,14
80,0.25,23,23,3
81,0.25,24,17,4
82,0.25,29,15,9
83,0.25,28,28,19
84,0.25,31,31,10
85,0.25,18,0,0
86,0.25,30,30,8
87,0.25,25,25,3
88,0.25,37,37,13
89,0.25,24,24,8
90,0.25,25,25,18
91,0.25,38,38,17
92,0.25,12,0,0
93,0.25,22,0,0
94,0.25,26,26,1
95,0.25,40,40,9
96,0.25,30,30,21
97,0.25,27,0,0
98,0.25,28,0,0
99,0.25,18,18,1
100,0.25,42,5,4
101,0.25,36,0,0
102,0.25,15,0,0
103,0.25,28,28,2
104,0.25,24,24,24
105,0.25,32,32,31
106,0.25,54,39,3
107,0.25,25,0,0
108,0.25,28,28,13
109,0.25,31,0,0
110,0.25,32,0,6
111,0.25,34,34,34
112,0.25,33,33,33
113,0.25,25,25,12
114,0.25,31,8,0
115,0.25,20,6,3
116,0.25,19,19,13
117,0.25,29,29,20
118,0.25,21,21,3
119,0.25,41,41,9
120,0.25,29,29,13
121,0.25,19,0,0
122,0.25,29,29,15
123,0.25,34,0,0
124,0.25,30,30,14
125,0.25,33,33,31
126,0.25,31,7,5
127,0.25,23,0,0
128,0.25,44,44,38
129,0.25,23,23,6
130,0.25,25,7,3
131,0.25,29,29,8
132,0.25,34,6,4
133,0.25,31,31,4
134,0.25,38,9,9
135,0.25,12,0,0
136,0.25,23,0,3
137,0.25,29,29,6
138,0.25,24,24,14
139,0.25,33,10,9
140,0.25,27,0,0
141,0.25,7,7,2
142,0.25,41,41,10
143,0.25,36,17,3
144,0.25,27,11,3
145,0.25,17,17,3
146,0.25,34,34,4
147,0.25,29,11,8
148,0.25,22,22,5
149,0.25,57,51,0
150,0.25,29,29,18
151,0.25,37,37,10
152,0.25,27,27,27
153,0.25,31,0,0
154,0.25,28,24,20
155,0.25,30,30,13
156,0.25,18,0,0
157,0.25,35,35,4
158,0.25,36,0,0
159,0.25,34,0,0
160,0.25,35,35,24
161,0.25,30,28,28
162,0.25,24,24,12
163,0.25,15,0,7
164,0.25,40,10,2
165,0.25,32,27,2
166,0.25,31,0,0
167,0.25,29,0,0
168,0.25,25,0,0
169,0.25,26,0,0
170,0.25,28,28,6
171,0.25,32,5,3
172,0.25,31,0,0
173,0.25,28,28,12
174,0.25,24,24,4
175,0.25,36,36,9
176,0.25,32,32,3
177,0.25,29,29,1
178,0.25,27,27,27
179,0.25,44,44,12
180,0.25,36,0,0
181,0.25,30,30,25
182,0.25,24,24,13
183,0.25,37,22,5
184,0.25,26,26,4
185,0.25,24,0,0
186,0.25,17,0,13
187,0.25,25,8,5
188,0.25,18,0,0
189,0.25,35,35,6
190,0.25,37,0,0
191,0.25,20,5,3
192,0.25,27,27,20
193,0.25,20,20,4
194,0.25,26,0,0
195,0.25,29,29,4
196,0.25,28,28,12
197,0.25,31,31,7
198,0.25,30,30,21
199,0.25,28,28,1
200,0.25,22,22,14
201,0.25,27,27,9
202,0.25,35,35,34
203,0.25,29,0,6
204,0.25,20,20,3
205,0.25,48,48,39
206,0.25,33,33,9
207,0.25,17,17,1
208,0.25,42,0,0
209,0.25,33,33,11
210,0.25,34,34,3
211,0.25,39,10,7
212,0.25,33,9,5
213,0.25,27,27,3
214,0.25,12,12,7
215,0.25,26,0,0
216,0.25,38,38,13
217,0.25,28,28,1
218,0.25,31,31,9
219,0.25,27,27,27
220,0.25,49,0,0
221,0.25,32,32,24
222,0.25,16,16,14
223,0.25,42,42,1
224,0.25,24,24,23
225,0.25,34,34,20
226,0.25,34,0,0
227,0.25,18,18,3
228,0.25,36,36,18
229,0.25,26,26,1
230,0.25,23,23,1
231,0.25,36,36,6
232,0.25,28,0,0
233,0.25,27,0,0
234,0.25,31,6,3
235,0.25,28,10,0
236,0.25,25,0,0
237,0.25,29,0,3
238,0.25,28,0,0
239,0.25,34,34,1
240,0.25,43,9,5
241,0.25,30,13,10
242,0.25,28,28,1
243,0.25,27,25,23
244,0.25,31,31,8
245,0.25,35,0,0
246,0.25,29,29,2
247,0.25,37,5,3
248,0.25,25,25,22
249,0.25,33,33,4
