,lambd,p,k,k_mu
0,0.25,29,0,19
1,0.25,23,23,15
2,0.25,37,37,26
3,0.25,22,22,7
4,0.25,33,22,6
5,0.25,21,0,11
6,0.25,38,38,19
7,0.25,27,27,5
8,0.25,23,23,5
9,0.25,22,22,10
10,0.25,35,35,9
11,0.25,21,21,16
12,0.25,31,0,0
13,0.25,17,9,4
14,0.25,29,0,0
15,0.25,28,28,26
16,0.25,33,0,4
17,0.25,38,38,31
18,0.25,23,0,0
19,0.25,31,31,16
20,0.25,19,19,12
21,0.25,40,40,19
22,0.25,25,25,15
23,0.25,43,43,8
24,0.25,24,24,7
25,0.25,22,22,14
26,0.25,28,28,14
27,0.25,20,20,9
28,0.25,28,28,27
29,0.25,38,14,4
30,0.25,16,16,2
31,0.25,25,25,18
32,0.25,24,0,0
33,0.25,16,16,8
34,0.25,26,26,13
35,0.25,29,0,0
36,0.25,42,42,21
37,0.25,30,0,0
38,0.25,36,36,1
39,0.25,36,18,0
40,0.25,36,36,21
41,0.25,31,9,0
42,0.25,27,12,3
43,0.25,27,0,0
44,0.25,58,58,15
45,0.25,20,20,16
46,0.25,36,36,17
47,0.25,32,25,5
48,0.25,30,10,8
49,0.25,38,38,28
50,0.25,35,10,9
51,0.25,29,17,11
52,0.25,18,18,3
53,0.25,20,16,8
54,0.25,32,11,20
55,0.25,29,29,25
56,0.25,34,0,0
57,0.25,30,30,6
58,0.25,41,41,31
59,0.25,21,0,0
60,0.25,37,37,23
61,0.25,37,37,6
62,0.25,39,13,10
63,0.25,39,12,8
64,0.25,14,14,7
65,0.25,21,21,11
66,0.25,35,35,11
67,0.25,29,23,11
68,0.25,25,17,5
69,0.25,18,18,4
70,0.25,35,0,0
71,0.25,32,18,6
72,0.25,33,0,0
73,0.25,24,24,5
74,0.25,28,27,21
75,0.25,33,33,33
76,0.25,17,0,3
77,0.25,28,25,14
78,0.25,18,18,8
79,0.25,19,19,2
80,0.25,23,23,6
81,0.25,24,8,7
82,0.25,29,26,21
83,0.25,28,28,1
84,0.25,31,31,9
85,0.25,18,0,0
86,0.25,30,30,1
87,0.25,25,25,9
88,0.25,37,37,33
89,0.25,24,24,21
90,0.25,25,25,4
91,0.25,38,38,30
92,0.25,12,0,6
93,0.25,22,0,0
94,0.25,26,26,7
95,0.25,40,40,28
96,0.25,30,30,21
97,0.25,27,0,0
98,0.25,28,0,0
99,0.25,18,18,1
100,0.25,42,22,6
101,0.25,36,0,0
102,0.25,15,11,9
103,0.25,28,28,15
104,0.25,24,24,7
105,0.25,32,32,1
106,0.25,54,23,9
107,0.25,25,0,0
108,0.25,28,28,24
109,0.25,31,0,0
110,0.25,32,0,15
111,0.25,34,34,10
112,0.25,33,33,17
113,0.25,25,25,22
114,0.25,31,0,0
115,0.25,20,15,11
116,0.25,19,19,11
117,0.25,29,29,16
118,0.25,21,21,21
119,0.25,41,41,33
120,0.25,29,29,28
121,0.25,19,0,0
122,0.25,29,29,25
123,0.25,34,0,0
124,0.25,30,30,6
125,0.25,33,33,12
126,0.25,31,31,13
127,0.25,23,0,0
128,0.25,44,44,13
129,0.25,23,23,11
130,0.25,25,19,6
131,0.25,29,29,23
132,0.25,34,15,8
133,0.25,31,31,18
134,0.25,38,23,20
135,0.25,12,0,0
136,0.25,23,0,0
137,0.25,29,29,1
138,0.25,24,24,2
139,0.25,33,20,11
140,0.25,27,0,8
141,0.25,7,7,2
142,0.25,41,41,25
143,0.25,36,19,4
144,0.25,27,24,3
145,0.25,17,17,7
146,0.25,34,34,34
147,0.25,29,16,0
148,0.25,22,22,17
149,0.25,57,47,16
150,0.25,29,29,17
151,0.25,37,37,27
152,0.25,27,27,11
153,0.25,31,17,14
154,0.25,28,0,0
155,0.25,30,30,24
156,0.25,18,0,0
157,0.25,35,35,22
158,0.25,36,0,0
159,0.25,34,0,0
160,0.25,35,35,20
161,0.25,30,28,17
162,0.25,24,24,6
163,0.25,15,0,8
164,0.25,40,29,0
165,0.25,32,0,21
166,0.25,31,0,0
167,0.25,29,0,0
168,0.25,25,0,0
169,0.25,26,0,0
170,0.25,28,28,24
171,0.25,32,10,5
172,0.25,31,0,19
173,0.25,28,28,18
174,0.25,24,24,10
175,0.25,36,36,13
176,0.25,32,32,25
177,0.25,29,29,9
178,0.25,27,27,26
179,0.25,44,44,9
180,0.25,36,0,0
181,0.25,30,30,30
182,0.25,24,24,9
183,0.25,37,32,6
184,0.25,26,26,5
185,0.25,24,0,0
186,0.25,17,0,0
187,0.25,25,8,6
188,0.25,18,0,0
189,0.25,35,35,7
190,0.25,37,0,30
191,0.25,20,13,7
192,0.25,27,27,26
193,0.25,20,20,7
194,0.25,26,0,0
195,0.25,29,29,25
196,0.25,28,28,15
197,0.25,31,31,4
198,0.25,30,30,8
199,0.25,28,28,7
200,0.25,22,22,14
201,0.25,27,27,15
202,0.25,35,35,22
203,0.25,29,0,10
204,0.25,20,20,17
205,0.25,48,48,13
206,0.25,33,33,7
207,0.25,17,17,2
208,0.25,42,11,0
209,0.25,33,33,25
210,0.25,34,34,9
211,0.25,39,16,12
212,0.25,33,14,9
213,0.25,27,27,4
214,0.25,12,12,4
215,0.25,26,0,0
216,0.25,38,38,3
217,0.25,28,28,3
218,0.25,31,31,25
219,0.25,27,27,12
220,0.25,49,0,19
221,0.25,32,32,1
222,0.25,16,16,9
223,0.25,42,42,31
224,0.25,24,24,4
225,0.25,34,34,34
226,0.25,34,0,12
227,0.25,18,18,4
228,0.25,36,36,33
229,0.25,26,26,1
230,0.25,23,23,2
231,0.25,36,36,18
232,0.25,28,0,11
233,0.25,27,0,0
234,0.25,31,6,4
235,0.25,28,20,0
236,0.25,25,18,0
237,0.25,29,0,14
238,0.25,28,0,0
239,0.25,34,34,6
240,0.25,43,34,27
241,0.25,30,19,13
242,0.25,28,28,15
243,0.25,27,0,8
244,0.25,31,31,28
245,0.25,35,0,0
246,0.25,29,29,7
247,0.25,37,28,9
