,lambd,p,k,k_mu
0,0.125,64,47,29
1,0.125,64,64,56
2,0.125,64,17,15
3,0.125,64,17,10
4,0.125,64,20,15
5,0.125,64,31,21
6,0.125,64,20,13
7,0.125,64,64,54
8,0.125,64,15,10
9,0.125,64,64,30
10,0.125,64,64,17
11,0.125,64,64,40
12,0.125,64,64,36
13,0.125,64,64,53
14,0.125,64,33,24
15,0.125,64,64,20
16,0.125,64,64,40
17,0.125,64,64,43
18,0.125,64,14,10
19,0.125,64,16,9
20,0.125,64,19,14
21,0.125,64,39,28
22,0.125,64,28,16
23,0.125,64,64,12
24,0.125,64,29,19
25,0.125,64,58,32
26,0.125,64,64,15
27,0.125,64,29,17
28,0.125,64,15,12
29,0.125,64,64,59
30,0.125,64,58,37
31,0.125,64,15,12
32,0.125,64,64,30
33,0.125,64,64,39
34,0.125,64,37,17
35,0.125,64,64,47
36,0.125,64,19,16
37,0.125,64,18,12
38,0.125,64,46,9
39,0.125,64,64,50
40,0.125,64,64,16
41,0.125,64,16,13
42,0.125,64,42,32
43,0.125,64,64,32
44,0.125,64,64,58
45,0.125,64,64,54
46,0.125,64,29,18
47,0.125,64,64,9
48,0.125,64,20,9
49,0.125,64,10,7
50,0.125,64,35,32
51,0.125,64,52,40
52,0.125,64,12,10
53,0.125,64,50,22
54,0.125,64,35,32
55,0.125,64,40,11
56,0.125,64,11,9
57,0.125,64,48,31
58,0.125,64,60,32
59,0.125,64,64,32
60,0.125,64,64,22
61,0.125,64,36,28
62,0.125,64,15,10
63,0.125,64,37,28
64,0.125,64,21,10
65,0.125,64,64,60
66,0.125,64,64,31
67,0.125,64,10,6
68,0.125,64,10,8
69,0.125,64,28,8
70,0.125,64,11,9
71,0.125,64,38,18
72,0.125,64,16,9
73,0.125,64,63,40
74,0.125,64,64,39
75,0.125,64,55,36
76,0.125,64,46,19
77,0.125,64,14,9
78,0.125,64,24,17
79,0.125,64,16,11
80,0.125,64,64,50
81,0.125,64,23,16
82,0.125,64,14,8
83,0.125,64,56,26
84,0.125,64,64,35
85,0.125,64,20,11
86,0.125,64,10,7
87,0.125,64,10,7
88,0.125,64,64,23
89,0.125,64,64,33
90,0.125,64,16,11
91,0.125,64,11,8
92,0.125,64,23,17
93,0.125,64,25,12
94,0.125,64,64,35
95,0.125,64,43,36
96,0.125,64,64,21
97,0.125,64,24,7
98,0.125,64,36,18
99,0.125,64,42,13
100,0.125,64,64,22
101,0.125,64,25,19
102,0.125,64,64,64
103,0.125,64,7,33
104,0.125,64,57,14
105,0.125,64,26,16
106,0.125,64,36,26
107,0.125,64,64,64
108,0.125,64,16,12
109,0.125,64,19,11
110,0.125,64,27,17
111,0.125,64,64,52
112,0.125,64,25,11
113,0.125,64,59,45
114,0.125,64,64,56
115,0.125,64,64,17
116,0.125,64,33,18
117,0.125,64,64,11
118,0.125,64,19,13
119,0.125,64,64,17
120,0.125,64,64,52
121,0.125,64,64,62
122,0.125,64,64,41
123,0.125,64,64,61
124,0.125,64,16,11
125,0.125,64,41,14
126,0.125,64,64,28
127,0.125,64,64,52
128,0.125,64,39,19
129,0.125,64,64,15
130,0.125,64,64,57
131,0.125,64,35,31
132,0.125,64,17,13
133,0.125,64,64,61
134,0.125,64,64,64
135,0.125,64,64,36
136,0.125,64,60,19
137,0.125,64,14,11
138,0.125,64,27,18
139,0.125,64,11,8
140,0.125,64,26,21
141,0.125,64,64,24
142,0.125,64,16,12
143,0.125,64,17,9
144,0.125,64,11,6
145,0.125,64,49,17
146,0.125,64,64,48
147,0.125,64,9,7
148,0.125,64,27,19
149,0.125,64,64,24
150,0.125,64,64,13
151,0.125,64,14,11
152,0.125,64,64,16
153,0.125,64,11,9
154,0.125,64,18,18
155,0.125,64,15,10
156,0.125,64,23,16
157,0.125,64,21,13
158,0.125,64,22,12
159,0.125,64,64,36
160,0.125,64,12,10
161,0.125,64,34,33
162,0.125,64,64,53
163,0.125,64,48,17
164,0.125,64,13,8
165,0.125,64,64,44
166,0.125,64,20,18
167,0.125,64,64,44
168,0.125,64,57,24
169,0.125,64,8,6
170,0.125,64,64,49
171,0.125,64,12,7
172,0.125,64,14,7
173,0.125,64,64,14
174,0.125,64,11,9
175,0.125,64,64,19
176,0.125,64,15,9
177,0.125,64,64,32
178,0.125,64,64,21
179,0.125,64,30,19
180,0.125,64,64,35
181,0.125,64,26,11
182,0.125,64,14,12
183,0.125,64,14,13
184,0.125,64,62,25
185,0.125,64,64,28
186,0.125,64,12,9
187,0.125,64,64,17
188,0.125,64,30,13
189,0.125,64,24,19
190,0.125,64,57,44
191,0.125,64,35,15
192,0.125,64,64,37
193,0.125,64,13,11
194,0.125,64,19,13
195,0.125,64,48,14
196,0.125,64,12,9
197,0.125,64,24,11
198,0.125,64,12,9
199,0.125,64,12,9
200,0.125,64,61,19
201,0.125,64,64,54
202,0.125,64,34,23
203,0.125,64,64,35
204,0.125,64,58,42
205,0.125,64,64,47
206,0.125,64,32,24
207,0.125,64,64,36
208,0.125,64,13,7
209,0.125,64,0,0
210,0.125,64,22,13
211,0.125,64,10,7
212,0.125,64,64,44
213,0.125,64,37,10
214,0.125,64,64,28
215,0.125,64,16,13
216,0.125,64,64,44
217,0.125,64,28,17
218,0.125,64,52,14
219,0.125,64,28,14
220,0.125,64,64,44
221,0.125,64,14,11
222,0.125,64,64,34
223,0.125,64,20,16
224,0.125,64,9,7
225,0.125,64,64,59
226,0.125,64,64,19
227,0.125,64,64,63
228,0.125,64,18,10
229,0.125,64,33,11
230,0.125,64,64,59
231,0.125,64,31,11
232,0.125,64,14,10
233,0.125,64,64,35
234,0.125,64,64,50
235,0.125,64,64,50
236,0.125,64,57,39
237,0.125,64,17,12
238,0.125,64,13,9
239,0.125,64,64,15
240,0.125,64,64,53
241,0.125,64,64,20
242,0.125,64,26,14
243,0.125,64,32,22
244,0.125,64,22,12
245,0.125,64,64,64
246,0.125,64,32,22
247,0.125,64,64,21
248,0.125,64,15,13
249,0.125,64,22,18
