,lambd,p,k,k_mu
0,0.375,64,64,21
1,0.375,64,64,59
2,0.375,64,7,3
3,0.375,64,6,3
4,0.375,64,10,4
5,0.375,64,44,7
6,0.375,64,27,6
7,0.375,64,64,58
8,0.375,64,19,7
9,0.375,64,55,13
10,0.375,64,18,5
11,0.375,64,64,63
12,0.375,64,64,40
13,0.375,64,64,45
14,0.375,64,29,17
15,0.375,64,64,31
16,0.375,64,64,32
17,0.375,64,18,12
18,0.375,64,13,6
19,0.375,64,17,5
20,0.375,64,10,4
21,0.375,64,40,17
22,0.375,64,10,6
23,0.375,64,47,47
24,0.375,64,16,5
25,0.375,64,33,15
26,0.375,64,64,36
27,0.375,64,34,19
28,0.375,64,19,8
29,0.375,64,64,9
30,0.375,64,33,24
31,0.375,64,24,6
32,0.375,64,63,31
33,0.375,64,64,19
34,0.375,64,14,11
35,0.375,64,26,16
36,0.375,64,37,18
37,0.375,64,7,2
38,0.375,64,64,8
39,0.375,64,64,64
40,0.375,64,64,18
41,0.375,64,18,7
42,0.375,64,51,13
43,0.375,64,64,54
44,0.375,64,64,28
45,0.375,64,64,16
46,0.375,64,20,7
47,0.375,64,64,44
48,0.375,64,24,7
49,0.375,64,14,2
50,0.375,64,23,5
51,0.375,64,23,9
52,0.375,64,14,7
53,0.375,64,34,11
54,0.375,64,64,59
55,0.375,64,36,15
56,0.375,64,17,7
57,0.375,64,39,17
58,0.375,64,53,51
59,0.375,64,52,39
60,0.375,64,49,12
61,0.375,64,46,19
62,0.375,64,36,9
63,0.375,64,43,4
64,0.375,64,64,12
65,0.375,64,64,14
66,0.375,64,64,64
67,0.375,64,12,3
68,0.375,64,25,10
69,0.375,64,20,16
70,0.375,64,12,5
71,0.375,64,39,13
72,0.375,64,10,4
73,0.375,64,64,46
74,0.375,64,64,13
75,0.375,64,55,10
76,0.375,64,64,59
77,0.375,64,12,3
78,0.375,64,34,9
79,0.375,64,47,14
80,0.375,64,64,44
81,0.375,64,64,61
82,0.375,64,11,4
83,0.375,64,41,8
84,0.375,64,64,44
85,0.375,64,29,5
86,0.375,64,10,5
87,0.375,64,7,4
88,0.375,64,21,6
89,0.375,64,64,55
90,0.375,64,43,5
91,0.375,64,9,4
92,0.375,64,31,7
93,0.375,64,50,30
94,0.375,64,64,59
95,0.375,64,64,48
96,0.375,64,64,11
97,0.375,64,21,6
98,0.375,64,21,12
99,0.375,64,64,55
100,0.375,64,64,32
101,0.375,64,8,2
102,0.375,64,64,57
103,0.375,64,64,28
104,0.375,64,15,8
105,0.375,64,36,11
106,0.375,64,39,6
107,0.375,64,64,24
108,0.375,64,20,7
109,0.375,64,34,4
110,0.375,64,64,11
111,0.375,64,42,14
112,0.375,64,32,4
113,0.375,64,64,33
114,0.375,64,64,33
115,0.375,64,64,43
116,0.375,64,46,27
