,lambd,p,k,k_mu
0,0.5,64,64,15
1,0.5,64,64,28
2,0.5,64,25,4
3,0.5,64,6,2
4,0.5,64,21,12
5,0.5,64,64,8
6,0.5,64,51,11
7,0.5,64,64,26
8,0.5,64,24,2
9,0.5,64,48,8
10,0.5,64,64,2
11,0.5,64,64,57
12,0.5,64,64,10
13,0.5,64,64,53
14,0.5,64,53,11
15,0.5,64,64,14
16,0.5,64,64,52
17,0.5,64,34,11
18,0.5,64,20,6
19,0.5,64,14,7
20,0.5,64,30,7
21,0.5,64,38,15
22,0.5,64,12,2
23,0.5,64,64,56
24,0.5,64,15,3
25,0.5,64,32,7
26,0.5,64,64,6
27,0.5,64,39,5
28,0.5,64,64,4
29,0.5,64,64,55
30,0.5,64,48,18
31,0.5,64,64,37
32,0.5,64,59,17
33,0.5,64,64,22
34,0.5,64,15,8
35,0.5,64,60,8
36,0.5,64,28,6
37,0.5,64,20,4
38,0.5,64,64,5
39,0.5,64,64,64
40,0.5,64,64,12
41,0.5,64,36,9
42,0.5,64,53,5
43,0.5,64,64,37
44,0.5,64,64,5
45,0.5,64,64,8
46,0.5,64,17,7
47,0.5,64,64,41
48,0.5,64,34,10
49,0.5,64,16,5
50,0.5,64,21,4
51,0.5,64,15,8
52,0.5,64,34,4
53,0.5,64,31,9
54,0.5,64,64,56
55,0.5,64,17,7
56,0.5,64,22,6
57,0.5,64,24,11
58,0.5,64,64,54
59,0.5,64,64,38
60,0.5,64,27,6
61,0.5,64,38,7
62,0.5,64,42,3
63,0.5,64,24,16
64,0.5,64,64,43
65,0.5,64,64,6
66,0.5,64,64,62
67,0.5,64,11,4
68,0.5,64,17,7
69,0.5,64,11,8
70,0.5,64,21,2
71,0.5,64,64,11
72,0.5,64,19,3
73,0.5,64,64,52
74,0.5,64,64,41
75,0.5,64,35,16
76,0.5,64,64,63
77,0.5,64,12,2
78,0.5,64,43,14
79,0.5,64,31,3
80,0.5,64,64,60
81,0.5,64,64,57
82,0.5,64,11,5
83,0.5,64,24,8
84,0.5,64,64,19
85,0.5,64,23,9
86,0.5,64,32,4
87,0.5,64,21,1
88,0.5,64,38,15
89,0.5,64,64,55
90,0.5,64,41,5
91,0.5,64,38,6
92,0.5,64,30,10
93,0.5,64,55,6
94,0.5,64,64,33
95,0.5,64,64,48
96,0.5,64,64,9
97,0.5,64,9,3
98,0.5,64,64,4
99,0.5,64,64,22
100,0.5,64,64,60
101,0.5,64,21,15
102,0.5,64,64,59
103,0.5,64,64,17
104,0.5,64,45,2
105,0.5,64,18,4
106,0.5,64,26,4
107,0.5,64,64,10
108,0.5,64,18,6
109,0.5,64,57,2
110,0.5,64,64,12
111,0.5,64,33,15
112,0.5,64,20,3
113,0.5,64,64,9
114,0.5,64,64,18
115,0.5,64,64,6
116,0.5,64,40,21
117,0.5,64,50,16
118,0.5,64,42,10
119,0.5,64,56,16
120,0.5,64,64,63
121,0.5,64,64,7
122,0.5,64,64,12
123,0.5,64,64,56
124,0.5,64,55,3
125,0.5,64,35,7
126,0.5,64,64,29
127,0.5,64,46,16
128,0.5,64,32,6
129,0.5,64,64,5
130,0.5,64,64,63
131,0.5,64,35,4
132,0.5,64,36,7
133,0.5,64,64,31
134,0.5,64,64,25
135,0.5,64,64,32
136,0.5,64,62,31
137,0.5,64,14,3
138,0.5,64,64,10
139,0.5,64,36,3
140,0.5,64,35,14
141,0.5,64,64,35
142,0.5,64,17,5
143,0.5,64,16,4
144,0.5,64,15,6
145,0.5,64,64,14
146,0.5,64,64,44
147,0.5,64,12,4
148,0.5,64,23,1
149,0.5,64,64,6
150,0.5,64,64,11
151,0.5,64,11,5
152,0.5,64,64,27
153,0.5,64,19,4
154,0.5,64,64,39
155,0.5,64,52,9
156,0.5,64,26,11
157,0.5,64,25,4
158,0.5,64,16,4
159,0.5,64,64,37
160,0.5,64,33,1
161,0.5,64,16,6
162,0.5,64,40,4
163,0.5,64,64,54
164,0.5,64,8,4
165,0.5,64,64,61
166,0.5,64,26,5
167,0.5,64,64,63
168,0.5,64,54,32
169,0.5,64,10,5
170,0.5,64,64,40
171,0.5,64,17,1
172,0.5,64,64,14
173,0.5,64,64,2
