,lambd,p,k,k_mu
0,0.375,64,64,51
1,0.375,64,64,59
2,0.375,64,23,20
3,0.375,64,8,2
4,0.375,64,12,4
5,0.375,64,30,17
6,0.375,64,22,6
7,0.375,64,64,42
8,0.375,64,7,5
9,0.375,64,60,15
10,0.375,64,29,11
11,0.375,64,64,29
12,0.375,64,64,17
13,0.375,64,64,57
14,0.375,64,22,14
15,0.375,64,64,19
16,0.375,64,64,61
17,0.375,64,51,24
18,0.375,64,16,5
19,0.375,64,10,3
20,0.375,64,23,8
21,0.375,64,39,24
22,0.375,64,24,4
23,0.375,64,45,17
24,0.375,64,35,14
25,0.375,64,31,12
26,0.375,64,64,25
27,0.375,64,13,5
28,0.375,64,15,5
29,0.375,64,64,35
30,0.375,64,35,18
31,0.375,64,41,36
32,0.375,64,49,32
33,0.375,64,64,30
34,0.375,64,18,10
35,0.375,64,18,12
36,0.375,64,10,5
37,0.375,64,8,3
38,0.375,64,64,5
39,0.375,64,64,56
40,0.375,64,64,7
41,0.375,64,37,14
42,0.375,64,60,43
43,0.375,64,64,57
44,0.375,64,64,12
45,0.375,64,64,13
46,0.375,64,27,15
47,0.375,64,64,48
48,0.375,64,19,3
49,0.375,64,15,9
50,0.375,64,40,20
51,0.375,64,37,18
52,0.375,64,14,4
53,0.375,64,33,7
54,0.375,64,64,41
55,0.375,64,36,15
56,0.375,64,26,10
57,0.375,64,50,12
58,0.375,64,47,14
59,0.375,64,31,21
60,0.375,64,28,16
61,0.375,64,51,37
62,0.375,64,11,3
63,0.375,64,42,34
64,0.375,64,64,32
65,0.375,64,64,22
66,0.375,64,64,63
67,0.375,64,21,2
68,0.375,64,20,7
69,0.375,64,7,2
70,0.375,64,14,8
71,0.375,64,52,12
72,0.375,64,10,3
73,0.375,64,64,59
74,0.375,64,64,23
75,0.375,64,61,28
76,0.375,64,64,59
77,0.375,64,11,4
78,0.375,64,51,20
79,0.375,64,44,28
80,0.375,64,64,60
81,0.375,64,64,47
82,0.375,64,14,10
83,0.375,64,27,18
84,0.375,64,64,61
85,0.375,64,51,9
86,0.375,64,27,7
87,0.375,64,10,5
88,0.375,64,37,6
89,0.375,64,64,43
90,0.375,64,15,10
91,0.375,64,16,7
92,0.375,64,19,10
93,0.375,64,25,22
94,0.375,64,64,62
95,0.375,64,64,43
96,0.375,64,64,16
97,0.375,64,23,12
98,0.375,64,58,17
99,0.375,64,64,45
100,0.375,64,64,26
101,0.375,64,24,10
102,0.375,64,64,55
103,0.375,64,64,25
104,0.375,64,35,5
105,0.375,64,30,13
106,0.375,64,33,11
107,0.375,64,64,21
108,0.375,64,15,11
109,0.375,64,23,19
110,0.375,64,64,25
111,0.375,64,31,15
112,0.375,64,14,9
113,0.375,64,64,23
114,0.375,64,64,60
115,0.375,64,64,34
