,lambd,p,nnz,true_label,ones_label,exbs_label,ones_mu_label,exbs_mu_label,ones_gap,exbs_gap,ones_mu_gap,exbs_mu_gap
0,0.125,64,16,395,30,973,26,26,0.25,0.140625,1.0,1.0
1,0.125,64,16,838,838,836,838,838,0.171875,0.0,1.0,1.0
2,0.125,64,16,873,873,873,873,873,0.796875,0.171875,1.0,1.0
3,0.125,64,16,2,2,2,2,2,0.96875,0.703125,1.0,1.0
4,0.125,64,16,534,534,111,534,534,0.890625,0.09375,1.0,1.0
5,0.125,64,16,269,269,111,269,269,0.78125,0.03125,1.0,1.0
6,0.125,64,16,885,709,111,709,709,0.65625,0.015625,1.0,1.0
7,0.125,64,16,590,508,810,810,810,0.125,0.015625,0.71875,1.0
8,0.125,64,16,133,133,133,133,133,0.875,0.28125,1.0,1.0
9,0.125,64,16,280,280,901,280,280,0.03125,0.03125,1.0,1.0
10,0.125,64,16,211,211,211,211,211,0.203125,0.125,1.0,1.0
11,0.125,64,16,464,777,111,902,902,0.125,0.015625,0.5,1.0
12,0.125,64,16,800,865,857,800,509,0.1875,0.03125,0.375,1.0
13,0.125,64,16,66,66,289,68,68,0.046875,0.015625,0.515625,1.0
14,0.125,64,16,587,587,587,587,587,0.5625,0.03125,0.96875,1.0
15,0.125,64,16,975,144,111,708,708,0.03125,0.03125,1.0,1.0
16,0.125,64,16,889,740,603,889,889,0.03125,0.015625,0.84375,1.0
17,0.125,64,16,774,774,578,774,774,0.1875,0.0625,1.0,1.0
18,0.125,64,16,138,138,111,138,138,0.96875,0.015625,1.0,1.0
19,0.125,64,16,956,956,956,956,956,0.9375,0.0625,1.0,1.0
20,0.125,64,16,569,569,569,569,569,0.75,0.171875,1.0,1.0
21,0.125,64,16,214,214,111,214,214,0.421875,0.203125,1.0,1.0
22,0.125,64,16,97,97,97,97,97,0.609375,0.3125,1.0,1.0
23,0.125,64,16,919,919,842,919,919,0.109375,0.046875,0.4375,1.0
