,lambd,p,nnz,true_label,ones_label,exbs_label,ones_mu_label,exbs_mu_label,ones_gap,exbs_gap,ones_mu_gap,exbs_mu_gap
0,0.25,64,16,395,886,818,695,886,0.3125,0.125,0.21875,1.0
1,0.25,64,16,838,907,818,907,619,0.421875,0.34375,0.375,1.0
2,0.25,64,16,873,907,553,918,711,0.078125,0.328125,0.40625,1.0
3,0.25,64,16,2,905,818,905,905,0.03125,0.15625,0.0625,1.0
4,0.25,64,16,534,907,637,907,907,0.375,0.078125,0.234375,1.0
5,0.25,64,16,269,907,818,235,695,0.328125,0.6875,0.109375,1.0
6,0.25,64,16,885,907,818,918,918,0.078125,0.359375,0.046875,1.0
7,0.25,64,16,590,886,553,886,886,0.140625,0.1875,0.0625,1.0
8,0.25,64,16,133,711,818,711,494,0.0,0.046875,0.015625,1.0
9,0.25,64,16,280,907,553,478,907,0.328125,0.515625,0.015625,1.0
10,0.25,64,16,211,907,530,598,478,0.640625,0.0,0.703125,1.0
11,0.25,64,16,464,918,553,918,918,0.328125,0.5625,1.0,1.0
12,0.25,64,16,800,781,607,800,800,0.015625,0.015625,0.171875,1.0
13,0.25,64,16,66,918,553,918,918,0.703125,0.046875,0.9375,1.0
14,0.25,64,16,587,907,818,598,619,0.359375,0.578125,0.6875,1.0
15,0.25,64,16,975,664,530,664,664,0.390625,0.0,0.015625,1.0
16,0.25,64,16,889,579,818,579,579,0.671875,0.3125,0.9375,1.0
17,0.25,64,16,774,918,818,918,918,0.671875,0.046875,0.859375,1.0
18,0.25,64,16,138,918,553,918,918,0.46875,0.4375,0.8125,1.0
19,0.25,64,16,956,907,553,907,907,0.59375,0.296875,0.75,1.0
20,0.25,64,16,569,907,818,664,664,0.1875,0.140625,0.03125,1.0
21,0.25,64,16,214,918,818,918,553,0.0625,0.234375,0.3125,1.0
22,0.25,64,16,97,918,818,637,637,0.03125,0.375,0.453125,1.0
23,0.25,64,16,919,664,664,664,664,0.828125,0.265625,0.40625,1.0
24,0.25,64,16,213,907,818,907,907,0.734375,0.015625,0.8125,1.0
25,0.25,64,16,233,907,818,918,907,0.140625,0.03125,0.640625,1.0
26,0.25,64,16,489,907,818,907,907,0.046875,0.046875,0.078125,1.0
27,0.25,64,16,465,907,553,918,918,0.46875,0.359375,0.8125,1.0
28,0.25,64,16,118,907,818,907,907,0.59375,0.09375,0.296875,1.0
29,0.25,64,16,675,664,553,918,637,0.0625,0.15625,0.671875,1.0
30,0.25,64,16,327,907,553,918,918,0.234375,0.4375,0.625,1.0
31,0.25,64,16,784,907,530,918,918,0.203125,0.03125,1.0,1.0
32,0.25,64,16,190,553,553,907,637,0.0625,0.15625,0.21875,1.0
33,0.25,64,16,545,553,818,424,579,0.0,0.140625,0.359375,1.0
34,0.25,64,16,506,579,818,637,553,0.03125,0.25,0.109375,1.0
35,0.25,64,16,480,579,818,480,579,0.46875,0.4375,0.09375,1.0
36,0.25,64,16,133,907,818,94,711,0.546875,0.375,0.46875,1.0
37,0.25,64,16,886,886,480,860,886,0.15625,0.015625,0.078125,1.0
38,0.25,64,16,967,598,818,532,480,0.03125,0.1875,0.015625,1.0
39,0.25,64,16,643,907,818,907,907,0.75,0.09375,0.828125,1.0
40,0.25,64,16,562,907,720,907,720,0.203125,0.09375,0.015625,1.0
41,0.25,64,16,396,508,530,695,695,0.046875,0.265625,0.0625,1.0
42,0.25,64,16,570,918,818,918,918,0.171875,0.265625,0.484375,1.0
43,0.25,64,16,690,598,818,720,720,0.125,0.203125,0.296875,1.0
44,0.25,64,16,902,918,553,918,918,0.546875,0.421875,1.0,1.0
45,0.25,64,16,5,907,553,598,553,0.09375,0.484375,0.453125,1.0
46,0.25,64,16,914,907,553,918,553,0.109375,0.671875,0.3125,1.0
47,0.25,64,16,801,530,664,664,664,0.0,0.171875,0.390625,1.0
48,0.25,64,16,149,664,530,918,918,0.375,0.015625,0.84375,1.0
49,0.25,64,16,828,907,818,907,907,0.078125,0.03125,0.390625,1.0
50,0.25,64,16,965,907,553,907,907,0.515625,0.234375,0.1875,1.0
51,0.25,64,16,902,918,553,918,918,0.796875,0.234375,1.0,1.0
52,0.25,64,16,962,907,553,519,767,0.1875,0.1875,0.28125,1.0
53,0.25,64,16,599,907,818,907,907,0.53125,0.140625,0.109375,1.0
54,0.25,64,16,654,553,553,664,907,0.28125,0.421875,0.140625,1.0
55,0.25,64,16,709,916,530,526,664,0.109375,0.046875,0.078125,1.0
56,0.25,64,16,532,907,818,907,907,0.5,0.265625,0.328125,1.0
57,0.25,64,16,706,907,818,907,905,0.09375,0.140625,0.03125,1.0
58,0.25,64,16,975,664,553,918,918,0.3125,0.34375,0.359375,1.0
59,0.25,64,16,933,907,553,598,732,0.46875,0.09375,0.09375,1.0
60,0.25,64,16,171,907,818,907,907,0.53125,0.03125,0.875,1.0
61,0.25,64,16,597,907,818,579,579,0.203125,0.421875,0.03125,1.0
62,0.25,64,16,528,637,530,637,530,0.328125,0.125,0.28125,1.0
63,0.25,64,16,752,598,818,598,907,0.203125,0.234375,0.28125,1.0
64,0.25,64,16,269,907,818,907,907,0.78125,0.03125,0.484375,1.0
65,0.25,64,16,282,907,553,907,907,0.4375,0.0625,0.453125,1.0
66,0.25,64,16,799,907,818,707,707,0.0625,0.21875,0.125,1.0
67,0.25,64,16,289,907,553,918,553,0.015625,0.546875,0.234375,1.0
68,0.25,64,16,942,907,530,920,920,0.375,0.015625,0.015625,1.0
69,0.25,64,16,937,907,530,611,611,0.015625,0.0625,0.21875,1.0
70,0.25,64,16,924,907,530,918,711,0.171875,0.171875,0.5,1.0
71,0.25,64,16,705,907,818,918,918,0.015625,0.171875,0.140625,1.0
72,0.25,64,16,202,907,530,918,553,0.625,0.1875,0.140625,1.0
73,0.25,64,16,618,579,818,579,553,0.375,0.046875,0.171875,1.0
74,0.25,64,16,278,907,818,907,907,0.703125,0.078125,0.609375,1.0
75,0.25,64,16,583,664,553,918,553,0.328125,0.234375,0.328125,1.0
76,0.25,64,16,419,918,553,918,918,0.296875,0.09375,0.84375,1.0
77,0.25,64,16,84,918,530,918,664,0.234375,0.109375,0.90625,1.0
78,0.25,64,16,688,907,553,918,918,0.0625,0.640625,1.0,1.0
79,0.25,64,16,351,905,818,907,553,0.171875,0.078125,0.0,1.0
80,0.25,64,16,806,918,818,918,907,0.390625,0.203125,0.46875,1.0
81,0.25,64,16,884,907,553,918,907,0.5,0.125,0.453125,1.0
82,0.25,64,16,145,907,553,907,907,0.390625,0.390625,0.140625,1.0
83,0.25,64,16,335,918,553,918,905,0.28125,0.046875,0.40625,1.0
84,0.25,64,16,633,579,818,424,600,0.109375,0.109375,0.71875,1.0
85,0.25,64,16,360,907,530,907,907,0.28125,0.078125,0.5,1.0
86,0.25,64,16,715,918,553,918,918,0.59375,0.109375,1.0,1.0
87,0.25,64,16,78,916,818,579,579,0.09375,0.0625,0.25,1.0
88,0.25,64,16,935,907,553,918,907,0.578125,0.234375,0.484375,1.0
89,0.25,64,16,171,579,818,423,907,0.421875,0.296875,0.15625,1.0
90,0.25,64,16,603,579,818,579,579,0.28125,0.453125,1.0,1.0
91,0.25,64,16,389,907,553,907,907,0.109375,0.359375,0.453125,1.0
92,0.25,64,16,370,907,530,907,907,0.21875,0.21875,0.078125,1.0
93,0.25,64,16,449,907,530,918,553,0.0625,0.140625,0.046875,1.0
94,0.25,64,16,572,907,644,907,907,0.53125,0.0625,0.484375,1.0
95,0.25,64,16,60,907,530,918,907,0.234375,0.03125,0.734375,1.0
96,0.25,64,16,779,607,607,579,579,0.53125,0.71875,0.671875,1.0
97,0.25,64,16,347,907,530,918,553,0.046875,0.0,0.171875,1.0
98,0.25,64,16,370,907,553,711,611,0.453125,0.375,0.140625,1.0
99,0.25,64,16,690,907,818,598,598,0.28125,0.3125,0.046875,1.0
100,0.25,64,16,910,907,553,579,905,0.265625,0.09375,0.03125,1.0
101,0.25,64,16,365,907,553,918,549,0.46875,0.265625,0.359375,1.0
102,0.25,64,16,162,907,818,918,907,0.015625,0.171875,0.484375,1.0
103,0.25,64,16,837,664,664,918,664,0.28125,0.296875,0.078125,1.0
104,0.25,64,16,603,907,818,907,907,0.34375,0.09375,0.359375,1.0
105,0.25,64,16,286,907,818,918,905,0.21875,0.421875,0.109375,1.0
106,0.25,64,16,264,907,818,907,907,0.265625,0.234375,0.25,1.0
107,0.25,64,16,747,598,818,745,818,0.15625,0.609375,0.46875,1.0
108,0.25,64,16,649,918,818,918,637,0.15625,0.0625,0.03125,1.0
109,0.25,64,16,486,579,818,486,486,0.546875,0.4375,0.8125,1.0
