,lambd,p,nnz,true_label,ones_label,exbs_label,ones_mu_label,exbs_mu_label,ones_gap,exbs_gap,ones_mu_gap,exbs_mu_gap
0,1.0,64,16,395,22,107,22,107,1.0,1.0,1.0,1.0
1,1.0,64,16,838,21,440,21,440,1.0,1.0,1.0,1.0
2,1.0,64,16,873,21,23,21,23,1.0,1.0,1.0,1.0
3,1.0,64,16,2,21,107,21,107,1.0,1.0,1.0,1.0
4,1.0,64,16,534,21,107,21,107,1.0,1.0,1.0,1.0
5,1.0,64,16,269,21,107,21,107,1.0,1.0,1.0,1.0
6,1.0,64,16,885,701,22,701,22,1.0,1.0,1.0,1.0
7,1.0,64,16,590,21,107,21,107,1.0,1.0,1.0,1.0
8,1.0,64,16,133,73,440,73,440,1.0,1.0,1.0,1.0
9,1.0,64,16,280,21,23,21,23,1.0,1.0,1.0,1.0
10,1.0,64,16,211,21,607,21,607,1.0,1.0,1.0,1.0
11,1.0,64,16,464,701,22,701,22,1.0,1.0,1.0,1.0
12,1.0,64,16,800,607,607,607,607,1.0,1.0,1.0,1.0
13,1.0,64,16,66,21,23,21,23,1.0,1.0,1.0,1.0
14,1.0,64,16,587,21,107,21,107,1.0,1.0,1.0,1.0
15,1.0,64,16,975,21,107,21,107,1.0,1.0,1.0,1.0
16,1.0,64,16,889,23,23,23,23,1.0,1.0,1.0,1.0
17,1.0,64,16,774,21,22,21,22,1.0,1.0,1.0,1.0
18,1.0,64,16,138,21,440,21,440,1.0,1.0,1.0,1.0
19,1.0,64,16,956,21,107,21,107,1.0,1.0,1.0,1.0
20,1.0,64,16,569,23,107,23,107,1.0,1.0,1.0,1.0
21,1.0,64,16,214,21,22,21,22,1.0,1.0,1.0,1.0
22,1.0,64,16,97,94,107,94,107,1.0,1.0,1.0,1.0
23,1.0,64,16,919,21,107,21,107,1.0,1.0,1.0,1.0
24,1.0,64,16,213,21,440,21,440,1.0,1.0,1.0,1.0
25,1.0,64,16,233,21,107,21,107,1.0,1.0,1.0,1.0
26,1.0,64,16,489,22,111,22,111,1.0,1.0,1.0,1.0
27,1.0,64,16,465,21,107,21,107,1.0,1.0,1.0,1.0
28,1.0,64,16,118,21,107,21,107,1.0,1.0,1.0,1.0
29,1.0,64,16,675,21,107,21,107,1.0,1.0,1.0,1.0
30,1.0,64,16,327,21,440,21,440,1.0,1.0,1.0,1.0
31,1.0,64,16,784,21,107,21,107,1.0,1.0,1.0,1.0
32,1.0,64,16,190,21,22,21,22,1.0,1.0,1.0,1.0
33,1.0,64,16,545,23,440,23,440,1.0,1.0,1.0,1.0
34,1.0,64,16,506,111,107,111,107,1.0,1.0,1.0,1.0
35,1.0,64,16,480,107,107,107,107,1.0,1.0,1.0,1.0
36,1.0,64,16,133,111,107,111,107,1.0,1.0,1.0,1.0
37,1.0,64,16,886,21,440,21,440,1.0,1.0,1.0,1.0
38,1.0,64,16,967,607,440,607,440,1.0,1.0,1.0,1.0
39,1.0,64,16,643,111,440,111,440,1.0,1.0,1.0,1.0
40,1.0,64,16,562,21,107,21,107,1.0,1.0,1.0,1.0
41,1.0,64,16,396,111,107,111,107,1.0,1.0,1.0,1.0
42,1.0,64,16,570,22,23,22,23,1.0,1.0,1.0,1.0
43,1.0,64,16,690,107,530,107,530,1.0,1.0,1.0,1.0
44,1.0,64,16,902,21,22,21,22,1.0,1.0,1.0,1.0
45,1.0,64,16,5,21,107,21,107,1.0,1.0,1.0,1.0
46,1.0,64,16,914,21,22,21,22,1.0,1.0,1.0,1.0
47,1.0,64,16,801,4,107,4,107,1.0,1.0,1.0,1.0
48,1.0,64,16,149,23,107,23,107,1.0,1.0,1.0,1.0
49,1.0,64,16,828,111,107,111,107,1.0,1.0,1.0,1.0
50,1.0,64,16,965,21,107,21,107,1.0,1.0,1.0,1.0
51,1.0,64,16,902,111,22,111,22,1.0,1.0,1.0,1.0
52,1.0,64,16,962,530,107,530,107,1.0,1.0,1.0,1.0
53,1.0,64,16,599,21,23,21,23,1.0,1.0,1.0,1.0
54,1.0,64,16,654,111,107,111,107,1.0,1.0,1.0,1.0
55,1.0,64,16,709,107,107,107,107,1.0,1.0,1.0,1.0
56,1.0,64,16,532,21,607,21,607,1.0,1.0,1.0,1.0
57,1.0,64,16,706,21,107,21,107,1.0,1.0,1.0,1.0
58,1.0,64,16,975,21,22,21,22,1.0,1.0,1.0,1.0
59,1.0,64,16,933,111,107,111,107,1.0,1.0,1.0,1.0
60,1.0,64,16,171,21,440,21,440,1.0,1.0,1.0,1.0
61,1.0,64,16,597,21,907,21,907,1.0,1.0,1.0,1.0
62,1.0,64,16,528,107,107,107,107,1.0,1.0,1.0,1.0
63,1.0,64,16,752,23,107,23,107,1.0,1.0,1.0,1.0
64,1.0,64,16,269,21,107,21,107,1.0,1.0,1.0,1.0
65,1.0,64,16,282,23,23,23,23,1.0,1.0,1.0,1.0
66,1.0,64,16,799,23,440,23,440,1.0,1.0,1.0,1.0
67,1.0,64,16,289,23,440,23,440,1.0,1.0,1.0,1.0
68,1.0,64,16,942,607,107,607,107,1.0,1.0,1.0,1.0
69,1.0,64,16,937,111,107,111,107,1.0,1.0,1.0,1.0
70,1.0,64,16,924,21,22,21,22,1.0,1.0,1.0,1.0
71,1.0,64,16,705,111,23,111,23,1.0,1.0,1.0,1.0
72,1.0,64,16,202,21,907,21,907,1.0,1.0,1.0,1.0
73,1.0,64,16,618,21,22,21,22,1.0,1.0,1.0,1.0
74,1.0,64,16,278,21,23,21,23,1.0,1.0,1.0,1.0
75,1.0,64,16,583,21,107,21,107,1.0,1.0,1.0,1.0
76,1.0,64,16,419,21,22,21,22,1.0,1.0,1.0,1.0
77,1.0,64,16,84,21,107,21,107,1.0,1.0,1.0,1.0
78,1.0,64,16,688,21,440,21,440,1.0,1.0,1.0,1.0
79,1.0,64,16,351,21,22,21,22,1.0,1.0,1.0,1.0
80,1.0,64,16,806,21,907,21,907,1.0,1.0,1.0,1.0
81,1.0,64,16,884,21,107,21,107,1.0,1.0,1.0,1.0
82,1.0,64,16,145,92,440,92,440,1.0,1.0,1.0,1.0
83,1.0,64,16,335,21,22,21,22,1.0,1.0,1.0,1.0
84,1.0,64,16,633,23,440,23,440,1.0,1.0,1.0,1.0
85,1.0,64,16,360,22,107,22,107,1.0,1.0,1.0,1.0
86,1.0,64,16,715,21,107,21,107,1.0,1.0,1.0,1.0
87,1.0,64,16,78,78,907,78,907,1.0,1.0,1.0,1.0
88,1.0,64,16,935,111,107,111,107,1.0,1.0,1.0,1.0
89,1.0,64,16,171,107,107,107,107,1.0,1.0,1.0,1.0
90,1.0,64,16,603,23,23,23,23,1.0,1.0,1.0,1.0
91,1.0,64,16,389,21,107,21,107,1.0,1.0,1.0,1.0
