,lambd,p,nnz,true_label,ones_label,exbs_label,ones_mu_label,exbs_mu_label,ones_gap,exbs_gap,ones_mu_gap,exbs_mu_gap
0,0.5,64,16,395,26,26,26,26,0.921875,0.109375,1.0,1.0
1,0.5,64,16,838,838,838,838,838,0.125,0.109375,0.40625,1.0
2,0.5,64,16,873,873,873,873,873,1.0,0.84375,1.0,1.0
3,0.5,64,16,2,2,2,2,2,1.0,1.0,1.0,1.0
4,0.5,64,16,534,534,534,534,534,1.0,0.78125,1.0,1.0
5,0.5,64,16,269,269,269,269,269,0.96875,0.53125,1.0,1.0
6,0.5,64,16,885,709,709,709,709,1.0,0.78125,1.0,1.0
7,0.5,64,16,590,810,810,810,810,0.5625,0.109375,1.0,1.0
8,0.5,64,16,133,133,133,133,133,1.0,1.0,1.0,1.0
9,0.5,64,16,280,280,280,280,280,1.0,0.296875,1.0,1.0
10,0.5,64,16,211,211,211,211,211,0.96875,1.0,1.0,1.0
11,0.5,64,16,464,902,902,902,902,0.59375,0.109375,0.71875,1.0
12,0.5,64,16,800,800,800,800,800,0.75,0.9375,1.0,1.0
13,0.5,64,16,66,66,66,68,68,0.078125,0.09375,0.828125,1.0
14,0.5,64,16,587,587,587,587,587,1.0,0.421875,1.0,1.0
15,0.5,64,16,975,708,708,708,708,0.921875,0.140625,1.0,1.0
16,0.5,64,16,889,889,421,889,889,0.03125,0.359375,1.0,1.0
17,0.5,64,16,774,774,774,774,774,1.0,0.4375,1.0,1.0
18,0.5,64,16,138,138,138,138,138,1.0,0.75,1.0,1.0
19,0.5,64,16,956,956,956,956,956,1.0,1.0,1.0,1.0
20,0.5,64,16,569,569,569,569,569,1.0,0.765625,1.0,1.0
21,0.5,64,16,214,214,214,214,214,1.0,0.234375,1.0,1.0
22,0.5,64,16,97,97,97,97,97,1.0,1.0,1.0,1.0
23,0.5,64,16,919,919,919,919,919,0.53125,0.09375,0.53125,1.0
24,0.5,64,16,213,213,213,213,213,1.0,0.875,1.0,1.0
25,0.5,64,16,233,233,233,233,233,1.0,1.0,1.0,1.0
