,lambd,p,nnz,true_label,ones_label,exbs_label,ones_mu_label,exbs_mu_label,ones_gap,exbs_gap,ones_mu_gap,exbs_mu_gap
0,0.25,64,16,395,886,743,410,886,0.375,0.25,0.125,1.0
1,0.25,64,16,838,907,553,598,598,0.109375,0.234375,0.015625,1.0
2,0.25,64,16,873,664,553,664,711,0.09375,0.1875,0.140625,1.0
3,0.25,64,16,2,664,598,598,905,0.046875,0.140625,0.265625,1.0
4,0.25,64,16,534,907,553,526,907,0.046875,0.0625,0.09375,1.0
5,0.25,64,16,269,907,579,664,664,0.203125,0.125,0.078125,1.0
6,0.25,64,16,885,598,598,446,664,0.09375,0.15625,0.140625,1.0
7,0.25,64,16,590,886,553,664,886,0.046875,0.21875,0.09375,1.0
8,0.25,64,16,133,453,743,711,905,0.265625,0.515625,0.171875,1.0
9,0.25,64,16,280,598,553,280,280,0.359375,0.640625,0.65625,1.0
10,0.25,64,16,211,918,553,918,598,0.25,0.28125,0.625,1.0
11,0.25,64,16,464,918,553,918,553,0.21875,0.5625,0.9375,1.0
12,0.25,64,16,800,453,530,453,453,0.265625,0.0625,0.375,1.0
13,0.25,64,16,66,918,743,918,918,0.71875,0.421875,1.0,1.0
14,0.25,64,16,587,598,818,598,619,0.1875,0.09375,0.59375,1.0
15,0.25,64,16,975,664,743,664,664,0.8125,0.046875,0.359375,1.0
16,0.25,64,16,889,598,579,579,579,0.03125,0.25,0.5,1.0
17,0.25,64,16,774,918,743,918,918,0.453125,0.109375,1.0,1.0
18,0.25,64,16,138,918,553,918,918,0.734375,0.234375,0.96875,1.0
19,0.25,64,16,956,907,553,918,918,0.171875,0.65625,0.65625,1.0
20,0.25,64,16,569,579,598,527,598,0.125,0.28125,0.015625,1.0
21,0.25,64,16,214,918,598,918,699,0.046875,0.140625,0.046875,1.0
22,0.25,64,16,97,905,598,646,598,0.0,0.140625,0.125,1.0
23,0.25,64,16,919,664,664,664,664,0.890625,0.359375,0.59375,1.0
24,0.25,64,16,213,907,530,918,907,0.421875,0.15625,0.453125,1.0
25,0.25,64,16,233,918,553,918,508,0.234375,0.078125,0.859375,1.0
26,0.25,64,16,489,453,579,579,579,0.359375,0.09375,0.09375,1.0
27,0.25,64,16,465,907,553,918,918,0.015625,0.421875,1.0,1.0
28,0.25,64,16,118,907,553,918,918,0.078125,0.140625,0.28125,1.0
29,0.25,64,16,675,918,553,918,918,0.03125,0.34375,0.90625,1.0
30,0.25,64,16,327,918,553,918,918,0.0625,0.59375,0.609375,1.0
31,0.25,64,16,784,918,530,918,918,0.5625,0.109375,1.0,1.0
32,0.25,64,16,190,446,553,918,446,0.09375,0.25,0.3125,1.0
33,0.25,64,16,545,446,553,532,579,0.046875,0.203125,0.078125,1.0
34,0.25,64,16,506,579,743,637,446,0.0625,0.234375,0.375,1.0
35,0.25,64,16,480,743,743,480,707,0.015625,0.15625,0.4375,1.0
36,0.25,64,16,133,907,598,94,851,0.046875,0.015625,0.28125,1.0
37,0.25,64,16,886,886,553,886,886,0.40625,0.078125,0.078125,1.0
38,0.25,64,16,967,598,743,598,886,0.1875,0.046875,0.15625,1.0
39,0.25,64,16,643,907,743,907,907,0.5625,0.125,0.8125,1.0
40,0.25,64,16,562,918,553,918,767,0.078125,0.171875,0.640625,1.0
41,0.25,64,16,396,508,743,396,579,0.03125,0.03125,0.015625,1.0
42,0.25,64,16,570,664,743,446,664,0.375,0.40625,0.03125,1.0
43,0.25,64,16,690,598,553,410,720,0.390625,0.1875,0.046875,1.0
44,0.25,64,16,902,918,553,918,767,0.484375,0.859375,1.0,1.0
45,0.25,64,16,5,918,553,918,446,0.03125,0.453125,0.0625,1.0
46,0.25,64,16,914,598,553,918,553,0.125,0.765625,0.1875,1.0
47,0.25,64,16,801,530,664,664,664,0.203125,0.046875,0.828125,1.0
48,0.25,64,16,149,664,553,918,918,0.578125,0.3125,0.625,1.0
49,0.25,64,16,828,918,530,918,508,0.03125,0.0625,0.546875,1.0
50,0.25,64,16,965,907,553,918,598,0.125,0.1875,0.140625,1.0
51,0.25,64,16,902,918,553,918,918,0.40625,0.046875,1.0,1.0
52,0.25,64,16,962,553,553,598,720,0.171875,0.4375,0.03125,1.0
53,0.25,64,16,599,918,553,918,548,0.078125,0.03125,0.5,1.0
54,0.25,64,16,654,553,553,553,664,0.203125,0.375,0.078125,1.0
55,0.25,64,16,709,664,598,664,664,0.390625,0.328125,0.140625,1.0
56,0.25,64,16,532,907,743,532,453,0.140625,0.0625,0.15625,1.0
57,0.25,64,16,706,886,743,664,598,0.046875,0.140625,0.234375,1.0
58,0.25,64,16,975,664,553,918,918,0.5,0.515625,0.640625,1.0
59,0.25,64,16,933,907,553,598,425,0.125,0.40625,0.3125,1.0
60,0.25,64,16,171,907,598,907,907,0.015625,0.125,0.34375,1.0
61,0.25,64,16,597,598,553,579,579,0.03125,0.078125,0.515625,1.0
62,0.25,64,16,528,637,480,528,892,0.171875,0.015625,0.171875,1.0
63,0.25,64,16,752,598,598,598,598,0.515625,0.171875,0.171875,1.0
64,0.25,64,16,269,907,553,907,494,0.28125,0.125,0.0,1.0
65,0.25,64,16,282,907,553,918,598,0.234375,0.109375,0.546875,1.0
66,0.25,64,16,799,553,743,550,550,0.015625,0.15625,0.359375,1.0
67,0.25,64,16,289,851,553,918,918,0.3125,0.109375,1.0,1.0
68,0.25,64,16,942,453,553,598,767,0.03125,0.1875,0.234375,1.0
69,0.25,64,16,937,905,530,611,611,0.03125,0.484375,0.15625,1.0
70,0.25,64,16,924,918,598,918,549,0.265625,0.03125,0.765625,1.0
