,lambd,p,nnz,true_label,ones_label,exbs_label,ones_mu_label,exbs_mu_label,ones_gap,exbs_gap,ones_mu_gap,exbs_mu_gap
0,0.25,64,16,395,904,905,904,904,0.8125,0.171875,0.578125,1.0
1,0.25,64,16,838,905,844,633,549,0.046875,0.0625,0.21875,1.0
2,0.25,64,16,873,918,916,646,519,0.1875,0.03125,0.625,1.0
3,0.25,64,16,2,646,598,646,421,0.46875,0.0625,0.078125,1.0
4,0.25,64,16,534,549,549,534,534,0.515625,0.265625,1.0,1.0
5,0.25,64,16,269,904,905,272,904,0.3125,0.015625,0.46875,1.0
6,0.25,64,16,885,549,549,549,646,0.921875,0.640625,0.953125,1.0
7,0.25,64,16,590,508,553,508,508,0.515625,0.1875,0.96875,1.0
8,0.25,64,16,133,904,905,24,24,0.203125,0.078125,0.34375,1.0
9,0.25,64,16,280,646,549,921,646,0.21875,0.0,0.03125,1.0
10,0.25,64,16,211,646,419,646,549,0.421875,0.359375,0.234375,1.0
11,0.25,64,16,464,918,844,918,918,0.328125,0.03125,0.96875,1.0
12,0.25,64,16,800,549,920,760,760,0.234375,0.078125,0.09375,1.0
13,0.25,64,16,66,918,916,918,646,0.515625,0.015625,0.3125,1.0
14,0.25,64,16,587,646,583,587,497,0.734375,0.046875,0.09375,1.0
15,0.25,64,16,975,905,905,460,905,0.390625,0.046875,0.234375,1.0
16,0.25,64,16,889,549,916,513,513,0.25,0.28125,0.140625,1.0
17,0.25,64,16,774,549,549,918,646,0.0625,0.609375,0.375,1.0
18,0.25,64,16,138,904,905,138,918,0.09375,0.25,0.078125,1.0
19,0.25,64,16,956,646,905,646,646,0.265625,0.0625,0.140625,1.0
20,0.25,64,16,569,480,916,711,916,0.109375,0.40625,0.1875,1.0
21,0.25,64,16,214,904,598,201,549,0.296875,0.140625,0.03125,1.0
22,0.25,64,16,97,646,905,912,912,0.40625,0.015625,0.03125,1.0
23,0.25,64,16,919,646,530,646,646,0.078125,0.0625,0.03125,1.0
24,0.25,64,16,213,646,419,211,599,0.03125,0.21875,0.140625,1.0
25,0.25,64,16,233,646,905,646,646,0.3125,0.03125,0.96875,1.0
26,0.25,64,16,489,904,583,489,677,0.265625,0.03125,0.546875,1.0
27,0.25,64,16,465,549,549,918,918,0.65625,0.40625,0.1875,1.0
28,0.25,64,16,118,904,818,646,549,0.046875,0.140625,0.046875,1.0
29,0.25,64,16,675,918,916,918,918,0.140625,0.359375,0.15625,1.0
30,0.25,64,16,327,646,916,646,646,0.5,0.234375,1.0,1.0
31,0.25,64,16,784,646,419,695,419,0.125,0.71875,0.4375,1.0
32,0.25,64,16,190,549,549,203,203,0.375,0.203125,0.03125,1.0
33,0.25,64,16,545,549,549,549,549,0.125,0.125,0.421875,1.0
34,0.25,64,16,506,905,818,506,905,0.4375,0.03125,0.671875,1.0
35,0.25,64,16,480,905,818,480,480,0.21875,0.046875,1.0,1.0
36,0.25,64,16,133,904,916,133,133,0.4375,0.109375,1.0,1.0
37,0.25,64,16,886,916,916,664,480,0.59375,0.4375,0.25,1.0
38,0.25,64,16,967,916,818,711,904,0.046875,0.140625,0.140625,1.0
39,0.25,64,16,643,646,844,905,619,0.03125,0.015625,0.28125,1.0
40,0.25,64,16,562,549,549,918,529,0.15625,0.5625,0.359375,1.0
41,0.25,64,16,396,646,530,646,646,0.328125,0.0625,0.609375,1.0
42,0.25,64,16,570,549,549,646,918,0.03125,0.109375,0.046875,1.0
43,0.25,64,16,690,646,549,646,549,0.34375,0.484375,0.125,1.0
44,0.25,64,16,902,918,916,918,918,1.0,0.015625,1.0,1.0
45,0.25,64,16,5,646,549,646,549,0.0625,0.296875,0.796875,1.0
46,0.25,64,16,914,549,549,918,896,0.0,0.15625,0.078125,1.0
