,data_ind,lambd,p,nnz,true_label,ones_label,exbs_label,ones_mu_label,exbs_mu_label,ones_gap,exbs_gap,ones_mu_gap,exbs_mu_gap,inc_init_r_max,inc_curr_r_max,inc_max_dist,inc_num_resets,inc_num_ces,dec_init_r_max,dec_curr_r_max,dec_max_dist,dec_num_resets,dec_num_ces
0,0,1.0,64,16,395,82,133,82,133,1.0,1.0,1.0,1.0,8,0,0,0,1,8,0,0,0,1
1,1,1.0,64,16,838,838,838,838,838,1.0,1.0,1.0,1.0,8,3,7,16,3,16,8,12,9,2
2,2,1.0,64,16,873,873,873,873,873,1.0,1.0,1.0,1.0,32,32,24,6,0,32,32,32,5,0
3,3,1.0,64,16,2,2,2,2,2,1.0,1.0,1.0,1.0,32,32,28,7,0,32,32,32,6,0
4,4,1.0,64,16,534,534,534,534,534,1.0,1.0,1.0,1.0,32,32,28,7,0,32,32,30,4,0
5,5,1.0,64,16,269,269,269,269,269,1.0,1.0,1.0,1.0,8,1,2,4,3,8,4,8,14,2
6,6,1.0,64,16,885,709,709,709,709,1.0,1.0,1.0,1.0,8,0,0,0,1,8,0,0,0,1
7,7,1.0,64,16,590,810,810,810,810,1.0,1.0,1.0,1.0,8,0,0,0,1,8,6,6,13,1
8,8,1.0,64,16,133,133,133,133,133,1.0,1.0,1.0,1.0,32,32,30,5,0,32,32,28,5,0
9,9,1.0,64,16,280,285,280,285,280,1.0,1.0,1.0,1.0,8,7,8,10,1,8,0,0,0,1
10,10,1.0,64,16,211,211,211,211,211,1.0,1.0,1.0,1.0,16,13,16,6,1,16,12,14,5,2
11,11,1.0,64,16,464,512,512,512,512,1.0,1.0,1.0,1.0,16,8,9,9,3,8,1,3,18,3
12,12,1.0,64,16,800,800,800,800,800,1.0,1.0,1.0,1.0,16,11,16,8,1,32,17,23,7,2
13,13,1.0,64,16,66,307,66,307,66,1.0,1.0,1.0,1.0,8,0,0,0,1,8,0,0,0,1
