,data_ind,lambd,p,nnz,true_label,ones_label,exbs_label,ones_mu_label,exbs_mu_label,ones_gap,exbs_gap,ones_mu_gap,exbs_mu_gap,inc_init_r_max,inc_curr_r_max,inc_max_dist,inc_num_resets,inc_num_ces,dec_init_r_max,dec_curr_r_max,dec_max_dist,dec_num_resets,dec_num_ces
0,0,0.5,29,8,1,1,1,1,1,0.875,1.0,1.0,1.0,7,4,6,15,3,7,5,5,15,1
1,1,0.5,23,6,2,2,2,2,2,1.0,1.0,1.0,1.0,11,11,10,7,0,11,11,11,8,0
2,2,0.5,37,10,2,2,2,2,2,0.75,1.0,1.0,1.0,18,18,14,5,0,18,18,16,5,0
3,3,0.5,22,6,1,1,2,2,2,0.0,0.75,1.0,1.0,11,11,11,7,0,11,11,11,12,0
4,4,0.5,33,9,2,2,2,2,2,1.0,1.0,1.0,1.0,16,16,12,5,0,16,16,16,5,0
5,5,0.5,21,6,0,0,0,0,0,0.5,0.875,1.0,1.0,5,4,5,15,1,10,7,8,10,2
6,6,0.5,38,10,1,1,1,1,1,0.5,0.5,0.875,1.0,4,1,3,7,3,4,1,4,5,2
7,7,0.5,27,7,2,2,2,2,2,0.875,1.0,1.0,1.0,13,13,13,6,0,13,13,13,7,0
8,8,0.5,23,6,2,2,2,2,2,0.625,1.0,1.0,1.0,11,11,11,8,0,11,11,11,7,0
9,9,0.5,22,6,2,2,2,2,2,0.5,0.875,1.0,1.0,11,11,10,9,0,11,11,11,8,0
10,10,0.5,35,9,2,2,2,2,2,0.875,1.0,1.0,1.0,17,17,17,7,0,17,17,17,7,0
11,11,0.5,21,6,0,1,1,0,0,0.3125,0.5625,1.0,1.0,2,0,0,0,1,5,2,2,25,1
12,12,0.5,31,8,1,1,1,1,2,0.875,0.0625,0.875,1.0,3,1,1,1,1,11,8,9,10,2
13,13,0.5,17,5,2,2,2,2,2,1.0,0.625,1.0,1.0,8,8,7,10,0,8,8,8,10,0
14,14,0.5,29,8,1,1,1,1,1,1.0,1.0,1.0,1.0,14,14,14,10,0,14,14,14,6,0
15,15,0.5,28,7,1,2,2,2,2,0.625,0.25,1.0,1.0,3,1,3,7,2,7,5,7,13,2
16,16,0.5,33,9,1,1,1,1,1,1.0,0.625,1.0,1.0,16,16,14,7,0,16,16,16,4,0
17,17,0.5,38,10,1,2,2,2,2,0.5,0.125,0.625,1.0,4,0,0,0,1,4,3,4,19,1
18,18,0.5,23,6,1,1,2,1,2,0.625,0.125,0.625,1.0,2,0,0,0,1,2,1,1,1,1
19,19,0.5,31,8,1,1,2,1,2,0.375,0.875,0.5,1.0,3,1,0,2,2,3,0,0,0,1
20,20,0.5,19,5,1,0,0,0,0,0.0625,1.0,1.0,1.0,9,8,8,9,1,2,0,0,0,1
21,21,0.5,40,10,2,2,2,2,2,1.0,1.0,1.0,1.0,20,20,18,5,0,20,20,19,4,0
22,22,0.5,25,7,2,1,1,1,1,0.625,0.375,0.75,1.0,12,12,12,8,0,12,12,12,7,0
23,23,0.5,43,11,2,0,1,2,1,0.0,0.625,0.25,1.0,5,0,0,0,1,5,0,0,0,1
24,24,0.5,24,6,1,0,0,0,0,0.4375,0.625,1.0,1.0,12,12,12,6,0,12,12,11,9,0
25,25,0.5,22,6,2,2,2,2,2,0.25,1.0,1.0,1.0,11,11,11,7,0,11,11,9,9,0
26,26,0.5,28,7,2,2,2,2,2,0.875,1.0,1.0,1.0,14,14,14,6,0,14,14,14,9,0
27,27,0.5,20,5,2,1,2,2,2,0.0,0.5,1.0,1.0,10,7,8,12,3,2,0,0,0,1
28,28,0.5,28,7,2,1,2,1,1,0.0,0.625,0.0,1.0,3,0,0,0,1,3,0,0,0,1
29,29,0.5,38,10,2,2,2,2,2,1.0,1.0,1.0,1.0,19,19,19,6,0,19,19,17,5,0
30,30,0.5,16,4,2,2,2,2,2,0.75,1.0,1.0,1.0,8,8,6,11,0,8,8,8,9,0
31,31,0.5,25,7,1,1,1,1,1,0.75,0.375,1.0,1.0,3,1,3,4,2,12,10,11,7,2
32,32,0.5,24,6,1,1,1,1,1,0.4375,0.25,0.625,1.0,3,0,0,0,1,3,2,3,22,1
33,33,0.5,16,4,2,2,2,2,2,0.625,0.625,1.0,1.0,8,8,8,12,0,8,8,8,9,0
34,34,0.5,26,7,2,2,2,2,2,1.0,1.0,1.0,1.0,13,13,13,8,0,13,13,13,6,0
35,35,0.5,29,8,1,1,1,1,1,1.0,0.75,1.0,1.0,14,14,14,8,0,14,14,14,6,0
36,36,0.5,42,11,2,2,2,2,2,0.75,1.0,1.0,1.0,5,1,0,2,2,5,2,5,21,3
37,37,0.5,30,8,1,1,1,1,1,1.0,1.0,0.875,1.0,3,1,3,5,1,15,15,15,5,0
38,38,0.5,36,9,0,0,0,0,0,0.25,0.125,1.0,1.0,4,0,0,0,1,4,1,3,16,3
39,39,0.5,36,9,1,1,1,1,1,1.0,0.875,1.0,1.0,18,18,16,6,0,18,18,18,5,0
40,40,0.5,36,9,1,1,2,1,1,0.0,0.75,0.625,1.0,4,1,3,3,3,4,0,0,0,1
41,41,0.5,31,8,1,1,1,1,1,0.75,0.0,0.875,1.0,3,0,0,0,1,7,5,7,13,2
42,42,0.5,27,7,2,2,2,2,2,1.0,1.0,1.0,1.0,13,13,13,7,0,13,13,13,8,0
43,43,0.5,27,7,1,1,2,1,2,1.0,0.25,1.0,1.0,3,0,0,0,1,10,7,8,12,1
44,44,0.5,58,15,1,2,2,2,2,0.375,0.625,0.6875,1.0,7,5,7,14,1,7,1,3,4,4
45,45,0.5,20,5,1,1,2,1,2,0.5,0.375,0.25,1.0,2,0,0,0,1,2,1,2,2,1
46,46,0.5,36,9,0,0,0,0,0,0.6875,0.875,1.0,1.0,4,3,4,18,1,9,6,9,11,1
47,47,0.5,32,8,2,2,2,2,2,1.0,1.0,1.0,1.0,16,16,14,8,0,16,16,16,5,0
48,48,0.5,30,8,1,1,1,1,1,0.875,0.375,1.0,1.0,7,4,5,14,2,11,6,9,12,4
49,49,0.5,38,10,2,2,2,2,2,1.0,0.875,1.0,1.0,19,19,17,5,0,19,19,15,5,0
50,50,0.5,35,9,2,2,2,2,2,0.75,1.0,1.0,1.0,17,17,17,5,0,17,17,15,5,0
51,51,0.5,29,8,1,2,2,2,2,1.0,1.0,1.0,1.0,14,14,14,8,0,14,14,14,5,0
52,52,0.5,18,5,1,0,1,2,1,0.125,0.125,0.125,1.0,2,1,0,1,1,2,0,0,0,1
53,53,0.5,20,5,1,1,1,1,1,0.625,1.0,0.625,1.0,5,4,5,13,1,5,2,2,21,2
54,54,0.5,32,8,2,1,1,1,1,0.625,0.625,0.25,1.0,4,2,4,20,2,4,1,2,7,3
55,55,0.5,29,8,1,2,2,2,1,0.3125,0.5,0.5,1.0,3,0,0,0,1,3,1,1,1,1
56,56,0.5,34,9,0,1,2,1,2,0.6875,0.625,1.0,1.0,4,1,2,6,2,8,6,6,14,1
57,57,0.5,30,8,2,2,2,2,2,0.75,0.375,1.0,1.0,15,15,14,5,0,15,15,15,6,0
58,58,0.5,41,11,0,0,0,0,0,0.3125,0.375,1.0,1.0,5,2,5,20,2,5,3,4,17,2
59,59,0.5,21,6,1,1,1,1,1,0.875,1.0,1.0,1.0,10,10,10,10,0,10,10,10,8,0
60,60,0.5,37,10,2,1,2,2,2,0.0,1.0,1.0,1.0,18,18,18,5,0,9,8,9,8,1
61,61,0.5,37,10,1,2,2,2,2,0.75,1.0,1.0,1.0,18,18,15,6,0,18,18,17,5,0
62,62,0.5,39,10,1,2,2,2,2,0.875,1.0,1.0,1.0,19,19,19,5,0,19,19,18,5,0
63,63,0.5,39,10,2,2,2,2,2,1.0,1.0,1.0,1.0,19,19,16,6,0,19,19,19,5,0
64,64,0.5,14,4,2,2,2,2,2,0.4375,0.625,1.0,1.0,7,7,7,13,0,7,7,6,10,0
65,65,0.5,21,6,1,1,1,1,1,0.0,1.0,0.375,1.0,2,1,2,2,1,2,0,0,0,1
66,66,0.5,35,9,1,1,2,2,2,0.0,1.0,0.625,1.0,8,6,8,12,2,4,0,0,0,1
67,67,0.5,29,8,2,2,2,2,2,1.0,1.0,1.0,1.0,14,14,12,8,0,14,14,14,6,0
68,68,0.5,25,7,2,2,2,2,2,1.0,0.75,1.0,1.0,3,0,0,0,1,9,5,6,15,2
69,69,0.5,18,5,2,2,2,2,2,1.0,1.0,1.0,1.0,9,9,9,10,0,9,9,9,10,0
70,70,0.5,35,9,0,1,0,0,0,0.0,0.125,1.0,1.0,4,1,3,2,2,4,0,0,0,1
71,71,0.5,32,8,2,2,2,2,2,0.875,1.0,1.0,1.0,16,16,13,6,0,16,16,14,6,0
72,72,0.5,33,9,1,1,1,1,1,0.875,1.0,1.0,1.0,4,3,4,16,1,16,12,14,6,2
73,73,0.5,24,6,2,1,1,2,2,0.0,0.0,1.0,1.0,12,12,11,8,0,12,12,12,7,0
