,data_ind,lambd,p,nnz,true_label,ones_label,exbs_label,ones_mu_label,exbs_mu_label,ones_gap,exbs_gap,ones_mu_gap,exbs_mu_gap,inc_init_r_max,inc_curr_r_max,inc_max_dist,inc_num_resets,inc_num_ces,dec_init_r_max,dec_curr_r_max,dec_max_dist,dec_num_resets,dec_num_ces
0,0,1.0,64,16,395,26,26,26,26,1.0,1.0,1.0,1.0,8,3,6,16,4,16,12,13,7,2
1,1,1.0,64,16,838,419,838,419,838,1.0,1.0,1.0,1.0,8,2,2,20,2,8,1,3,3,3
2,2,1.0,64,16,873,873,873,873,873,1.0,1.0,1.0,1.0,8,0,0,0,1,32,32,32,3,0
3,3,1.0,64,16,2,2,2,2,2,1.0,1.0,1.0,1.0,32,32,32,5,0,32,32,32,5,0
4,4,1.0,64,16,534,534,534,534,534,1.0,1.0,1.0,1.0,8,0,0,0,1,32,25,28,8,1
5,5,1.0,64,16,269,269,269,269,269,1.0,1.0,1.0,1.0,8,6,8,12,1,16,10,14,7,3
6,6,1.0,64,16,885,709,709,709,709,1.0,1.0,1.0,1.0,8,3,8,17,2,8,6,6,11,1
7,7,1.0,64,16,590,810,508,810,508,1.0,1.0,1.0,1.0,8,1,0,1,1,8,0,0,0,1
8,8,1.0,64,16,133,133,133,133,133,1.0,1.0,1.0,1.0,32,32,32,6,0,32,32,30,3,0
9,9,1.0,64,16,280,280,280,280,280,1.0,1.0,1.0,1.0,8,1,0,1,1,8,7,8,11,1
10,10,1.0,64,16,211,211,211,211,211,1.0,1.0,1.0,1.0,32,32,21,4,0,32,32,32,4,0
11,11,1.0,64,16,464,902,902,902,902,1.0,1.0,1.0,1.0,8,0,0,0,1,8,2,4,19,3
12,12,1.0,64,16,800,800,800,800,800,1.0,1.0,1.0,1.0,8,0,0,0,1,8,6,7,14,2
13,13,1.0,64,16,66,68,66,68,66,1.0,1.0,1.0,1.0,8,0,0,0,1,8,1,2,4,3
14,14,1.0,64,16,587,587,587,587,587,1.0,1.0,1.0,1.0,8,2,3,18,3,32,32,30,5,0
15,15,1.0,64,16,975,708,708,708,708,1.0,1.0,1.0,1.0,8,5,8,12,3,16,9,13,7,2
16,16,1.0,64,16,889,889,889,889,889,1.0,1.0,1.0,1.0,8,0,0,0,1,8,3,8,16,2
17,17,1.0,64,16,774,774,774,774,774,1.0,1.0,1.0,1.0,8,0,0,0,1,8,6,8,12,1
18,18,1.0,64,16,138,138,138,138,138,1.0,1.0,1.0,1.0,32,32,32,6,0,32,32,32,7,0
19,19,1.0,64,16,956,956,956,956,956,1.0,1.0,1.0,1.0,32,32,29,6,0,32,32,32,11,0
20,20,1.0,64,16,569,569,569,569,569,1.0,1.0,1.0,1.0,32,32,28,5,0,32,32,32,4,0
