,lambd,p,nnz,true_label,ones_label,exbs_label,ones_mu_label,exbs_mu_label,ones_gap,exbs_gap,ones_mu_gap,exbs_mu_gap
0,0.875,64,16,395,35,973,33,973,0.0625,0.3125,0.15625,1.0
1,0.875,64,16,838,838,808,838,808,0.953125,0.484375,1.0,1.0
2,0.875,64,16,873,873,873,873,873,1.0,1.0,1.0,1.0
3,0.875,64,16,2,2,2,2,2,1.0,1.0,1.0,1.0
4,0.875,64,16,534,534,534,534,534,1.0,0.21875,1.0,1.0
5,0.875,64,16,269,269,272,269,272,0.96875,0.4375,1.0,1.0
6,0.875,64,16,885,709,709,709,709,1.0,0.125,1.0,1.0
7,0.875,64,16,590,810,810,810,810,1.0,0.25,1.0,1.0
8,0.875,64,16,133,133,133,133,133,1.0,1.0,1.0,1.0
9,0.875,64,16,280,285,285,285,285,0.609375,0.515625,0.875,1.0
10,0.875,64,16,211,211,211,211,211,1.0,0.34375,1.0,1.0
11,0.875,64,16,464,512,512,512,512,0.75,0.75,1.0,1.0
12,0.875,64,16,800,800,800,800,800,1.0,0.96875,1.0,1.0
13,0.875,64,16,66,307,81,307,81,0.34375,0.859375,0.59375,1.0
14,0.875,64,16,587,587,587,587,587,1.0,0.375,1.0,1.0
15,0.875,64,16,975,708,975,708,975,0.09375,0.03125,0.671875,1.0
16,0.875,64,16,889,579,875,432,875,0.234375,0.53125,0.015625,1.0
17,0.875,64,16,774,774,774,774,774,0.609375,0.578125,1.0,1.0
18,0.875,64,16,138,138,138,138,138,1.0,0.9375,1.0,1.0
19,0.875,64,16,956,956,938,956,938,0.0625,1.0,0.375,1.0
20,0.875,64,16,569,569,569,569,569,1.0,0.75,1.0,1.0
21,0.875,64,16,214,214,214,214,214,1.0,0.671875,1.0,1.0
22,0.875,64,16,97,97,99,97,97,0.9375,0.5,1.0,1.0
23,0.875,64,16,919,919,437,919,920,1.0,0.171875,1.0,1.0
24,0.875,64,16,213,213,211,213,211,1.0,0.65625,1.0,1.0
25,0.875,64,16,233,233,198,233,198,1.0,0.578125,1.0,1.0
26,0.875,64,16,489,489,489,489,489,1.0,0.40625,1.0,1.0
27,0.875,64,16,465,414,790,414,790,0.3125,0.53125,0.28125,1.0
28,0.875,64,16,118,118,126,118,126,1.0,0.5625,1.0,1.0
29,0.875,64,16,675,675,458,675,458,0.5625,0.671875,0.75,1.0
30,0.875,64,16,327,327,952,327,952,1.0,0.75,1.0,1.0
31,0.875,64,16,784,695,910,695,910,0.90625,0.0625,0.875,1.0
32,0.875,64,16,190,190,190,190,190,1.0,0.703125,1.0,1.0
33,0.875,64,16,545,545,479,545,479,0.53125,0.265625,0.9375,1.0
34,0.875,64,16,506,506,506,506,506,1.0,0.96875,1.0,1.0
35,0.875,64,16,480,480,480,480,480,0.96875,0.671875,1.0,1.0
36,0.875,64,16,133,133,16,133,16,0.9375,0.484375,1.0,1.0
37,0.875,64,16,886,886,860,886,886,1.0,0.0,1.0,1.0
38,0.875,64,16,967,877,860,877,860,0.578125,0.59375,0.53125,1.0
39,0.875,64,16,643,837,638,418,638,0.015625,0.90625,0.125,1.0
40,0.875,64,16,562,529,433,529,433,0.90625,0.59375,1.0,1.0
41,0.875,64,16,396,396,396,396,396,0.875,0.75,1.0,1.0
42,0.875,64,16,570,570,535,570,447,1.0,0.125,1.0,1.0
43,0.875,64,16,690,690,29,690,29,1.0,0.09375,1.0,1.0
44,0.875,64,16,902,789,789,789,789,1.0,1.0,0.9375,1.0
45,0.875,64,16,5,34,34,34,34,0.75,0.28125,0.59375,1.0
46,0.875,64,16,914,914,914,914,914,1.0,0.6875,1.0,1.0
47,0.875,64,16,801,801,801,801,801,0.96875,0.921875,1.0,1.0
48,0.875,64,16,149,149,149,149,149,1.0,0.578125,1.0,1.0
49,0.875,64,16,828,828,828,828,828,1.0,0.9375,1.0,1.0
50,0.875,64,16,965,965,964,965,964,1.0,0.71875,1.0,1.0
51,0.875,64,16,902,902,823,902,823,1.0,0.03125,1.0,1.0
52,0.875,64,16,962,962,962,962,962,1.0,1.0,1.0,1.0
53,0.875,64,16,599,410,328,410,328,0.28125,0.203125,0.6875,1.0
54,0.875,64,16,654,609,627,609,627,1.0,0.78125,1.0,1.0
55,0.875,64,16,709,401,788,401,917,1.0,0.0,1.0,1.0
56,0.875,64,16,532,532,532,532,532,1.0,1.0,1.0,1.0
57,0.875,64,16,706,706,706,706,706,1.0,0.8125,1.0,1.0
58,0.875,64,16,975,703,978,975,975,0.203125,0.046875,0.0625,1.0
59,0.875,64,16,933,933,933,933,933,1.0,0.625,1.0,1.0
60,0.875,64,16,171,171,172,171,172,1.0,0.796875,1.0,1.0
61,0.875,64,16,597,597,597,597,597,1.0,0.03125,1.0,1.0
62,0.875,64,16,528,528,528,528,528,1.0,0.75,1.0,1.0
63,0.875,64,16,752,752,819,752,819,0.375,0.515625,0.46875,1.0
64,0.875,64,16,269,269,278,269,278,1.0,0.234375,1.0,1.0
65,0.875,64,16,282,285,290,285,290,0.578125,0.484375,0.5,1.0
66,0.875,64,16,799,877,702,652,702,0.265625,0.453125,0.046875,1.0
67,0.875,64,16,289,289,288,289,288,1.0,0.5,1.0,1.0
68,0.875,64,16,942,942,607,942,607,1.0,0.78125,1.0,1.0
69,0.875,64,16,937,937,937,937,937,1.0,0.8125,1.0,1.0
70,0.875,64,16,924,924,924,924,924,1.0,1.0,1.0,1.0
71,0.875,64,16,705,705,580,705,580,1.0,0.265625,1.0,1.0
72,0.875,64,16,202,202,202,202,202,1.0,0.109375,1.0,1.0
73,0.875,64,16,618,544,469,544,469,0.421875,0.015625,0.4375,1.0
74,0.875,64,16,278,274,171,274,171,0.40625,0.1875,0.5625,1.0
75,0.875,64,16,583,583,557,583,557,1.0,0.875,1.0,1.0
76,0.875,64,16,419,419,911,419,911,0.6875,0.484375,0.75,1.0
77,0.875,64,16,84,84,84,84,84,1.0,1.0,1.0,1.0
78,0.875,64,16,688,688,688,688,688,1.0,0.6875,1.0,1.0
79,0.875,64,16,351,351,351,351,351,1.0,1.0,1.0,1.0
80,0.875,64,16,806,806,806,806,806,1.0,0.5,1.0,1.0
81,0.875,64,16,884,500,500,972,500,0.15625,1.0,0.25,1.0
82,0.875,64,16,145,145,145,145,145,1.0,0.75,1.0,1.0
83,0.875,64,16,335,335,335,335,335,1.0,0.8125,1.0,1.0
84,0.875,64,16,633,633,633,633,633,0.703125,0.796875,1.0,1.0
85,0.875,64,16,360,150,150,150,150,0.875,0.875,1.0,1.0
86,0.875,64,16,715,715,728,715,728,0.84375,0.046875,0.84375,1.0
87,0.875,64,16,78,78,78,78,78,1.0,0.125,1.0,1.0
88,0.875,64,16,935,935,935,935,935,1.0,1.0,1.0,1.0
89,0.875,64,16,171,171,178,171,178,1.0,0.6875,1.0,1.0
90,0.875,64,16,603,603,603,603,603,0.59375,0.609375,0.90625,1.0
91,0.875,64,16,389,389,389,389,389,0.8125,0.5,1.0,1.0
92,0.875,64,16,370,370,370,370,370,1.0,1.0,1.0,1.0
93,0.875,64,16,449,449,984,449,984,1.0,0.625,1.0,1.0
94,0.875,64,16,572,509,509,509,509,0.140625,0.375,0.53125,1.0
95,0.875,64,16,60,60,60,60,60,1.0,0.96875,1.0,1.0
96,0.875,64,16,779,779,779,779,779,1.0,0.9375,1.0,1.0
