,lambd,p,nnz,true_label,ones_label,exbs_label,ones_mu_label,exbs_mu_label,ones_gap,exbs_gap,ones_mu_gap,exbs_mu_gap
0,0.25,64,32,395,30,972,979,979,0.046875,0.0625,0.15625,1.0
1,0.25,64,32,838,971,971,838,838,0.140625,0.078125,1.0,1.0
2,0.25,64,32,873,873,873,873,873,0.96875,0.875,1.0,1.0
3,0.25,64,32,2,2,2,2,2,1.0,1.0,1.0,1.0
4,0.25,64,32,534,534,534,534,534,0.828125,0.46875,1.0,1.0
5,0.25,64,32,269,269,269,269,269,0.375,0.296875,1.0,1.0
6,0.25,64,32,885,709,709,709,709,0.59375,0.4375,0.796875,1.0
7,0.25,64,32,590,810,810,590,590,0.421875,0.375,0.65625,1.0
8,0.25,64,32,133,133,133,133,133,1.0,0.84375,1.0,1.0
9,0.25,64,32,280,280,280,280,280,0.15625,0.25,0.65625,1.0
10,0.25,64,32,211,168,168,211,211,0.21875,0.0625,1.0,1.0
11,0.25,64,32,464,512,512,512,512,0.171875,0.03125,1.0,1.0
12,0.25,64,32,800,800,800,800,800,0.265625,0.671875,1.0,1.0
13,0.25,64,32,66,288,288,66,66,0.171875,0.171875,0.65625,1.0
14,0.25,64,32,587,587,587,587,587,0.109375,0.046875,1.0,1.0
15,0.25,64,32,975,975,975,733,733,0.15625,0.140625,0.28125,1.0
16,0.25,64,32,889,624,450,401,401,0.03125,0.015625,0.484375,1.0
17,0.25,64,32,774,774,774,774,774,0.140625,0.1875,1.0,1.0
18,0.25,64,32,138,138,138,138,138,0.859375,0.53125,1.0,1.0
19,0.25,64,32,956,956,956,956,956,0.8125,0.5625,1.0,1.0
20,0.25,64,32,569,569,569,569,569,0.71875,0.53125,1.0,1.0
21,0.25,64,32,214,214,214,214,214,0.671875,0.1875,1.0,1.0
22,0.25,64,32,97,97,97,97,97,0.484375,0.46875,1.0,1.0
23,0.25,64,32,919,919,919,919,919,0.296875,0.34375,1.0,1.0
24,0.25,64,32,213,213,213,213,213,1.0,0.96875,1.0,1.0
25,0.25,64,32,233,233,233,233,233,0.171875,0.015625,1.0,1.0
26,0.25,64,32,489,489,489,489,489,0.203125,0.203125,1.0,1.0
27,0.25,64,32,465,414,414,414,414,0.203125,0.109375,1.0,1.0
28,0.25,64,32,118,118,118,118,118,0.734375,0.4375,1.0,1.0
29,0.25,64,32,675,412,412,412,412,0.171875,0.046875,0.625,1.0
30,0.25,64,32,327,952,952,327,327,0.03125,0.03125,0.921875,1.0
31,0.25,64,32,784,695,695,695,695,0.5,0.328125,1.0,1.0
32,0.25,64,32,190,89,153,190,190,0.03125,0.109375,1.0,1.0
33,0.25,64,32,545,751,751,545,545,0.03125,0.046875,1.0,1.0
