,lambd,p,nnz,true_label,ones_label,exbs_label,ones_mu_label,exbs_mu_label,ones_gap,exbs_gap,ones_mu_gap,exbs_mu_gap
0,0.625,64,16,395,973,973,33,36,0.140625,0.0625,0.0625,1.0
1,0.625,64,16,838,838,652,838,487,0.84375,0.0,1.0,1.0
2,0.625,64,16,873,873,460,873,873,1.0,0.125,1.0,1.0
3,0.625,64,16,2,2,2,2,2,1.0,1.0,1.0,1.0
4,0.625,64,16,534,534,534,534,534,0.875,0.6875,1.0,1.0
5,0.625,64,16,269,269,277,269,277,0.40625,0.015625,0.453125,1.0
6,0.625,64,16,885,709,679,709,679,1.0,0.203125,1.0,1.0
7,0.625,64,16,590,810,527,810,527,1.0,0.21875,1.0,1.0
8,0.625,64,16,133,133,133,133,133,1.0,0.78125,1.0,1.0
9,0.625,64,16,280,280,287,285,285,0.234375,0.125,0.28125,1.0
10,0.625,64,16,211,211,168,211,211,0.828125,0.625,1.0,1.0
11,0.625,64,16,464,512,512,512,512,0.390625,0.359375,1.0,1.0
12,0.625,64,16,800,800,800,800,800,0.6875,0.203125,0.96875,1.0
13,0.625,64,16,66,288,68,307,45,0.046875,0.140625,0.125,1.0
14,0.625,64,16,587,587,726,587,684,0.8125,0.109375,0.8125,1.0
15,0.625,64,16,975,975,975,975,975,0.78125,0.078125,0.140625,1.0
16,0.625,64,16,889,579,875,579,486,0.34375,0.15625,0.515625,1.0
17,0.625,64,16,774,774,679,774,774,0.1875,0.09375,0.34375,1.0
18,0.625,64,16,138,138,138,138,138,1.0,0.671875,1.0,1.0
19,0.625,64,16,956,956,938,956,938,0.28125,0.765625,0.75,1.0
20,0.625,64,16,569,569,569,569,569,1.0,0.734375,1.0,1.0
21,0.625,64,16,214,214,367,214,367,1.0,0.78125,1.0,1.0
22,0.625,64,16,97,97,99,97,146,0.453125,0.296875,0.46875,1.0
23,0.625,64,16,919,919,480,919,919,0.5,0.09375,0.90625,1.0
24,0.625,64,16,213,213,213,213,213,1.0,1.0,1.0,1.0
25,0.625,64,16,233,233,261,233,198,0.9375,0.453125,0.71875,1.0
26,0.625,64,16,489,489,313,489,313,0.5625,0.5,1.0,1.0
27,0.625,64,16,465,414,588,414,588,0.1875,0.265625,0.515625,1.0
28,0.625,64,16,118,118,118,118,118,1.0,0.375,0.90625,1.0
29,0.625,64,16,675,412,471,412,458,0.109375,0.09375,0.046875,1.0
30,0.625,64,16,327,327,952,327,952,0.53125,0.4375,0.78125,1.0
31,0.625,64,16,784,695,844,695,844,0.859375,0.078125,0.828125,1.0
32,0.625,64,16,190,190,153,190,190,0.640625,0.0,1.0,1.0
