,lambd,p,nnz,true_label,ones_label,exbs_label,ones_mu_label,exbs_mu_label,ones_gap,exbs_gap,ones_mu_gap,exbs_mu_gap
0,0.375,64,8,395,26,395,26,395,0.390625,0.109375,0.96875,1.0
1,0.375,64,8,838,838,838,838,838,0.203125,0.046875,0.5,1.0
2,0.375,64,8,873,873,873,873,873,1.0,0.125,1.0,1.0
3,0.375,64,8,2,2,2,2,2,1.0,0.078125,1.0,1.0
4,0.375,64,8,534,534,534,534,534,1.0,0.171875,1.0,1.0
5,0.375,64,8,269,269,277,269,269,1.0,0.171875,1.0,1.0
6,0.375,64,8,885,709,709,709,893,0.84375,0.59375,0.65625,1.0
7,0.375,64,8,590,590,681,590,681,0.28125,0.1875,0.125,1.0
8,0.375,64,8,133,133,133,133,133,1.0,0.5625,1.0,1.0
9,0.375,64,8,280,280,285,280,285,0.640625,0.015625,0.875,1.0
10,0.375,64,8,211,211,211,211,211,0.796875,0.1875,0.96875,1.0
11,0.375,64,8,464,902,804,902,902,0.40625,0.078125,0.515625,1.0
12,0.375,64,8,800,800,800,800,800,0.140625,0.390625,0.171875,1.0
13,0.375,64,8,66,66,66,66,326,0.125,0.046875,0.109375,1.0
14,0.375,64,8,587,587,823,587,587,0.953125,0.03125,1.0,1.0
15,0.375,64,8,975,708,23,708,23,0.625,0.0625,1.0,1.0
16,0.375,64,8,889,421,880,889,889,0.3125,0.015625,0.9375,1.0
17,0.375,64,8,774,774,659,774,697,0.953125,0.140625,0.9375,1.0
18,0.375,64,8,138,138,138,138,138,1.0,0.265625,1.0,1.0
19,0.375,64,8,956,956,956,956,956,1.0,0.375,1.0,1.0
20,0.375,64,8,569,569,569,569,569,1.0,0.34375,1.0,1.0
21,0.375,64,8,214,214,234,214,214,0.953125,0.171875,0.96875,1.0
22,0.375,64,8,97,97,97,97,97,1.0,0.421875,1.0,1.0
23,0.375,64,8,919,919,919,919,919,0.90625,0.125,0.96875,1.0
24,0.375,64,8,213,213,213,213,213,0.9375,0.5,1.0,1.0
25,0.375,64,8,233,233,198,233,198,0.90625,0.09375,0.8125,1.0
26,0.375,64,8,489,489,489,489,489,0.734375,0.515625,1.0,1.0
27,0.375,64,8,465,465,478,465,414,1.0,0.046875,1.0,1.0
28,0.375,64,8,118,118,783,118,118,0.71875,0.078125,0.875,1.0
29,0.375,64,8,675,412,660,412,660,0.421875,0.15625,0.484375,1.0
30,0.375,64,8,327,327,364,327,364,0.9375,0.046875,0.9375,1.0
31,0.375,64,8,784,695,695,695,600,0.8125,0.046875,0.625,1.0
32,0.375,64,8,190,190,405,190,176,0.6875,0.09375,0.9375,1.0
33,0.375,64,8,545,545,673,545,686,0.40625,0.078125,0.296875,1.0
34,0.375,64,8,506,506,506,506,506,1.0,0.0625,1.0,1.0
35,0.375,64,8,480,480,499,480,480,0.96875,0.046875,1.0,1.0
36,0.375,64,8,133,133,133,133,133,1.0,0.171875,1.0,1.0
37,0.375,64,8,886,886,886,886,886,1.0,0.296875,1.0,1.0
38,0.375,64,8,967,762,762,762,762,0.5,0.078125,0.84375,1.0
39,0.375,64,8,643,643,503,585,503,0.0625,0.6875,0.0625,1.0
40,0.375,64,8,562,562,445,562,562,0.6875,0.046875,1.0,1.0
41,0.375,64,8,396,396,117,396,396,0.875,0.046875,1.0,1.0
42,0.375,64,8,570,570,759,570,491,0.875,0.046875,0.90625,1.0
43,0.375,64,8,690,690,283,690,345,0.59375,0.046875,0.4375,1.0
44,0.375,64,8,902,902,789,902,902,0.421875,0.09375,1.0,1.0
45,0.375,64,8,5,6,150,6,6,0.875,0.0,0.875,1.0
46,0.375,64,8,914,914,517,914,792,1.0,0.171875,1.0,1.0
47,0.375,64,8,801,983,801,983,360,0.25,0.15625,0.109375,1.0
48,0.375,64,8,149,149,149,149,149,0.828125,0.203125,1.0,1.0
49,0.375,64,8,828,828,828,828,828,1.0,0.53125,1.0,1.0
50,0.375,64,8,965,965,631,965,965,1.0,0.015625,1.0,1.0
51,0.375,64,8,902,902,512,902,902,1.0,0.34375,1.0,1.0
52,0.375,64,8,962,962,962,962,962,1.0,0.484375,1.0,1.0
53,0.375,64,8,599,410,410,410,410,1.0,0.03125,1.0,1.0
54,0.375,64,8,654,609,654,654,609,0.3125,0.09375,0.03125,1.0
55,0.375,64,8,709,709,102,709,475,1.0,0.1875,1.0,1.0
56,0.375,64,8,532,532,532,532,559,1.0,0.328125,1.0,1.0
57,0.375,64,8,706,706,442,706,576,1.0,0.03125,1.0,1.0
58,0.375,64,8,975,975,536,975,694,0.90625,0.0,1.0,1.0
59,0.375,64,8,933,933,934,933,934,0.859375,0.078125,0.71875,1.0
60,0.375,64,8,171,171,264,171,240,1.0,0.03125,1.0,1.0
61,0.375,64,8,597,597,961,597,597,1.0,0.03125,1.0,1.0
62,0.375,64,8,528,528,528,528,528,1.0,0.75,1.0,1.0
63,0.375,64,8,752,752,121,752,862,1.0,0.109375,1.0,1.0
64,0.375,64,8,269,269,269,273,269,0.390625,0.328125,0.125,1.0
65,0.375,64,8,282,281,431,281,282,0.484375,0.140625,0.625,1.0
66,0.375,64,8,799,760,760,799,534,0.015625,0.078125,0.390625,1.0
67,0.375,64,8,289,289,289,289,289,1.0,0.96875,1.0,1.0
68,0.375,64,8,942,942,942,942,942,1.0,0.421875,1.0,1.0
69,0.375,64,8,937,937,937,937,937,1.0,0.4375,1.0,1.0
70,0.375,64,8,924,924,924,924,924,1.0,0.03125,1.0,1.0
71,0.375,64,8,705,705,705,705,705,0.75,0.0,1.0,1.0
72,0.375,64,8,202,202,202,202,202,1.0,0.03125,1.0,1.0
73,0.375,64,8,618,544,44,544,587,0.484375,0.09375,0.0625,1.0
74,0.375,64,8,278,278,280,274,272,0.171875,0.0,0.5,1.0
75,0.375,64,8,583,583,760,583,760,0.9375,0.109375,0.859375,1.0
76,0.375,64,8,419,419,549,549,474,0.21875,0.015625,0.9375,1.0
77,0.375,64,8,84,84,84,84,84,1.0,0.359375,1.0,1.0
78,0.375,64,8,688,688,644,688,837,0.96875,0.125,1.0,1.0
79,0.375,64,8,351,351,351,351,351,1.0,0.625,1.0,1.0
