,lambd,p,nnz,true_label,ones_label,exbs_label,ones_mu_label,exbs_mu_label,ones_gap,exbs_gap,ones_mu_gap,exbs_mu_gap
0,0.25,64,8,395,26,30,30,30,0.234375,0.03125,0.0625,1.0
1,0.25,64,8,838,838,650,419,836,0.25,0.0625,0.078125,1.0
2,0.25,64,8,873,873,873,873,873,1.0,0.53125,1.0,1.0
3,0.25,64,8,2,2,2,2,2,1.0,0.875,1.0,1.0
4,0.25,64,8,534,534,534,534,534,1.0,0.28125,1.0,1.0
5,0.25,64,8,269,269,269,269,269,1.0,0.078125,1.0,1.0
6,0.25,64,8,885,709,699,709,709,0.53125,0.125,0.9375,1.0
7,0.25,64,8,590,590,681,590,681,0.296875,0.03125,0.296875,1.0
8,0.25,64,8,133,133,135,133,133,0.9375,0.046875,1.0,1.0
9,0.25,64,8,280,280,715,280,715,0.203125,0.015625,0.5,1.0
10,0.25,64,8,211,211,644,211,211,0.46875,0.0625,0.96875,1.0
11,0.25,64,8,464,902,464,764,764,0.265625,0.0625,0.171875,1.0
12,0.25,64,8,800,865,644,541,688,0.296875,0.328125,0.0625,1.0
13,0.25,64,8,66,66,66,66,66,0.28125,0.265625,0.203125,1.0
14,0.25,64,8,587,587,487,587,587,0.796875,0.046875,1.0,1.0
15,0.25,64,8,975,708,132,708,348,0.3125,0.03125,0.3125,1.0
16,0.25,64,8,889,421,517,421,450,0.125,0.0,0.0625,1.0
17,0.25,64,8,774,774,644,774,638,0.828125,0.109375,0.6875,1.0
18,0.25,64,8,138,138,138,138,138,1.0,0.140625,1.0,1.0
19,0.25,64,8,956,956,616,956,956,1.0,0.078125,1.0,1.0
20,0.25,64,8,569,569,569,569,569,1.0,0.265625,1.0,1.0
21,0.25,64,8,214,214,25,214,214,0.8125,0.03125,1.0,1.0
22,0.25,64,8,97,97,97,97,97,0.875,0.03125,1.0,1.0
23,0.25,64,8,919,919,644,919,919,0.578125,0.03125,1.0,1.0
24,0.25,64,8,213,213,213,213,213,0.96875,0.265625,1.0,1.0
25,0.25,64,8,233,233,170,233,233,0.890625,0.078125,1.0,1.0
26,0.25,64,8,489,489,91,489,365,0.46875,0.046875,0.53125,1.0
27,0.25,64,8,465,465,797,465,597,1.0,0.21875,0.9375,1.0
28,0.25,64,8,118,118,125,118,118,0.65625,0.078125,0.96875,1.0
29,0.25,64,8,675,412,654,412,412,0.265625,0.046875,0.6875,1.0
30,0.25,64,8,327,327,644,327,329,0.78125,0.0625,0.875,1.0
31,0.25,64,8,784,695,695,695,783,0.625,0.078125,0.546875,1.0
32,0.25,64,8,190,190,258,190,258,0.3125,0.234375,0.65625,1.0
33,0.25,64,8,545,545,891,545,592,0.0625,0.0625,0.15625,1.0
34,0.25,64,8,506,506,409,506,506,1.0,0.15625,1.0,1.0
35,0.25,64,8,480,480,747,480,480,0.8125,0.03125,1.0,1.0
36,0.25,64,8,133,133,16,133,133,0.921875,0.015625,1.0,1.0
37,0.25,64,8,886,886,886,886,886,1.0,0.359375,1.0,1.0
38,0.25,64,8,967,762,982,762,762,0.34375,0.09375,0.75,1.0
39,0.25,64,8,643,558,130,585,503,0.078125,0.0,0.03125,1.0
40,0.25,64,8,562,562,870,971,642,0.359375,0.03125,0.0625,1.0
41,0.25,64,8,396,396,956,396,396,0.75,0.125,1.0,1.0
42,0.25,64,8,570,570,545,570,545,0.5625,0.015625,0.78125,1.0
43,0.25,64,8,690,690,644,690,43,0.234375,0.015625,0.59375,1.0
44,0.25,64,8,902,902,584,902,584,0.1875,0.125,0.71875,1.0
45,0.25,64,8,5,6,980,6,977,0.5625,0.171875,0.75,1.0
46,0.25,64,8,914,914,644,914,914,0.953125,0.109375,1.0,1.0
47,0.25,64,8,801,983,801,983,983,0.09375,0.09375,0.71875,1.0
48,0.25,64,8,149,149,801,149,149,0.796875,0.34375,0.96875,1.0
49,0.25,64,8,828,828,828,828,828,1.0,0.328125,1.0,1.0
50,0.25,64,8,965,965,925,965,965,0.953125,0.0,1.0,1.0
51,0.25,64,8,902,902,512,902,543,1.0,0.109375,1.0,1.0
52,0.25,64,8,962,962,962,962,962,0.890625,0.078125,1.0,1.0
53,0.25,64,8,599,410,30,410,410,0.953125,0.046875,1.0,1.0
54,0.25,64,8,654,609,609,609,609,0.453125,0.265625,0.90625,1.0
55,0.25,64,8,709,709,644,709,477,1.0,0.015625,0.921875,1.0
56,0.25,64,8,532,532,579,532,532,1.0,0.109375,1.0,1.0
57,0.25,64,8,706,706,576,706,706,0.734375,0.171875,1.0,1.0
58,0.25,64,8,975,975,693,975,536,0.625,0.078125,0.375,1.0
59,0.25,64,8,933,933,934,933,934,0.40625,0.015625,0.125,1.0
60,0.25,64,8,171,171,889,171,171,0.59375,0.046875,0.9375,1.0
61,0.25,64,8,597,597,314,597,774,0.9375,0.078125,1.0,1.0
62,0.25,64,8,528,528,949,528,621,0.84375,0.015625,1.0,1.0
63,0.25,64,8,752,752,752,752,486,0.9375,0.140625,1.0,1.0
64,0.25,64,8,269,269,77,269,269,0.78125,0.0,0.625,1.0
