,lambd,p,nnz,true_label,ones_label,exbs_label,ones_mu_label,exbs_mu_label,ones_gap,exbs_gap,ones_mu_gap,exbs_mu_gap
0,0.25,64,8,395,26,973,26,26,0.234375,0.171875,1.0,1.0
1,0.25,64,8,838,838,837,838,838,0.25,0.0,0.703125,1.0
2,0.25,64,8,873,873,873,873,873,1.0,0.078125,1.0,1.0
3,0.25,64,8,2,2,2,2,2,1.0,0.5625,1.0,1.0
4,0.25,64,8,534,534,655,534,739,1.0,0.046875,1.0,1.0
5,0.25,64,8,269,269,117,269,269,1.0,0.03125,1.0,1.0
6,0.25,64,8,885,709,934,709,709,0.53125,0.03125,0.9375,1.0
7,0.25,64,8,590,590,681,590,681,0.296875,0.03125,0.1875,1.0
8,0.25,64,8,133,133,133,133,133,0.9375,0.265625,1.0,1.0
9,0.25,64,8,280,280,270,280,280,0.203125,0.0,0.96875,1.0
10,0.25,64,8,211,211,211,211,211,0.46875,0.421875,1.0,1.0
11,0.25,64,8,464,902,618,902,803,0.265625,0.015625,0.578125,1.0
12,0.25,64,8,800,865,800,800,800,0.296875,0.1875,0.734375,1.0
13,0.25,64,8,66,66,68,68,68,0.28125,0.0625,0.046875,1.0
14,0.25,64,8,587,587,513,587,587,0.796875,0.0625,1.0,1.0
15,0.25,64,8,975,708,225,708,235,0.3125,0.046875,0.921875,1.0
16,0.25,64,8,889,421,982,889,889,0.125,0.0625,0.96875,1.0
17,0.25,64,8,774,774,774,774,774,0.828125,0.046875,1.0,1.0
18,0.25,64,8,138,138,644,138,138,1.0,0.03125,1.0,1.0
19,0.25,64,8,956,956,954,956,956,1.0,0.1875,1.0,1.0
20,0.25,64,8,569,569,399,569,569,1.0,0.0,1.0,1.0
21,0.25,64,8,214,214,644,214,106,0.8125,0.078125,0.8125,1.0
22,0.25,64,8,97,97,97,97,97,0.875,0.21875,1.0,1.0
23,0.25,64,8,919,919,437,919,919,0.578125,0.0,0.71875,1.0
24,0.25,64,8,213,213,213,213,213,0.96875,0.109375,0.96875,1.0
25,0.25,64,8,233,233,261,233,233,0.890625,0.15625,1.0,1.0
26,0.25,64,8,489,489,489,489,489,0.46875,0.0625,0.71875,1.0
27,0.25,64,8,465,465,644,465,764,1.0,0.171875,1.0,1.0
28,0.25,64,8,118,118,118,118,118,0.65625,0.375,1.0,1.0
29,0.25,64,8,675,412,571,412,757,0.265625,0.015625,0.0,1.0
30,0.25,64,8,327,327,11,327,911,0.78125,0.1875,1.0,1.0
31,0.25,64,8,784,695,695,695,695,0.625,0.296875,1.0,1.0
32,0.25,64,8,190,190,807,190,190,0.3125,0.015625,1.0,1.0
33,0.25,64,8,545,545,567,545,826,0.0625,0.015625,0.234375,1.0
34,0.25,64,8,506,506,787,506,746,1.0,0.0625,1.0,1.0
35,0.25,64,8,480,480,818,480,627,0.8125,0.03125,1.0,1.0
36,0.25,64,8,133,133,133,133,133,0.921875,0.46875,1.0,1.0
37,0.25,64,8,886,886,886,886,886,1.0,0.375,1.0,1.0
38,0.25,64,8,967,762,515,762,762,0.34375,0.0,0.84375,1.0
39,0.25,64,8,643,558,503,643,505,0.078125,0.109375,0.0,1.0
40,0.25,64,8,562,562,525,562,562,0.359375,0.0625,0.9375,1.0
41,0.25,64,8,396,396,64,396,396,0.75,0.1875,0.8125,1.0
42,0.25,64,8,570,570,570,570,570,0.5625,0.0625,1.0,1.0
43,0.25,64,8,690,690,38,690,690,0.234375,0.03125,0.96875,1.0
44,0.25,64,8,902,902,584,902,902,0.1875,0.046875,1.0,1.0
45,0.25,64,8,5,6,977,6,6,0.5625,0.03125,0.90625,1.0
46,0.25,64,8,914,914,617,914,914,0.953125,0.0,1.0,1.0
47,0.25,64,8,801,983,801,983,801,0.09375,0.265625,0.0625,1.0
48,0.25,64,8,149,149,479,149,479,0.796875,0.015625,0.6875,1.0
49,0.25,64,8,828,828,828,828,828,1.0,0.21875,1.0,1.0
50,0.25,64,8,965,965,965,965,965,0.953125,0.203125,1.0,1.0
51,0.25,64,8,902,902,512,902,902,1.0,0.109375,1.0,1.0
52,0.25,64,8,962,962,962,962,962,0.890625,0.359375,1.0,1.0
53,0.25,64,8,599,410,953,410,953,0.953125,0.03125,1.0,1.0
54,0.25,64,8,654,609,511,654,436,0.453125,0.0625,0.6875,1.0
55,0.25,64,8,709,709,709,709,709,1.0,0.109375,1.0,1.0
56,0.25,64,8,532,532,532,532,532,1.0,0.234375,1.0,1.0
57,0.25,64,8,706,706,707,706,706,0.734375,0.015625,0.734375,1.0
58,0.25,64,8,975,975,980,975,975,0.625,0.109375,0.96875,1.0
59,0.25,64,8,933,933,644,933,933,0.40625,0.046875,1.0,1.0
60,0.25,64,8,171,171,61,171,171,0.59375,0.015625,1.0,1.0
61,0.25,64,8,597,597,153,597,597,0.9375,0.09375,1.0,1.0
62,0.25,64,8,528,528,621,528,528,0.84375,0.25,1.0,1.0
63,0.25,64,8,752,752,486,752,752,0.9375,0.078125,1.0,1.0
64,0.25,64,8,269,269,285,269,269,0.78125,0.015625,0.53125,1.0
65,0.25,64,8,282,285,281,281,281,0.015625,0.03125,1.0,1.0
66,0.25,64,8,799,799,644,799,897,0.03125,0.09375,0.046875,1.0
67,0.25,64,8,289,289,289,289,289,1.0,0.265625,1.0,1.0
68,0.25,64,8,942,942,942,942,942,0.953125,0.25,1.0,1.0
69,0.25,64,8,937,937,936,937,937,1.0,0.0625,1.0,1.0
70,0.25,64,8,924,924,924,924,924,1.0,0.421875,1.0,1.0
