,lambd,p,nnz,true_label,ones_label,exbs_label,ones_mu_label,exbs_mu_label,ones_gap,exbs_gap,ones_mu_gap,exbs_mu_gap
0,0.625,64,8,395,26,357,26,357,0.9375,0.140625,1.0,1.0
1,0.625,64,8,838,419,838,419,838,0.21875,0.5,0.28125,1.0
2,0.625,64,8,873,873,972,873,972,1.0,0.484375,1.0,1.0
3,0.625,64,8,2,2,2,2,2,1.0,1.0,1.0,1.0
4,0.625,64,8,534,534,534,534,534,1.0,0.75,1.0,1.0
5,0.625,64,8,269,269,439,269,285,1.0,0.078125,1.0,1.0
6,0.625,64,8,885,709,709,709,709,0.90625,0.390625,0.9375,1.0
7,0.625,64,8,590,508,681,508,681,0.34375,0.5625,0.359375,1.0
8,0.625,64,8,133,133,133,133,133,1.0,1.0,1.0,1.0
9,0.625,64,8,280,280,359,280,577,1.0,0.109375,1.0,1.0
10,0.625,64,8,211,211,314,211,168,1.0,0.1875,1.0,1.0
11,0.625,64,8,464,902,395,902,26,0.59375,0.0625,0.65625,1.0
12,0.625,64,8,800,800,800,800,800,0.671875,0.46875,0.9375,1.0
13,0.625,64,8,66,66,68,39,68,0.15625,0.125,0.0,1.0
14,0.625,64,8,587,587,330,587,587,1.0,0.0625,1.0,1.0
15,0.625,64,8,975,708,150,708,978,1.0,0.0625,0.96875,1.0
16,0.625,64,8,889,421,843,889,432,0.09375,0.140625,0.40625,1.0
17,0.625,64,8,774,774,435,774,435,0.96875,0.296875,1.0,1.0
18,0.625,64,8,138,138,138,138,138,1.0,1.0,1.0,1.0
19,0.625,64,8,956,956,956,956,956,1.0,1.0,1.0,1.0
20,0.625,64,8,569,569,569,569,569,1.0,0.296875,1.0,1.0
21,0.625,64,8,214,214,96,214,369,1.0,0.0,1.0,1.0
22,0.625,64,8,97,97,97,97,97,1.0,0.71875,1.0,1.0
23,0.625,64,8,919,919,405,919,405,1.0,0.015625,1.0,1.0
24,0.625,64,8,213,213,168,213,168,1.0,0.109375,1.0,1.0
25,0.625,64,8,233,233,198,233,233,1.0,0.390625,1.0,1.0
26,0.625,64,8,489,489,695,489,695,1.0,0.5625,1.0,1.0
27,0.625,64,8,465,465,465,465,465,1.0,0.5,1.0,1.0
28,0.625,64,8,118,118,118,118,118,1.0,1.0,1.0,1.0
29,0.625,64,8,675,412,609,412,565,0.53125,0.109375,0.96875,1.0
30,0.625,64,8,327,327,125,327,125,1.0,0.046875,1.0,1.0
31,0.625,64,8,784,695,600,695,600,0.625,0.359375,0.625,1.0
32,0.625,64,8,190,190,153,190,153,1.0,0.421875,1.0,1.0
33,0.625,64,8,545,545,527,545,527,0.5625,0.328125,0.5625,1.0
34,0.625,64,8,506,506,506,506,506,1.0,0.578125,1.0,1.0
35,0.625,64,8,480,480,480,480,480,1.0,0.265625,1.0,1.0
36,0.625,64,8,133,133,133,133,133,1.0,0.921875,1.0,1.0
37,0.625,64,8,886,886,886,886,886,1.0,1.0,1.0,1.0
38,0.625,64,8,967,762,762,762,762,0.875,0.6875,1.0,1.0
39,0.625,64,8,643,643,503,643,503,0.21875,0.6875,0.203125,1.0
40,0.625,64,8,562,562,562,562,562,1.0,0.515625,1.0,1.0
41,0.625,64,8,396,396,986,396,46,1.0,0.046875,1.0,1.0
42,0.625,64,8,570,570,600,570,600,1.0,0.25,1.0,1.0
43,0.625,64,8,690,690,371,690,225,0.625,0.15625,0.6875,1.0
44,0.625,64,8,902,902,902,902,902,0.90625,0.421875,1.0,1.0
45,0.625,64,8,5,6,344,6,5,1.0,0.046875,1.0,1.0
