,lambd,p,true_label,ones_label,logit_gap,cert_r
0,0.4375,29,1,1,0.65625,0.75
1,0.4375,23,2,1,0.4375,0.5
2,0.4375,37,2,2,0.59375,0.6785714285714286
3,0.4375,22,1,1,0.125,0.14285714285714285
4,0.4375,33,2,2,1.0,1.1428571428571428
5,0.4375,21,0,1,0.34375,0.39285714285714285
6,0.4375,38,1,1,0.46875,0.5357142857142857
7,0.4375,27,2,2,0.8125,0.9285714285714286
8,0.4375,23,2,2,0.78125,0.8928571428571429
9,0.4375,22,2,2,0.15625,0.17857142857142858
10,0.4375,35,2,2,0.75,0.8571428571428571
11,0.4375,21,0,1,0.828125,0.9464285714285714
12,0.4375,31,1,1,1.0,1.1428571428571428
13,0.4375,17,2,2,0.75,0.8571428571428571
14,0.4375,29,1,1,1.0,1.1428571428571428
15,0.4375,28,1,1,0.25,0.2857142857142857
16,0.4375,33,1,1,1.0,1.1428571428571428
17,0.4375,38,1,1,0.03125,0.03571428571428571
18,0.4375,23,1,1,1.0,1.1428571428571428
19,0.4375,31,1,1,0.5625,0.6428571428571429
20,0.4375,19,1,1,0.015625,0.017857142857142856
21,0.4375,40,2,2,0.65625,0.75
22,0.4375,25,2,1,0.15625,0.17857142857142858
23,0.4375,43,2,1,0.0625,0.07142857142857142
24,0.4375,24,1,1,0.484375,0.5535714285714286
25,0.4375,22,2,2,0.6875,0.7857142857142857
26,0.4375,28,2,2,0.40625,0.4642857142857143
27,0.4375,20,2,2,0.4375,0.5
28,0.4375,28,2,2,0.375,0.42857142857142855
29,0.4375,38,2,2,1.0,1.1428571428571428
30,0.4375,16,2,2,0.46875,0.5357142857142857
31,0.4375,25,1,1,0.78125,0.8928571428571429
32,0.4375,24,1,1,1.0,1.1428571428571428
33,0.4375,16,2,2,0.1875,0.21428571428571427
34,0.4375,26,2,2,0.78125,0.8928571428571429
35,0.4375,29,1,1,0.6875,0.7857142857142857
36,0.4375,42,2,1,0.34375,0.39285714285714285
37,0.4375,30,1,1,0.8125,0.9285714285714286
38,0.4375,36,0,1,0.125,0.14285714285714285
39,0.4375,36,1,1,0.96875,1.1071428571428572
40,0.4375,36,1,1,0.125,0.14285714285714285
41,0.4375,31,1,1,0.96875,1.1071428571428572
42,0.4375,27,2,2,1.0,1.1428571428571428
43,0.4375,27,1,1,1.0,1.1428571428571428
44,0.4375,58,1,1,0.21875,0.25
45,0.4375,20,1,1,0.875,1.0
46,0.4375,36,0,0,0.5625,0.6428571428571429
47,0.4375,32,2,2,1.0,1.1428571428571428
48,0.4375,30,1,1,0.75,0.8571428571428571
