,lambd,p,true_label,ones_label,logit_gap,cert_r
0,0.0625,64,395,30,0.0625,0.5
1,0.0625,64,838,836,0.140625,1.125
2,0.0625,64,873,873,0.609375,4.875
3,0.0625,64,2,2,0.8125,6.5
4,0.0625,64,534,534,0.5625,4.5
5,0.0625,64,269,269,0.53125,4.25
6,0.0625,64,885,709,0.390625,3.125
7,0.0625,64,590,681,0.0625,0.5
8,0.0625,64,133,133,0.5,4.0
9,0.0625,64,280,715,0.234375,1.875
10,0.0625,64,211,211,0.015625,0.125
11,0.0625,64,464,777,0.21875,1.75
12,0.0625,64,800,865,0.046875,0.375
13,0.0625,64,66,66,0.140625,1.125
14,0.0625,64,587,587,0.15625,1.25
15,0.0625,64,975,144,0.046875,0.375
16,0.0625,64,889,421,0.015625,0.125
17,0.0625,64,774,578,0.0,0.0
18,0.0625,64,138,138,0.703125,5.625
19,0.0625,64,956,956,0.546875,4.375
20,0.0625,64,569,569,0.515625,4.125
21,0.0625,64,214,214,0.25,2.0
22,0.0625,64,97,97,0.25,2.0
23,0.0625,64,919,919,0.0625,0.5
24,0.0625,64,213,213,0.59375,4.75
25,0.0625,64,233,233,0.140625,1.125
26,0.0625,64,489,489,0.078125,0.625
27,0.0625,64,465,465,0.203125,1.625
28,0.0625,64,118,118,0.390625,3.125
29,0.0625,64,675,458,0.046875,0.375
30,0.0625,64,327,327,0.15625,1.25
31,0.0625,64,784,695,0.796875,6.375
32,0.0625,64,190,153,0.03125,0.25
33,0.0625,64,545,477,0.015625,0.125
34,0.0625,64,506,506,0.40625,3.25
35,0.0625,64,480,707,0.015625,0.125
36,0.0625,64,133,133,0.0625,0.5
37,0.0625,64,886,886,0.875,7.0
38,0.0625,64,967,762,0.1875,1.5
39,0.0625,64,643,419,0.0,0.0
40,0.0625,64,562,870,0.078125,0.625
41,0.0625,64,396,396,0.1875,1.5
42,0.0625,64,570,570,0.171875,1.375
43,0.0625,64,690,29,0.09375,0.75
44,0.0625,64,902,418,0.171875,1.375
45,0.0625,64,5,913,0.0,0.0
46,0.0625,64,914,914,0.515625,4.125
47,0.0625,64,801,801,0.09375,0.75
48,0.0625,64,149,149,0.296875,2.375
49,0.0625,64,828,828,0.78125,6.25
50,0.0625,64,965,965,0.5,4.0
51,0.0625,64,902,902,0.109375,0.875
52,0.0625,64,962,962,0.640625,5.125
53,0.0625,64,599,410,0.125,1.0
54,0.0625,64,654,609,0.421875,3.375
55,0.0625,64,709,709,0.09375,0.75
56,0.0625,64,532,532,0.453125,3.625
57,0.0625,64,706,706,0.25,2.0
58,0.0625,64,975,975,0.015625,0.125
59,0.0625,64,933,934,0.015625,0.125
60,0.0625,64,171,171,0.0,0.0
61,0.0625,64,597,597,0.25,2.0
62,0.0625,64,528,621,0.015625,0.125
63,0.0625,64,752,752,0.328125,2.625
64,0.0625,64,269,269,0.484375,3.875
65,0.0625,64,282,285,0.03125,0.25
66,0.0625,64,799,877,0.015625,0.125
67,0.0625,64,289,289,0.765625,6.125
68,0.0625,64,942,942,0.484375,3.875
69,0.0625,64,937,937,0.359375,2.875
70,0.0625,64,924,924,1.0,8.0
71,0.0625,64,705,705,0.25,2.0
72,0.0625,64,202,202,0.59375,4.75
73,0.0625,64,618,544,0.25,2.0
74,0.0625,64,278,280,0.015625,0.125
75,0.0625,64,583,583,0.078125,0.625
76,0.0625,64,419,419,0.140625,1.125
77,0.0625,64,84,84,0.78125,6.25
78,0.0625,64,688,688,0.328125,2.625
79,0.0625,64,351,351,0.28125,2.25
80,0.0625,64,806,658,0.046875,0.375
81,0.0625,64,884,500,0.359375,2.875
82,0.0625,64,145,145,0.671875,5.375
83,0.0625,64,335,335,0.203125,1.625
84,0.0625,64,633,526,0.0,0.0
85,0.0625,64,360,360,0.3125,2.5
86,0.0625,64,715,715,0.703125,5.625
87,0.0625,64,78,78,0.6875,5.5
88,0.0625,64,935,961,0.046875,0.375
89,0.0625,64,171,171,0.0625,0.5
90,0.0625,64,603,603,0.21875,1.75
91,0.0625,64,389,389,0.71875,5.75
92,0.0625,64,370,370,0.09375,0.75
93,0.0625,64,449,449,0.265625,2.125
94,0.0625,64,572,509,0.171875,1.375
95,0.0625,64,60,60,0.078125,0.625
96,0.0625,64,779,779,0.0625,0.5
97,0.0625,64,347,347,0.671875,5.375
98,0.0625,64,370,370,0.09375,0.75
99,0.0625,64,690,690,0.28125,2.25
100,0.0625,64,910,938,0.171875,1.375
101,0.0625,64,365,365,0.609375,4.875
102,0.0625,64,162,263,0.125,1.0
103,0.0625,64,837,970,0.328125,2.625
104,0.0625,64,603,603,0.078125,0.625
105,0.0625,64,286,286,0.28125,2.25
106,0.0625,64,264,264,0.1875,1.5
107,0.0625,64,747,872,0.0,0.0
108,0.0625,64,649,649,0.640625,5.125
109,0.0625,64,486,486,0.375,3.0
110,0.0625,64,512,512,0.265625,2.125
111,0.0625,64,828,828,0.046875,0.375
112,0.0625,64,955,955,0.421875,3.375
113,0.0625,64,680,431,0.0,0.0
114,0.0625,64,893,892,0.078125,0.625
115,0.0625,64,385,386,0.0625,0.5
116,0.0625,64,965,965,0.09375,0.75
117,0.0625,64,609,436,0.015625,0.125
118,0.0625,64,131,131,0.609375,4.875
119,0.0625,64,717,436,0.03125,0.25
120,0.0625,64,819,470,0.0,0.0
121,0.0625,64,870,444,0.0,0.0
122,0.0625,64,237,909,0.03125,0.25
123,0.0625,64,562,682,0.15625,1.25
124,0.0625,64,48,48,0.40625,3.25
125,0.0625,64,979,472,0.3125,2.5
126,0.0625,64,834,678,0.015625,0.125
