,lambd,p,nnz,k
0,0.125,64,,64.0
1,0.125,64,,64.0
2,0.125,64,,24.0
3,0.125,64,,18.0
4,0.125,64,,57.0
5,0.125,64,,64.0
6,0.125,64,,64.0
7,0.125,64,,64.0
8,0.125,64,,64.0
9,0.125,64,,64.0
10,0.125,64,,13.0
11,0.125,64,,64.0
12,0.125,64,,20.0
13,0.125,64,,64.0
14,0.125,64,,64.0
15,0.125,64,,33.0
16,0.125,64,,64.0
17,0.125,64,,64.0
18,0.125,64,,64.0
19,0.125,64,,64.0
20,0.125,64,,61.0
21,0.125,64,,64.0
22,0.125,64,,64.0
23,0.125,64,,52.0
24,0.125,64,,29.0
25,0.125,64,,46.0
26,0.125,64,,64.0
27,0.125,64,,64.0
28,0.125,64,,64.0
29,0.125,64,,64.0
30,0.125,64,,64.0
31,0.125,64,,64.0
32,0.125,64,,64.0
33,0.125,64,,64.0
34,0.125,64,,60.0
35,0.125,64,,64.0
36,0.125,64,,48.0
37,0.125,64,,39.0
38,0.125,64,,64.0
39,0.125,64,,64.0
40,0.125,64,,64.0
41,0.125,64,,64.0
42,0.125,64,,64.0
43,0.125,64,,64.0
44,0.125,64,,64.0
45,0.125,64,,64.0
46,0.125,64,,43.0
47,0.125,64,,27.0
48,0.125,64,,43.0
49,0.125,64,,64.0
50,0.125,64,,52.0
51,0.125,64,,64.0
52,0.125,64,,50.0
53,0.125,64,,64.0
54,0.125,64,,64.0
55,0.125,64,,42.0
56,0.125,64,,21.0
57,0.125,64,,64.0
58,0.125,64,,64.0
59,0.125,64,,64.0
60,0.125,64,,45.0
61,0.125,64,,38.0
62,0.125,64,,64.0
63,0.125,64,,64.0
64,0.125,64,,41.0
65,0.125,64,,64.0
66,0.125,64,,64.0
67,0.125,64,,29.0
68,0.125,64,,14.0
69,0.125,64,,64.0
70,0.125,64,,0.0
71,0.125,64,,64.0
72,0.125,64,,55.0
73,0.125,64,,64.0
74,0.125,64,,64.0
75,0.125,64,,59.0
76,0.125,64,,64.0
77,0.125,64,,8.0
78,0.125,64,,53.0
79,0.125,64,,36.0
80,0.125,64,,64.0
81,0.125,64,,64.0
82,0.125,64,,48.0
83,0.125,64,,64.0
84,0.125,64,,64.0
85,0.125,64,,52.0
86,0.125,64,,64.0
87,0.125,64,,56.0
88,0.125,64,,61.0
89,0.125,64,,64.0
90,0.125,64,,64.0
91,0.125,64,,57.0
92,0.125,64,,40.0
93,0.125,64,,27.0
94,0.125,64,,31.0
95,0.125,64,,55.0
96,0.125,64,,64.0
97,0.125,64,,28.0
98,0.125,64,,51.0
99,0.125,64,,64.0
100,0.125,64,,64.0
101,0.125,64,,22.0
102,0.125,64,,64.0
103,0.125,64,,64.0
104,0.125,64,,64.0
105,0.125,64,,64.0
106,0.125,64,,64.0
107,0.125,64,,64.0
108,0.125,64,,19.0
109,0.125,64,,25.0
110,0.125,64,,64.0
111,0.125,64,,64.0
112,0.125,64,,64.0
113,0.125,64,,64.0
114,0.125,64,,45.0
115,0.125,64,,50.0
116,0.125,64,,64.0
117,0.125,64,,64.0
118,0.125,64,,23.0
119,0.125,64,,63.0
120,0.125,64,,64.0
121,0.125,64,,64.0
122,0.125,64,,64.0
123,0.125,64,,10.0
124,0.125,64,,64.0
125,0.125,64,,64.0
126,0.125,64,,64.0
127,0.125,64,,64.0
128,0.125,64,,28.0
129,0.125,64,,64.0
130,0.125,64,,64.0
131,0.125,64,,64.0
132,0.125,64,,53.0
133,0.125,64,,64.0
134,0.125,64,,64.0
135,0.125,64,,64.0
136,0.125,64,,64.0
137,0.125,64,,20.0
138,0.125,64,,64.0
139,0.125,64,,15.0
140,0.125,64,,64.0
141,0.125,64,,64.0
142,0.125,64,,51.0
143,0.125,64,,30.0
144,0.125,64,,64.0
145,0.125,64,,64.0
146,0.125,64,,64.0
147,0.125,64,,21.0
148,0.125,64,,64.0
149,0.125,64,,47.0
150,0.125,64,,64.0
151,0.125,64,,16.0
152,0.125,64,,64.0
153,0.125,64,,19.0
154,0.125,64,,50.0
155,0.125,64,,9.0
156,0.125,64,,20.0
157,0.125,64,,49.0
158,0.125,64,,25.0
159,0.125,64,,64.0
160,0.125,64,,64.0
161,0.125,64,,17.0
162,0.125,64,,64.0
163,0.125,64,,64.0
164,0.125,64,,36.0
165,0.125,64,,64.0
166,0.125,64,,64.0
167,0.125,64,,23.0
168,0.125,64,,64.0
169,0.125,64,,20.0
170,0.125,64,,64.0
171,0.125,64,,33.0
172,0.125,64,,64.0
173,0.125,64,,64.0
174,0.125,64,,64.0
175,0.125,64,,64.0
176,0.125,64,,64.0
177,0.125,64,,64.0
178,0.125,64,,24.0
179,0.125,64,,64.0
180,0.125,64,,64.0
181,0.125,64,,64.0
182,0.125,64,,11.0
183,0.125,64,,27.0
184,0.125,64,,64.0
185,0.125,64,,64.0
186,0.125,64,,61.0
187,0.125,64,,64.0
188,0.125,64,,64.0
189,0.125,64,,64.0
190,0.125,64,,64.0
191,0.125,64,,64.0
192,0.125,64,,64.0
193,0.125,64,,13.0
194,0.125,64,,64.0
195,0.125,64,,64.0
196,0.125,64,,32.0
197,0.125,64,,64.0
198,0.125,64,,32.0
199,0.125,64,,27.0
200,0.125,64,,64.0
201,0.125,64,,64.0
202,0.125,64,,10.0
203,0.125,64,,30.0
204,0.125,64,,64.0
205,0.125,64,,64.0
206,0.125,64,,64.0
207,0.125,64,,64.0
208,0.125,64,,64.0
209,0.125,64,,64.0
210,0.125,64,,31.0
211,0.125,64,,16.0
212,0.125,64,,64.0
213,0.125,64,,64.0
214,0.125,64,,64.0
215,0.125,64,,64.0
216,0.125,64,,64.0
217,0.125,64,,28.0
218,0.125,64,,64.0
219,0.125,64,,64.0
220,0.125,64,,64.0
221,0.125,64,,64.0
222,0.125,64,,64.0
223,0.125,64,,23.0
224,0.125,64,,22.0
225,0.125,64,,64.0
226,0.125,64,,64.0
227,0.125,64,,39.0
228,0.125,64,,64.0
229,0.125,64,,45.0
230,0.125,64,,64.0
231,0.125,64,,64.0
232,0.125,64,,39.0
233,0.125,64,,64.0
234,0.125,64,,64.0
235,0.125,64,,64.0
236,0.125,64,,64.0
237,0.125,64,,16.0
238,0.125,64,,29.0
239,0.125,64,,64.0
240,0.125,64,,30.0
