,lambd,p,nnz,k
0,0.375,64,,64.0
1,0.375,64,,64.0
2,0.375,64,,26.0
3,0.375,64,,12.0
4,0.375,64,,44.0
5,0.375,64,,64.0
6,0.375,64,,62.0
7,0.375,64,,64.0
8,0.375,64,,10.0
9,0.375,64,,64.0
10,0.375,64,,64.0
11,0.375,64,,64.0
12,0.375,64,,39.0
13,0.375,64,,64.0
14,0.375,64,,64.0
15,0.375,64,,64.0
16,0.375,64,,64.0
17,0.375,64,,64.0
18,0.375,64,,34.0
19,0.375,64,,30.0
20,0.375,64,,40.0
21,0.375,64,,44.0
22,0.375,64,,64.0
23,0.375,64,,64.0
24,0.375,64,,9.0
25,0.375,64,,64.0
26,0.375,64,,64.0
27,0.375,64,,64.0
28,0.375,64,,49.0
29,0.375,64,,64.0
30,0.375,64,,64.0
31,0.375,64,,60.0
32,0.375,64,,64.0
33,0.375,64,,64.0
34,0.375,64,,47.0
35,0.375,64,,64.0
36,0.375,64,,64.0
37,0.375,64,,14.0
38,0.375,64,,64.0
39,0.375,64,,64.0
40,0.375,64,,64.0
41,0.375,64,,32.0
42,0.375,64,,56.0
43,0.375,64,,57.0
44,0.375,64,,64.0
45,0.375,64,,64.0
46,0.375,64,,30.0
47,0.375,64,,64.0
48,0.375,64,,33.0
49,0.375,64,,18.0
50,0.375,64,,29.0
51,0.375,64,,64.0
52,0.375,64,,22.0
53,0.375,64,,64.0
54,0.375,64,,63.0
55,0.375,64,,64.0
56,0.375,64,,33.0
57,0.375,64,,64.0
58,0.375,64,,64.0
59,0.375,64,,64.0
60,0.375,64,,54.0
61,0.375,64,,61.0
62,0.375,64,,21.0
63,0.375,64,,64.0
64,0.375,64,,45.0
65,0.375,64,,64.0
66,0.375,64,,64.0
67,0.375,64,,25.0
68,0.375,64,,32.0
69,0.375,64,,64.0
70,0.375,64,,24.0
71,0.375,64,,64.0
72,0.375,64,,64.0
73,0.375,64,,64.0
74,0.375,64,,64.0
75,0.375,64,,61.0
76,0.375,64,,64.0
77,0.375,64,,11.0
78,0.375,64,,64.0
79,0.375,64,,54.0
80,0.375,64,,57.0
81,0.375,64,,64.0
82,0.375,64,,18.0
83,0.375,64,,64.0
84,0.375,64,,64.0
85,0.375,64,,64.0
86,0.375,64,,64.0
87,0.375,64,,19.0
88,0.375,64,,8.0
89,0.375,64,,64.0
90,0.375,64,,55.0
91,0.375,64,,59.0
92,0.375,64,,14.0
93,0.375,64,,64.0
94,0.375,64,,64.0
95,0.375,64,,64.0
96,0.375,64,,50.0
97,0.375,64,,22.0
98,0.375,64,,51.0
99,0.375,64,,64.0
100,0.375,64,,64.0
101,0.375,64,,23.0
102,0.375,64,,64.0
103,0.375,64,,41.0
104,0.375,64,,64.0
105,0.375,64,,36.0
106,0.375,64,,47.0
107,0.375,64,,64.0
108,0.375,64,,42.0
109,0.375,64,,8.0
110,0.375,64,,64.0
111,0.375,64,,64.0
112,0.375,64,,19.0
113,0.375,64,,64.0
114,0.375,64,,56.0
