,lambd,p,nnz,k
0,0.125,29,,0.0
1,0.125,23,,23.0
2,0.125,37,,37.0
3,0.125,22,,0.0
4,0.125,33,,0.0
5,0.125,21,,16.0
6,0.125,38,,38.0
7,0.125,27,,27.0
8,0.125,23,,23.0
9,0.125,22,,0.0
10,0.125,35,,9.0
11,0.125,21,,0.0
12,0.125,31,,0.0
13,0.125,17,,12.0
14,0.125,29,,13.0
15,0.125,28,,18.0
16,0.125,33,,8.0
17,0.125,38,,22.0
18,0.125,23,,0.0
19,0.125,31,,31.0
20,0.125,19,,1.0
21,0.125,40,,1.0
22,0.125,25,,0.0
23,0.125,43,,20.0
24,0.125,24,,0.0
25,0.125,22,,1.0
26,0.125,28,,28.0
27,0.125,20,,0.0
28,0.125,28,,28.0
29,0.125,38,,13.0
30,0.125,16,,14.0
31,0.125,25,,0.0
32,0.125,24,,0.0
33,0.125,16,,0.0
34,0.125,26,,26.0
35,0.125,29,,0.0
36,0.125,42,,31.0
37,0.125,30,,0.0
38,0.125,36,,2.0
39,0.125,36,,0.0
40,0.125,36,,36.0
41,0.125,31,,0.0
42,0.125,27,,16.0
43,0.125,27,,13.0
44,0.125,58,,14.0
45,0.125,20,,2.0
46,0.125,36,,1.0
47,0.125,32,,10.0
48,0.125,30,,25.0
49,0.125,38,,17.0
50,0.125,35,,9.0
51,0.125,29,,8.0
52,0.125,18,,1.0
53,0.125,20,,0.0
54,0.125,32,,18.0
55,0.125,29,,1.0
56,0.125,34,,34.0
57,0.125,30,,17.0
58,0.125,41,,0.0
59,0.125,21,,0.0
60,0.125,37,,37.0
61,0.125,37,,0.0
62,0.125,39,,6.0
63,0.125,39,,10.0
64,0.125,14,,10.0
65,0.125,21,,5.0
66,0.125,35,,29.0
67,0.125,29,,14.0
68,0.125,25,,2.0
69,0.125,18,,18.0
70,0.125,35,,0.0
71,0.125,32,,14.0
72,0.125,33,,9.0
73,0.125,24,,0.0
74,0.125,28,,8.0
75,0.125,33,,1.0
76,0.125,17,,0.0
77,0.125,28,,21.0
78,0.125,18,,2.0
79,0.125,19,,11.0
80,0.125,23,,0.0
81,0.125,24,,15.0
82,0.125,29,,29.0
83,0.125,28,,1.0
84,0.125,31,,1.0
85,0.125,18,,0.0
86,0.125,30,,27.0
87,0.125,25,,0.0
88,0.125,37,,37.0
89,0.125,24,,24.0
90,0.125,25,,1.0
91,0.125,38,,1.0
92,0.125,12,,0.0
93,0.125,22,,0.0
94,0.125,26,,1.0
95,0.125,40,,40.0
96,0.125,30,,8.0
97,0.125,27,,0.0
98,0.125,28,,0.0
99,0.125,18,,0.0
100,0.125,42,,0.0
101,0.125,36,,2.0
102,0.125,15,,0.0
103,0.125,28,,0.0
