,lambd,p,nnz,k
0,0.25,29,,29.0
1,0.25,23,,23.0
2,0.25,37,,10.0
3,0.25,22,,22.0
4,0.25,33,,9.0
5,0.25,21,,21.0
6,0.25,38,,38.0
7,0.25,27,,0.0
8,0.25,23,,23.0
9,0.25,22,,22.0
10,0.25,35,,24.0
11,0.25,21,,4.0
12,0.25,31,,14.0
13,0.25,17,,7.0
14,0.25,29,,5.0
15,0.25,28,,16.0
16,0.25,33,,25.0
17,0.25,38,,28.0
18,0.25,23,,12.0
19,0.25,31,,31.0
20,0.25,19,,19.0
21,0.25,40,,40.0
22,0.25,25,,15.0
23,0.25,43,,43.0
24,0.25,24,,24.0
25,0.25,22,,22.0
26,0.25,28,,26.0
27,0.25,20,,20.0
28,0.25,28,,28.0
29,0.25,38,,1.0
30,0.25,16,,16.0
31,0.25,25,,8.0
32,0.25,24,,16.0
33,0.25,16,,16.0
34,0.25,26,,26.0
35,0.25,29,,12.0
36,0.25,42,,42.0
37,0.25,30,,24.0
38,0.25,36,,36.0
39,0.25,36,,20.0
40,0.25,36,,32.0
41,0.25,31,,0.0
42,0.25,27,,7.0
43,0.25,27,,25.0
44,0.25,58,,39.0
45,0.25,20,,20.0
46,0.25,36,,35.0
47,0.25,32,,15.0
48,0.25,30,,30.0
49,0.25,38,,38.0
50,0.25,35,,13.0
51,0.25,29,,7.0
52,0.25,18,,16.0
53,0.25,20,,17.0
54,0.25,32,,8.0
55,0.25,29,,29.0
56,0.25,34,,27.0
57,0.25,30,,10.0
58,0.25,41,,41.0
59,0.25,21,,0.0
60,0.25,37,,37.0
61,0.25,37,,7.0
62,0.25,39,,0.0
63,0.25,39,,22.0
64,0.25,14,,14.0
65,0.25,21,,15.0
66,0.25,35,,33.0
67,0.25,29,,26.0
68,0.25,25,,19.0
69,0.25,18,,18.0
70,0.25,35,,35.0
71,0.25,32,,9.0
72,0.25,33,,7.0
73,0.25,24,,22.0
74,0.25,28,,7.0
75,0.25,33,,33.0
76,0.25,17,,2.0
77,0.25,28,,17.0
78,0.25,18,,18.0
79,0.25,19,,19.0
80,0.25,23,,23.0
81,0.25,24,,18.0
82,0.25,29,,13.0
83,0.25,28,,28.0
84,0.25,31,,31.0
85,0.25,18,,0.0
86,0.25,30,,30.0
87,0.25,25,,25.0
88,0.25,37,,37.0
89,0.25,24,,20.0
90,0.25,25,,25.0
91,0.25,38,,38.0
92,0.25,12,,3.0
93,0.25,22,,17.0
94,0.25,26,,26.0
95,0.25,40,,40.0
96,0.25,30,,30.0
97,0.25,27,,13.0
98,0.25,28,,4.0
99,0.25,18,,1.0
100,0.25,42,,8.0
101,0.25,36,,0.0
102,0.25,15,,8.0
103,0.25,28,,28.0
104,0.25,24,,24.0
105,0.25,32,,32.0
106,0.25,54,,54.0
107,0.25,25,,0.0
108,0.25,28,,17.0
109,0.25,31,,26.0
110,0.25,32,,32.0
111,0.25,34,,34.0
112,0.25,33,,33.0
113,0.25,25,,10.0
114,0.25,31,,0.0
115,0.25,20,,17.0
116,0.25,19,,13.0
117,0.25,29,,29.0
118,0.25,21,,21.0
119,0.25,41,,41.0
120,0.25,29,,15.0
121,0.25,19,,0.0
122,0.25,29,,29.0
123,0.25,34,,22.0
124,0.25,30,,30.0
125,0.25,33,,33.0
126,0.25,31,,7.0
127,0.25,23,,0.0
128,0.25,44,,22.0
129,0.25,23,,23.0
130,0.25,25,,19.0
