,lambd,p,k,k_mu
0,0.125,64,64,31
1,0.125,64,64,64
2,0.125,64,24,16
3,0.125,64,18,17
4,0.125,64,57,39
5,0.125,64,64,58
6,0.125,64,64,26
7,0.125,64,64,21
8,0.125,64,64,14
9,0.125,64,64,23
10,0.125,64,64,47
11,0.125,64,64,50
12,0.125,64,20,15
13,0.125,64,64,14
14,0.125,64,64,48
15,0.125,64,33,26
16,0.125,64,64,49
17,0.125,64,64,23
18,0.125,64,64,46
19,0.125,64,64,36
20,0.125,64,61,13
21,0.125,64,64,52
22,0.125,64,64,33
23,0.125,64,45,48
24,0.125,64,29,10
25,0.125,64,64,15
26,0.125,64,64,57
27,0.125,64,64,34
28,0.125,64,64,16
29,0.125,64,64,55
30,0.125,64,64,57
31,0.125,64,64,18
32,0.125,64,64,48
33,0.125,64,64,50
34,0.125,64,60,57
35,0.125,64,64,60
36,0.125,64,48,26
37,0.125,64,39,29
38,0.125,64,64,27
39,0.125,64,64,46
40,0.125,64,64,13
41,0.125,64,64,48
42,0.125,64,64,49
43,0.125,64,64,49
44,0.125,64,64,44
45,0.125,64,64,47
46,0.125,64,43,24
47,0.125,64,27,13
48,0.125,64,43,24
49,0.125,64,64,62
50,0.125,64,64,48
51,0.125,64,64,21
52,0.125,64,50,38
53,0.125,64,64,42
54,0.125,64,64,47
55,0.125,64,42,17
56,0.125,64,21,14
57,0.125,64,64,43
58,0.125,64,64,26
59,0.125,64,64,61
60,0.125,64,45,25
61,0.125,64,64,58
62,0.125,64,64,36
63,0.125,64,64,31
64,0.125,64,64,20
65,0.125,64,64,40
66,0.125,64,64,59
67,0.125,64,20,29
68,0.125,64,64,7
69,0.125,64,64,59
70,0.125,64,15,13
71,0.125,64,64,14
72,0.125,64,64,26
73,0.125,64,64,52
74,0.125,64,64,36
75,0.125,64,64,41
76,0.125,64,64,59
77,0.125,64,8,6
78,0.125,64,64,27
79,0.125,64,36,15
80,0.125,64,64,45
81,0.125,64,64,19
82,0.125,64,48,10
83,0.125,64,64,20
84,0.125,64,64,62
85,0.125,64,49,16
86,0.125,64,64,60
87,0.125,64,56,17
88,0.125,64,64,23
89,0.125,64,64,47
90,0.125,64,64,37
91,0.125,64,57,12
92,0.125,64,64,12
93,0.125,64,64,24
94,0.125,64,31,16
95,0.125,64,55,16
96,0.125,64,64,13
97,0.125,64,28,15
98,0.125,64,64,14
99,0.125,64,64,15
100,0.125,64,64,29
101,0.125,64,22,17
102,0.125,64,64,49
103,0.125,64,64,30
104,0.125,64,64,14
105,0.125,64,64,44
106,0.125,64,64,48
107,0.125,64,64,29
108,0.125,64,19,12
109,0.125,64,25,13
110,0.125,64,64,61
111,0.125,64,64,44
112,0.125,64,64,50
113,0.125,64,64,38
114,0.125,64,35,21
115,0.125,64,50,12
116,0.125,64,64,19
117,0.125,64,64,33
118,0.125,64,23,17
119,0.125,64,63,31
120,0.125,64,64,28
121,0.125,64,64,51
122,0.125,64,64,40
123,0.125,64,64,8
124,0.125,64,64,60
125,0.125,64,64,62
126,0.125,64,64,46
127,0.125,64,64,49
128,0.125,64,28,10
129,0.125,64,64,61
130,0.125,64,64,14
131,0.125,64,64,49
132,0.125,64,64,37
133,0.125,64,64,55
134,0.125,64,64,17
135,0.125,64,64,50
136,0.125,64,64,10
137,0.125,64,20,17
138,0.125,64,64,28
139,0.125,64,15,12
140,0.125,64,64,22
141,0.125,64,64,39
142,0.125,64,51,38
143,0.125,64,63,61
144,0.125,64,64,59
145,0.125,64,64,14
146,0.125,64,64,59
147,0.125,64,21,11
148,0.125,64,64,28
149,0.125,64,47,31
150,0.125,64,64,24
151,0.125,64,16,8
152,0.125,64,64,39
153,0.125,64,19,12
154,0.125,64,50,16
155,0.125,64,9,8
156,0.125,64,20,13
157,0.125,64,49,31
158,0.125,64,25,17
159,0.125,64,64,50
160,0.125,64,64,34
161,0.125,64,17,11
162,0.125,64,64,57
163,0.125,64,64,51
164,0.125,64,64,18
165,0.125,64,64,61
166,0.125,64,64,15
167,0.125,64,23,18
168,0.125,64,64,42
169,0.125,64,20,7
170,0.125,64,64,20
171,0.125,64,33,19
172,0.125,64,64,38
173,0.125,64,64,60
174,0.125,64,64,29
175,0.125,64,64,45
176,0.125,64,64,62
177,0.125,64,64,8
178,0.125,64,64,24
179,0.125,64,64,61
180,0.125,64,64,52
181,0.125,64,64,38
182,0.125,64,11,10
183,0.125,64,27,9
184,0.125,64,64,44
185,0.125,64,64,64
186,0.125,64,61,24
187,0.125,64,64,38
188,0.125,64,64,64
189,0.125,64,64,55
190,0.125,64,64,41
191,0.125,64,64,48
192,0.125,64,64,47
