,lambd,p,k,k_mu
0,0.25,64,64,62
1,0.25,64,64,63
2,0.25,64,16,6
3,0.25,64,6,4
4,0.25,64,36,20
5,0.25,64,64,38
6,0.25,64,55,47
7,0.25,64,64,25
8,0.25,64,24,6
9,0.25,64,64,20
10,0.25,64,64,33
11,0.25,64,64,20
12,0.25,64,64,32
13,0.25,64,64,18
14,0.25,64,64,47
15,0.25,64,64,54
16,0.25,64,64,64
17,0.25,64,64,61
18,0.25,64,56,6
19,0.25,64,24,12
20,0.25,64,54,16
21,0.25,64,43,26
22,0.25,64,64,33
23,0.25,64,64,30
24,0.25,64,13,7
25,0.25,64,64,53
26,0.25,64,64,43
27,0.25,64,64,63
28,0.25,64,49,6
29,0.25,64,64,25
30,0.25,64,64,41
31,0.25,64,60,49
32,0.25,64,64,62
33,0.25,64,64,33
34,0.25,64,44,18
35,0.25,64,64,45
36,0.25,64,64,32
37,0.25,64,19,11
38,0.25,64,64,52
39,0.25,64,64,43
40,0.25,64,64,43
41,0.25,64,63,29
42,0.25,64,63,11
43,0.25,64,64,35
44,0.25,64,64,37
45,0.25,64,64,53
46,0.25,64,28,16
47,0.25,64,64,24
48,0.25,64,64,26
49,0.25,64,46,8
50,0.25,64,25,16
51,0.25,64,64,43
52,0.25,64,19,7
53,0.25,64,64,36
54,0.25,64,64,21
55,0.25,64,64,11
56,0.25,64,17,12
57,0.25,64,64,51
58,0.25,64,64,30
59,0.25,64,64,32
60,0.25,64,49,18
61,0.25,64,64,24
62,0.25,64,54,33
63,0.25,64,64,60
64,0.25,64,63,14
65,0.25,64,64,58
66,0.25,64,64,59
67,0.25,64,17,9
68,0.25,64,64,17
69,0.25,64,64,49
70,0.25,64,14,8
71,0.25,64,64,26
72,0.25,64,64,31
73,0.25,64,64,39
74,0.25,64,64,57
75,0.25,64,53,44
76,0.25,64,52,44
77,0.25,64,16,2
78,0.25,64,64,35
79,0.25,64,43,10
80,0.25,64,44,17
81,0.25,64,64,35
82,0.25,64,14,3
83,0.25,64,64,48
84,0.25,64,64,58
85,0.25,64,64,62
86,0.25,64,64,48
87,0.25,64,15,10
88,0.25,64,26,7
89,0.25,64,64,29
90,0.25,64,64,46
91,0.25,64,42,12
92,0.25,64,61,6
93,0.25,64,64,14
94,0.25,64,64,58
95,0.25,64,64,64
96,0.25,64,64,28
97,0.25,64,25,5
98,0.25,64,56,21
99,0.25,64,64,49
100,0.25,64,64,51
101,0.25,64,14,10
102,0.25,64,63,32
103,0.25,64,60,50
104,0.25,64,64,11
105,0.25,64,47,21
106,0.25,64,52,13
107,0.25,64,64,60
108,0.25,64,26,6
109,0.25,64,22,6
110,0.25,64,64,31
111,0.25,64,64,30
112,0.25,64,28,6
113,0.25,64,64,63
114,0.25,64,39,7
115,0.25,64,64,14
116,0.25,64,41,20
117,0.25,64,64,62
118,0.25,64,31,6
119,0.25,64,64,58
120,0.25,64,64,58
121,0.25,64,64,64
122,0.25,64,42,36
123,0.25,64,64,10
124,0.25,64,61,7
125,0.25,64,64,39
126,0.25,64,64,18
127,0.25,64,64,31
128,0.25,64,25,7
129,0.25,64,64,61
130,0.25,64,64,24
131,0.25,64,58,18
132,0.25,64,24,37
133,0.25,64,64,63
134,0.25,64,64,8
135,0.25,64,64,61
136,0.25,64,64,57
137,0.25,64,20,16
138,0.25,64,64,61
139,0.25,64,19,6
140,0.25,64,64,28
141,0.25,64,64,51
142,0.25,64,7,3
143,0.25,64,16,5
144,0.25,64,11,5
145,0.25,64,56,40
146,0.25,64,64,47
147,0.25,64,23,9
148,0.25,64,64,18
149,0.25,64,52,12
150,0.25,64,64,5
151,0.25,64,20,11
152,0.25,64,64,54
153,0.25,64,28,3
154,0.25,64,64,12
155,0.25,64,13,8
156,0.25,64,64,40
157,0.25,64,11,6
158,0.25,64,20,4
159,0.25,64,64,62
160,0.25,64,64,25
161,0.25,64,33,13
162,0.25,64,64,59
163,0.25,64,64,59
164,0.25,64,9,3
165,0.25,64,64,56
166,0.25,64,64,50
167,0.25,64,64,50
168,0.25,64,64,60
169,0.25,64,17,8
170,0.25,64,64,15
171,0.25,64,20,4
172,0.25,64,64,47
173,0.25,64,64,60
174,0.25,64,64,39
175,0.25,64,64,44
176,0.25,64,22,9
177,0.25,64,64,44
178,0.25,64,64,57
179,0.25,64,64,60
180,0.25,64,64,22
181,0.25,64,60,29
182,0.25,64,14,6
183,0.25,64,6,4
184,0.25,64,64,58
185,0.25,64,64,46
186,0.25,64,19,10
187,0.25,64,64,51
188,0.25,64,64,64
189,0.25,64,49,14
190,0.25,64,64,7
191,0.25,64,64,8
192,0.25,64,64,64
193,0.25,64,64,54
194,0.25,64,48,7
195,0.25,64,64,64
196,0.25,64,47,25
197,0.25,64,64,62
198,0.25,64,18,6
199,0.25,64,49,18
200,0.25,64,64,13
201,0.25,64,64,63
202,0.25,64,23,4
203,0.25,64,64,45
204,0.25,64,64,47
205,0.25,64,64,61
206,0.25,64,50,31
207,0.25,64,64,40
208,0.25,64,64,61
209,0.25,64,60,33
210,0.25,64,41,11
211,0.25,64,10,3
212,0.25,64,64,63
213,0.25,64,64,28
214,0.25,64,64,63
215,0.25,64,64,23
216,0.25,64,64,62
217,0.25,64,64,35
218,0.25,64,64,20
219,0.25,64,38,8
220,0.25,64,64,39
221,0.25,64,30,16
222,0.25,64,64,59
223,0.25,64,45,15
224,0.25,64,14,5
225,0.25,64,64,42
226,0.25,64,64,38
227,0.25,64,64,47
228,0.25,64,38,11
229,0.25,64,8,4
230,0.25,64,64,62
231,0.25,64,50,19
232,0.25,64,32,7
233,0.25,64,64,6
234,0.25,64,64,31
235,0.25,64,64,63
236,0.25,64,64,64
237,0.25,64,21,6
238,0.25,64,11,5
239,0.25,64,64,27
240,0.25,64,27,21
241,0.25,64,64,48
242,0.25,64,63,27
243,0.25,64,64,30
244,0.25,64,64,42
245,0.25,64,64,49
246,0.25,64,64,27
247,0.25,64,64,38
248,0.25,64,55,15
249,0.25,64,25,17
