,lambd,p,k,k_mu
0,0.5,64,64,64
1,0.5,64,64,20
2,0.5,64,12,6
3,0.5,64,16,6
4,0.5,64,56,7
5,0.5,64,64,25
6,0.5,64,64,18
7,0.5,64,64,44
8,0.5,64,10,5
9,0.5,64,64,64
10,0.5,64,64,8
11,0.5,64,64,8
12,0.5,64,64,10
13,0.5,64,64,47
14,0.5,64,64,12
15,0.5,64,64,63
16,0.5,64,64,63
17,0.5,64,64,20
18,0.5,64,15,5
19,0.5,64,31,2
20,0.5,64,41,6
21,0.5,64,32,9
22,0.5,64,64,16
23,0.5,64,64,28
24,0.5,64,13,2
25,0.5,64,64,52
26,0.5,64,64,5
27,0.5,64,64,38
28,0.5,64,46,20
29,0.5,64,64,64
30,0.5,64,64,17
31,0.5,64,54,6
32,0.5,64,64,20
33,0.5,64,64,14
34,0.5,64,25,16
35,0.5,64,64,64
36,0.5,64,64,38
37,0.5,64,25,4
38,0.5,64,64,64
39,0.5,64,64,59
40,0.5,64,64,62
41,0.5,64,20,6
42,0.5,64,48,6
43,0.5,64,64,14
44,0.5,64,64,54
45,0.5,64,64,51
46,0.5,64,42,11
47,0.5,64,64,6
48,0.5,64,64,6
49,0.5,64,6,4
50,0.5,64,26,3
51,0.5,64,64,23
52,0.5,64,26,5
53,0.5,64,64,56
54,0.5,64,64,9
55,0.5,64,64,64
56,0.5,64,12,7
57,0.5,64,64,45
58,0.5,64,64,17
59,0.5,64,64,4
60,0.5,64,64,8
61,0.5,64,47,7
62,0.5,64,10,2
63,0.5,64,64,39
64,0.5,64,36,4
65,0.5,64,64,61
66,0.5,64,64,63
67,0.5,64,5,4
68,0.5,64,55,2
69,0.5,64,64,6
70,0.5,64,18,4
71,0.5,64,64,22
72,0.5,64,64,3
73,0.5,64,64,62
74,0.5,64,64,64
75,0.5,64,64,46
76,0.5,64,64,13
77,0.5,64,7,2
78,0.5,64,64,4
79,0.5,64,53,4
80,0.5,64,64,28
81,0.5,64,64,34
82,0.5,64,16,2
83,0.5,64,64,1
84,0.5,64,64,9
85,0.5,64,64,36
86,0.5,64,64,13
87,0.5,64,22,1
88,0.5,64,28,4
89,0.5,64,64,56
90,0.5,64,64,61
91,0.5,64,40,2
92,0.5,64,25,3
93,0.5,64,64,8
94,0.5,64,64,57
95,0.5,64,64,12
96,0.5,64,64,6
97,0.5,64,9,1
98,0.5,64,19,8
99,0.5,64,64,39
100,0.5,64,64,61
101,0.5,64,11,4
102,0.5,64,64,63
103,0.5,64,64,15
104,0.5,64,64,19
105,0.5,64,43,4
106,0.5,64,10,1
107,0.5,64,64,34
108,0.5,64,14,2
109,0.5,64,57,2
110,0.5,64,64,8
111,0.5,64,64,59
112,0.5,64,29,10
113,0.5,64,64,64
114,0.5,64,61,58
115,0.5,64,64,7
116,0.5,64,27,13
117,0.5,64,64,4
118,0.5,64,24,2
119,0.5,64,64,45
120,0.5,64,64,62
121,0.5,64,64,64
122,0.5,64,64,9
123,0.5,64,30,29
124,0.5,64,64,1
125,0.5,64,45,27
126,0.5,64,64,9
127,0.5,64,64,61
128,0.5,64,19,7
129,0.5,64,64,29
130,0.5,64,64,15
131,0.5,64,46,4
132,0.5,64,64,62
133,0.5,64,64,64
134,0.5,64,64,13
135,0.5,64,64,45
136,0.5,64,64,64
137,0.5,64,22,2
138,0.5,64,64,25
139,0.5,64,19,5
140,0.5,64,64,16
141,0.5,64,64,19
142,0.5,64,35,3
143,0.5,64,13,4
144,0.5,64,27,2
145,0.5,64,50,16
146,0.5,64,64,33
147,0.5,64,16,5
148,0.5,64,55,9
149,0.5,64,64,10
150,0.5,64,64,14
151,0.5,64,18,14
152,0.5,64,64,59
153,0.5,64,17,3
154,0.5,64,64,18
155,0.5,64,50,4
156,0.5,64,64,64
157,0.5,64,29,30
158,0.5,64,23,7
159,0.5,64,64,25
160,0.5,64,37,8
161,0.5,64,64,5
162,0.5,64,64,62
163,0.5,64,64,30
164,0.5,64,29,3
165,0.5,64,64,64
166,0.5,64,64,63
167,0.5,64,64,35
168,0.5,64,64,22
169,0.5,64,11,5
170,0.5,64,64,44
171,0.5,64,7,2
172,0.5,64,64,46
173,0.5,64,64,47
174,0.5,64,51,24
175,0.5,64,64,62
176,0.5,64,40,28
177,0.5,64,64,42
178,0.5,64,64,43
179,0.5,64,64,49
180,0.5,64,64,50
181,0.5,64,33,10
182,0.5,64,12,3
183,0.5,64,18,4
184,0.5,64,64,47
185,0.5,64,64,63
186,0.5,64,22,3
187,0.5,64,64,4
188,0.5,64,64,29
189,0.5,64,55,10
190,0.5,64,64,5
191,0.5,64,64,58
192,0.5,64,64,9
193,0.5,64,64,62
194,0.5,64,45,3
195,0.5,64,64,58
196,0.5,64,43,56
197,0.5,64,64,7
198,0.5,64,14,1
199,0.5,64,21,2
200,0.5,64,63,9
201,0.5,64,64,53
202,0.5,64,64,9
203,0.5,64,64,53
204,0.5,64,64,60
205,0.5,64,64,58
206,0.5,64,51,1
207,0.5,64,64,60
208,0.5,64,64,3
209,0.5,64,46,7
210,0.5,64,31,5
211,0.5,64,19,3
212,0.5,64,64,42
213,0.5,64,64,60
214,0.5,64,64,2
215,0.5,64,64,23
216,0.5,64,64,62
217,0.5,64,64,37
218,0.5,64,64,6
219,0.5,64,64,6
220,0.5,64,64,64
221,0.5,64,19,9
222,0.5,64,64,43
223,0.5,64,29,3
224,0.5,64,15,2
225,0.5,64,64,3
226,0.5,64,64,23
227,0.5,64,64,63
228,0.5,64,26,2
229,0.5,64,39,2
230,0.5,64,64,45
231,0.5,64,28,3
232,0.5,64,16,5
233,0.5,64,31,4
234,0.5,64,64,62
235,0.5,64,64,40
236,0.5,64,64,53
237,0.5,64,64,63
238,0.5,64,19,1
239,0.5,64,64,44
240,0.5,64,64,34
241,0.5,64,64,64
242,0.5,64,64,30
243,0.5,64,64,15
244,0.5,64,61,13
245,0.5,64,64,63
246,0.5,64,64,20
247,0.5,64,64,1
248,0.5,64,64,10
249,0.5,64,20,7
