,lambd,p,k,k_mu
0,0.125,64,64,23
1,0.125,64,64,61
2,0.125,64,40,29
3,0.125,64,11,10
4,0.125,64,61,17
5,0.125,64,64,59
6,0.125,64,64,29
7,0.125,64,64,47
8,0.125,64,64,10
9,0.125,64,64,57
10,0.125,64,64,64
11,0.125,64,64,29
12,0.125,64,31,9
13,0.125,64,64,56
14,0.125,64,64,38
15,0.125,64,22,13
16,0.125,64,64,61
17,0.125,64,64,61
18,0.125,64,64,42
19,0.125,64,64,56
20,0.125,64,43,17
21,0.125,64,64,58
22,0.125,64,64,44
23,0.125,64,38,26
24,0.125,64,13,9
25,0.125,64,64,10
26,0.125,64,64,48
27,0.125,64,64,32
28,0.125,64,64,39
29,0.125,64,64,58
30,0.125,64,64,54
31,0.125,64,64,51
32,0.125,64,64,60
33,0.125,64,64,60
34,0.125,64,62,46
35,0.125,64,64,22
36,0.125,64,36,17
37,0.125,64,26,12
38,0.125,64,64,37
39,0.125,64,64,34
40,0.125,64,64,61
41,0.125,64,64,63
42,0.125,64,64,56
43,0.125,64,64,38
44,0.125,64,64,24
45,0.125,64,46,48
46,0.125,64,30,24
47,0.125,64,31,11
48,0.125,64,35,22
49,0.125,64,64,47
50,0.125,64,64,57
51,0.125,64,64,63
52,0.125,64,41,29
53,0.125,64,64,22
54,0.125,64,64,59
55,0.125,64,38,15
56,0.125,64,24,18
57,0.125,64,64,45
58,0.125,64,64,13
59,0.125,64,64,60
60,0.125,64,34,15
61,0.125,64,64,46
62,0.125,64,64,51
63,0.125,64,64,34
64,0.125,64,64,53
65,0.125,64,64,8
66,0.125,64,64,62
67,0.125,64,36,22
68,0.125,64,64,41
69,0.125,64,64,13
70,0.125,64,30,20
71,0.125,64,64,63
72,0.125,64,64,29
73,0.125,64,64,15
74,0.125,64,64,53
75,0.125,64,64,41
76,0.125,64,64,55
77,0.125,64,11,9
78,0.125,64,64,27
79,0.125,64,52,19
80,0.125,64,64,63
81,0.125,64,64,14
82,0.125,64,47,31
83,0.125,64,64,29
84,0.125,64,64,59
85,0.125,64,28,17
86,0.125,64,64,33
87,0.125,64,26,19
88,0.125,64,64,32
89,0.125,64,64,43
90,0.125,64,64,57
91,0.125,64,62,13
92,0.125,64,64,17
93,0.125,64,64,38
94,0.125,64,36,14
95,0.125,64,58,35
96,0.125,64,64,34
97,0.125,64,39,10
98,0.125,64,64,15
99,0.125,64,64,39
100,0.125,64,64,35
101,0.125,64,16,11
102,0.125,64,64,23
103,0.125,64,64,28
104,0.125,64,64,58
105,0.125,64,64,26
106,0.125,64,64,26
107,0.125,64,64,44
108,0.125,64,34,23
109,0.125,64,18,9
110,0.125,64,64,57
111,0.125,64,64,57
112,0.125,64,64,12
113,0.125,64,64,56
114,0.125,64,32,24
115,0.125,64,39,17
116,0.125,64,64,33
117,0.125,64,64,24
118,0.125,64,38,34
119,0.125,64,57,15
120,0.125,64,64,62
121,0.125,64,64,33
122,0.125,64,64,22
123,0.125,64,64,14
124,0.125,64,64,31
125,0.125,64,64,56
126,0.125,64,64,53
127,0.125,64,64,39
128,0.125,64,31,21
129,0.125,64,64,64
130,0.125,64,64,49
131,0.125,64,64,19
132,0.125,64,64,40
133,0.125,64,64,57
134,0.125,64,64,28
135,0.125,64,64,48
136,0.125,64,64,22
137,0.125,64,31,16
138,0.125,64,64,61
139,0.125,64,24,9
140,0.125,64,64,28
141,0.125,64,64,63
142,0.125,64,13,12
143,0.125,64,63,50
144,0.125,64,64,60
145,0.125,64,64,29
146,0.125,64,64,45
147,0.125,64,24,13
148,0.125,64,64,48
149,0.125,64,44,32
150,0.125,64,64,32
151,0.125,64,21,14
152,0.125,64,64,56
153,0.125,64,14,8
154,0.125,64,63,60
155,0.125,64,12,10
156,0.125,64,25,22
157,0.125,64,54,28
158,0.125,64,39,32
159,0.125,64,64,36
160,0.125,64,64,24
161,0.125,64,19,14
162,0.125,64,64,57
163,0.125,64,64,42
164,0.125,64,64,35
165,0.125,64,64,61
166,0.125,64,64,33
167,0.125,64,15,7
168,0.125,64,64,62
169,0.125,64,14,9
170,0.125,64,64,60
171,0.125,64,34,21
172,0.125,64,64,31
173,0.125,64,64,41
174,0.125,64,64,23
175,0.125,64,64,28
176,0.125,64,64,41
177,0.125,64,64,42
178,0.125,64,64,18
179,0.125,64,64,62
180,0.125,64,64,50
181,0.125,64,64,61
182,0.125,64,12,10
183,0.125,64,25,16
184,0.125,64,64,61
185,0.125,64,64,57
186,0.125,64,60,15
187,0.125,64,64,61
188,0.125,64,64,36
189,0.125,64,64,61
190,0.125,64,64,25
191,0.125,64,64,57
192,0.125,64,64,51
193,0.125,64,29,14
194,0.125,64,64,20
195,0.125,64,64,56
196,0.125,64,64,19
197,0.125,64,64,39
198,0.125,64,35,18
199,0.125,64,25,14
200,0.125,64,64,54
201,0.125,64,64,46
202,0.125,64,31,23
203,0.125,64,39,25
204,0.125,64,64,61
205,0.125,64,64,52
206,0.125,64,64,13
207,0.125,64,64,54
208,0.125,64,64,33
209,0.125,64,64,54
210,0.125,64,64,61
211,0.125,64,12,8
212,0.125,64,64,27
213,0.125,64,64,56
214,0.125,64,64,57
215,0.125,64,64,33
216,0.125,64,64,30
217,0.125,64,64,56
218,0.125,64,64,41
219,0.125,64,64,59
220,0.125,64,64,62
221,0.125,64,64,50
222,0.125,64,64,50
223,0.125,64,45,16
224,0.125,64,27,24
225,0.125,64,64,36
226,0.125,64,64,40
227,0.125,64,60,10
228,0.125,64,64,38
229,0.125,64,64,35
230,0.125,64,64,54
231,0.125,64,64,27
232,0.125,64,39,16
233,0.125,64,64,39
234,0.125,64,40,24
235,0.125,64,64,64
236,0.125,64,64,22
237,0.125,64,18,10
238,0.125,64,35,13
239,0.125,64,64,58
240,0.125,64,54,13
241,0.125,64,64,15
242,0.125,64,64,37
243,0.125,64,64,56
244,0.125,64,64,26
245,0.125,64,64,63
246,0.125,64,64,41
247,0.125,64,64,30
248,0.125,64,64,28
249,0.125,64,49,25
