,lambd,p,k,k_mu
0,0.25,29,29,5
1,0.25,23,23,23
2,0.25,37,37,7
3,0.25,22,22,11
4,0.25,33,5,4
5,0.25,21,21,11
6,0.25,38,38,15
7,0.25,27,6,3
8,0.25,23,23,3
9,0.25,22,22,3
10,0.25,35,35,5
11,0.25,21,8,2
12,0.25,31,16,0
13,0.25,17,12,4
14,0.25,29,0,6
15,0.25,28,16,8
16,0.25,33,14,5
17,0.25,38,23,29
18,0.25,23,0,0
19,0.25,31,31,9
20,0.25,19,19,3
21,0.25,40,40,3
22,0.25,25,0,13
23,0.25,43,43,2
24,0.25,24,24,22
25,0.25,22,22,3
26,0.25,28,6,3
27,0.25,20,20,1
28,0.25,28,28,6
29,0.25,38,38,3
30,0.25,16,16,3
31,0.25,25,13,11
32,0.25,24,24,6
33,0.25,16,16,11
34,0.25,26,26,3
35,0.25,29,16,0
36,0.25,42,42,20
37,0.25,30,0,0
38,0.25,36,36,10
39,0.25,36,18,0
40,0.25,36,36,18
41,0.25,31,0,2
42,0.25,27,11,4
43,0.25,27,17,9
44,0.25,58,11,19
45,0.25,20,20,20
46,0.25,36,35,19
47,0.25,32,10,4
48,0.25,30,30,2
49,0.25,38,38,3
50,0.25,35,7,4
51,0.25,29,4,3
52,0.25,18,18,10
53,0.25,20,0,0
54,0.25,32,32,6
55,0.25,29,29,20
56,0.25,34,34,21
57,0.25,30,30,9
58,0.25,41,38,5
59,0.25,21,5,0
60,0.25,37,37,23
61,0.25,37,6,4
62,0.25,39,4,4
63,0.25,39,3,3
64,0.25,14,14,4
65,0.25,21,14,7
66,0.25,35,17,15
67,0.25,29,29,3
68,0.25,25,19,11
69,0.25,18,18,3
70,0.25,35,35,11
71,0.25,32,10,3
72,0.25,33,30,0
73,0.25,24,24,1
74,0.25,28,7,3
75,0.25,33,33,16
76,0.25,17,17,7
77,0.25,28,17,10
78,0.25,18,18,2
79,0.25,19,19,16
80,0.25,23,23,3
81,0.25,24,9,5
82,0.25,29,11,5
83,0.25,28,28,23
84,0.25,31,31,25
85,0.25,18,0,0
86,0.25,30,30,24
87,0.25,25,25,8
88,0.25,37,37,4
89,0.25,24,5,3
90,0.25,25,25,1
