,lambd,p,k,k_mu
0,0.125,29,0,3
1,0.125,23,0,0
2,0.125,37,37,22
3,0.125,22,0,0
4,0.125,33,12,9
5,0.125,21,21,2
6,0.125,38,38,26
7,0.125,27,27,1
8,0.125,23,23,1
9,0.125,22,11,0
10,0.125,35,35,1
11,0.125,21,0,0
12,0.125,31,0,3
13,0.125,17,12,7
14,0.125,29,0,0
15,0.125,28,21,16
16,0.125,33,17,6
17,0.125,38,28,27
18,0.125,23,0,0
19,0.125,31,31,14
20,0.125,19,19,1
21,0.125,40,40,22
22,0.125,25,0,0
23,0.125,43,43,30
24,0.125,24,0,0
25,0.125,22,22,1
26,0.125,28,28,22
27,0.125,20,0,0
28,0.125,28,28,7
29,0.125,38,35,15
30,0.125,16,16,1
31,0.125,25,0,0
32,0.125,24,0,0
33,0.125,16,0,0
34,0.125,26,26,1
35,0.125,29,0,9
36,0.125,42,42,11
37,0.125,30,0,0
38,0.125,36,26,19
39,0.125,36,0,10
40,0.125,36,36,20
41,0.125,31,0,0
42,0.125,27,23,7
43,0.125,27,0,0
44,0.125,58,58,1
45,0.125,20,20,18
46,0.125,36,36,1
47,0.125,32,15,10
48,0.125,30,0,0
49,0.125,38,31,0
50,0.125,35,13,9
51,0.125,29,28,7
52,0.125,18,18,16
53,0.125,20,0,0
54,0.125,32,0,7
55,0.125,29,29,1
56,0.125,34,34,1
57,0.125,30,14,12
58,0.125,41,0,0
59,0.125,21,0,0
60,0.125,37,37,24
61,0.125,37,9,7
62,0.125,39,16,15
63,0.125,39,21,19
64,0.125,14,14,1
65,0.125,21,21,1
66,0.125,35,35,33
67,0.125,29,6,5
68,0.125,25,25,19
69,0.125,18,18,1
70,0.125,35,0,0
71,0.125,32,16,9
72,0.125,33,0,0
73,0.125,24,0,0
74,0.125,28,9,7
75,0.125,33,33,16
76,0.125,17,0,0
77,0.125,28,18,17
78,0.125,18,0,0
79,0.125,19,0,0
80,0.125,23,0,0
81,0.125,24,19,17
82,0.125,29,29,18
83,0.125,28,28,1
84,0.125,31,31,1
85,0.125,18,0,0
86,0.125,30,30,23
87,0.125,25,23,0
88,0.125,37,37,15
89,0.125,24,24,18
90,0.125,25,25,1
91,0.125,38,38,38
92,0.125,12,0,0
93,0.125,22,17,0
94,0.125,26,26,1
95,0.125,40,37,7
96,0.125,30,0,7
97,0.125,27,0,0
98,0.125,28,0,4
99,0.125,18,0,0
100,0.125,42,0,5
101,0.125,36,0,2
102,0.125,15,0,0
103,0.125,28,17,3
104,0.125,24,24,17
105,0.125,32,30,0
106,0.125,54,54,14
107,0.125,25,0,0
108,0.125,28,13,9
109,0.125,31,0,0
110,0.125,32,32,17
111,0.125,34,0,0
112,0.125,33,33,12
113,0.125,25,12,11
114,0.125,31,0,0
115,0.125,20,8,6
116,0.125,19,0,0
117,0.125,29,29,28
118,0.125,21,21,1
119,0.125,41,41,14
120,0.125,29,29,4
121,0.125,19,0,0
122,0.125,29,29,23
123,0.125,34,0,0
124,0.125,30,0,0
125,0.125,33,33,25
126,0.125,31,15,7
127,0.125,23,0,0
128,0.125,44,44,44
129,0.125,23,0,8
130,0.125,25,21,19
131,0.125,29,29,9
132,0.125,34,12,10
133,0.125,31,31,9
134,0.125,38,29,9
135,0.125,12,0,3
136,0.125,23,0,0
137,0.125,29,29,22
138,0.125,24,24,1
139,0.125,33,12,6
140,0.125,27,0,14
141,0.125,7,0,0
142,0.125,41,28,13
143,0.125,36,8,7
144,0.125,27,26,7
145,0.125,17,17,1
146,0.125,34,20,9
147,0.125,29,29,1
148,0.125,22,0,0
149,0.125,57,57,35
150,0.125,29,0,0
151,0.125,37,37,16
152,0.125,27,27,7
153,0.125,31,0,0
154,0.125,28,0,0
155,0.125,30,30,1
156,0.125,18,0,4
157,0.125,35,19,15
158,0.125,36,0,5
159,0.125,34,0,17
160,0.125,35,11,7
161,0.125,30,30,21
162,0.125,24,24,10
163,0.125,15,0,0
164,0.125,40,40,14
165,0.125,32,17,0
166,0.125,31,0,2
167,0.125,29,0,0
168,0.125,25,0,0
169,0.125,26,0,3
170,0.125,28,28,22
171,0.125,32,24,19
172,0.125,31,0,5
173,0.125,28,28,1
174,0.125,24,24,1
175,0.125,36,36,36
176,0.125,32,32,1
177,0.125,29,0,0
178,0.125,27,0,0
179,0.125,44,18,7
180,0.125,36,0,0
181,0.125,30,30,1
182,0.125,24,0,6
183,0.125,37,36,8
184,0.125,26,16,9
185,0.125,24,0,0
