,lambd,p,k,k_mu
0,0.375,29,29,3
1,0.375,23,23,2
2,0.375,37,37,2
3,0.375,22,22,5
4,0.375,33,3,2
5,0.375,21,21,6
6,0.375,38,38,3
7,0.375,27,6,2
8,0.375,23,23,2
9,0.375,22,22,5
10,0.375,35,35,6
11,0.375,21,21,3
12,0.375,31,29,17
13,0.375,17,17,2
14,0.375,29,0,0
15,0.375,28,28,2
16,0.375,33,7,0
17,0.375,38,31,15
18,0.375,23,11,11
19,0.375,31,31,27
20,0.375,19,19,2
21,0.375,40,40,2
22,0.375,25,25,3
23,0.375,43,43,43
24,0.375,24,24,4
25,0.375,22,22,2
26,0.375,28,28,3
27,0.375,20,20,2
28,0.375,28,28,25
29,0.375,38,3,3
30,0.375,16,16,2
31,0.375,25,25,1
32,0.375,24,0,0
33,0.375,16,16,16
34,0.375,26,26,2
35,0.375,29,26,3
36,0.375,42,42,38
37,0.375,30,0,0
38,0.375,36,36,36
39,0.375,36,14,0
40,0.375,36,36,33
41,0.375,31,19,0
42,0.375,27,4,2
43,0.375,27,16,10
44,0.375,58,58,48
45,0.375,20,20,19
46,0.375,36,36,16
47,0.375,32,6,2
48,0.375,30,30,1
49,0.375,38,38,2
50,0.375,35,4,3
51,0.375,29,3,2
52,0.375,18,18,13
53,0.375,20,20,18
54,0.375,32,32,25
55,0.375,29,29,21
56,0.375,34,28,23
57,0.375,30,3,2
58,0.375,41,41,35
59,0.375,21,0,0
60,0.375,37,37,2
61,0.375,37,37,2
62,0.375,39,6,2
63,0.375,39,5,2
64,0.375,14,14,2
65,0.375,21,21,19
66,0.375,35,35,7
67,0.375,29,9,2
68,0.375,25,14,5
69,0.375,18,18,2
70,0.375,35,35,1
71,0.375,32,9,2
72,0.375,33,8,0
73,0.375,24,24,12
74,0.375,28,6,2
75,0.375,33,33,33
76,0.375,17,17,2
77,0.375,28,15,12
78,0.375,18,18,2
79,0.375,19,19,2
80,0.375,23,23,3
81,0.375,24,4,2
82,0.375,29,9,7
83,0.375,28,28,28
84,0.375,31,31,10
85,0.375,18,0,0
86,0.375,30,30,30
87,0.375,25,25,14
88,0.375,37,37,9
89,0.375,24,4,3
90,0.375,25,25,6
91,0.375,38,38,30
92,0.375,12,12,9
93,0.375,22,11,0
94,0.375,26,26,8
95,0.375,40,40,36
96,0.375,30,30,30
97,0.375,27,0,0
98,0.375,28,0,0
99,0.375,18,18,1
100,0.375,42,5,2
101,0.375,36,21,0
102,0.375,15,15,1
103,0.375,28,28,12
104,0.375,24,24,23
105,0.375,32,32,5
106,0.375,54,52,3
107,0.375,25,0,0
108,0.375,28,28,24
109,0.375,31,31,20
110,0.375,32,32,11
111,0.375,34,34,33
112,0.375,33,33,6
113,0.375,25,6,2
114,0.375,31,12,8
115,0.375,20,20,2
116,0.375,19,19,12
117,0.375,29,29,12
118,0.375,21,21,5
119,0.375,41,41,40
120,0.375,29,29,12
121,0.375,19,0,0
122,0.375,29,15,3
123,0.375,34,8,0
124,0.375,30,30,21
125,0.375,33,33,33
126,0.375,31,7,2
127,0.375,23,0,0
128,0.375,44,44,13
129,0.375,23,23,23
130,0.375,25,3,2
131,0.375,29,29,7
132,0.375,34,6,2
133,0.375,31,31,2
134,0.375,38,38,2
135,0.375,12,0,0
136,0.375,23,23,10
137,0.375,29,29,23
138,0.375,24,24,24
139,0.375,33,9,4
140,0.375,27,27,6
141,0.375,7,7,1
142,0.375,41,41,39
143,0.375,36,10,2
144,0.375,27,27,2
145,0.375,17,17,2
146,0.375,34,34,34
147,0.375,29,29,7
148,0.375,22,22,17
149,0.375,57,57,55
150,0.375,29,29,29
151,0.375,37,37,11
152,0.375,27,27,9
153,0.375,31,0,0
154,0.375,28,28,28
155,0.375,30,30,4
156,0.375,18,0,0
157,0.375,35,35,32
158,0.375,36,36,35
159,0.375,34,0,0
160,0.375,35,35,9
161,0.375,30,30,29
162,0.375,24,24,6
163,0.375,15,15,15
164,0.375,40,40,2
165,0.375,32,32,8
166,0.375,31,8,4
167,0.375,29,0,0
168,0.375,25,25,1
169,0.375,26,0,0
170,0.375,28,28,2
171,0.375,32,5,2
172,0.375,31,31,30
173,0.375,28,28,9
174,0.375,24,24,2
175,0.375,36,36,2
176,0.375,32,8,2
177,0.375,29,29,24
178,0.375,27,27,27
179,0.375,44,44,21
180,0.375,36,0,0
181,0.375,30,30,14
182,0.375,24,24,24
183,0.375,37,7,5
184,0.375,26,3,2
185,0.375,24,17,0
186,0.375,17,9,10
187,0.375,25,7,2
188,0.375,18,0,0
189,0.375,35,6,3
190,0.375,37,7,0
191,0.375,20,5,2
192,0.375,27,27,26
193,0.375,20,20,2
194,0.375,26,9,0
195,0.375,29,29,3
196,0.375,28,28,9
197,0.375,31,31,2
198,0.375,30,30,23
199,0.375,28,28,1
200,0.375,22,22,4
201,0.375,27,27,25
202,0.375,35,35,8
203,0.375,29,29,6
204,0.375,20,20,3
205,0.375,48,48,48
206,0.375,33,33,9
207,0.375,17,17,4
208,0.375,42,0,0
209,0.375,33,33,10
210,0.375,34,34,29
211,0.375,39,10,4
212,0.375,33,33,4
213,0.375,27,27,3
214,0.375,12,12,12
215,0.375,26,0,0
216,0.375,38,38,19
217,0.375,28,28,7
218,0.375,31,5,3
219,0.375,27,27,3
220,0.375,49,49,5
221,0.375,32,32,24
222,0.375,16,16,4
223,0.375,42,42,6
224,0.375,24,24,2
225,0.375,34,34,34
226,0.375,34,0,33
227,0.375,18,18,3
228,0.375,36,36,2
229,0.375,26,26,5
230,0.375,23,23,1
231,0.375,36,36,36
232,0.375,28,28,5
233,0.375,27,27,1
234,0.375,31,3,2
235,0.375,28,5,0
236,0.375,25,0,0
237,0.375,29,29,6
238,0.375,28,15,0
239,0.375,34,34,20
240,0.375,43,6,4
241,0.375,30,4,3
242,0.375,28,28,25
243,0.375,27,25,26
244,0.375,31,31,31
245,0.375,35,6,0
246,0.375,29,29,8
247,0.375,37,5,2
248,0.375,25,25,13
249,0.375,33,21,4
