,lambd,p,k,k_mu
0,0.375,29,29,26
1,0.375,23,23,10
2,0.375,37,37,10
3,0.375,22,22,4
4,0.375,33,19,2
5,0.375,21,21,14
6,0.375,38,38,33
7,0.375,27,5,3
8,0.375,23,23,3
9,0.375,22,22,2
10,0.375,35,35,7
11,0.375,21,21,17
12,0.375,31,0,0
13,0.375,17,17,3
14,0.375,29,10,0
15,0.375,28,28,26
16,0.375,33,16,4
17,0.375,38,37,30
18,0.375,23,6,0
19,0.375,31,31,25
20,0.375,19,19,7
21,0.375,40,40,26
22,0.375,25,25,15
23,0.375,43,43,12
24,0.375,24,24,16
25,0.375,22,22,4
26,0.375,28,28,14
27,0.375,20,20,16
28,0.375,28,28,7
29,0.375,38,27,8
30,0.375,16,16,14
31,0.375,25,25,5
32,0.375,24,0,0
33,0.375,16,16,8
34,0.375,26,26,10
35,0.375,29,0,0
36,0.375,42,42,24
37,0.375,30,28,0
38,0.375,36,36,34
39,0.375,36,21,18
40,0.375,36,36,18
41,0.375,31,12,4
42,0.375,27,6,2
43,0.375,27,12,0
44,0.375,58,58,46
45,0.375,20,20,20
46,0.375,36,36,6
47,0.375,32,17,3
48,0.375,30,30,10
49,0.375,38,38,2
50,0.375,35,10,8
51,0.375,29,11,10
52,0.375,18,18,2
53,0.375,20,20,8
54,0.375,32,32,20
55,0.375,29,29,29
56,0.375,34,32,0
57,0.375,30,24,3
58,0.375,41,41,18
59,0.375,21,0,0
60,0.375,37,37,19
61,0.375,37,37,17
62,0.375,39,10,3
63,0.375,39,8,8
64,0.375,14,14,4
65,0.375,21,21,11
66,0.375,35,35,23
67,0.375,29,29,7
68,0.375,25,18,14
69,0.375,18,18,3
70,0.375,35,35,31
71,0.375,32,23,4
72,0.375,33,3,0
73,0.375,24,24,11
74,0.375,28,12,3
75,0.375,33,33,26
76,0.375,17,17,8
77,0.375,28,11,7
78,0.375,18,18,7
79,0.375,19,19,6
80,0.375,23,23,2
81,0.375,24,10,4
82,0.375,29,16,10
83,0.375,28,28,27
84,0.375,31,31,13
85,0.375,18,0,0
86,0.375,30,30,30
87,0.375,25,25,7
88,0.375,37,37,31
89,0.375,24,23,3
90,0.375,25,25,20
91,0.375,38,38,29
92,0.375,12,12,6
93,0.375,22,7,0
94,0.375,26,26,19
95,0.375,40,40,28
96,0.375,30,30,30
97,0.375,27,5,0
98,0.375,28,8,8
99,0.375,18,18,2
100,0.375,42,21,3
101,0.375,36,10,0
102,0.375,15,15,9
103,0.375,28,28,10
104,0.375,24,24,7
105,0.375,32,32,20
106,0.375,54,12,9
107,0.375,25,0,0
108,0.375,28,28,12
109,0.375,31,31,13
110,0.375,32,32,26
111,0.375,34,34,17
112,0.375,33,33,31
113,0.375,25,20,14
114,0.375,31,0,0
115,0.375,20,20,15
116,0.375,19,19,15
117,0.375,29,29,13
118,0.375,21,21,14
119,0.375,41,41,26
120,0.375,29,29,21
121,0.375,19,0,0
122,0.375,29,26,16
123,0.375,34,8,0
124,0.375,30,30,6
125,0.375,33,33,14
126,0.375,31,13,8
127,0.375,23,0,0
128,0.375,44,44,11
129,0.375,23,23,15
130,0.375,25,17,5
131,0.375,29,29,13
132,0.375,34,5,4
133,0.375,31,31,18
134,0.375,38,38,20
135,0.375,12,3,0
136,0.375,23,23,5
137,0.375,29,29,1
138,0.375,24,24,20
139,0.375,33,7,6
140,0.375,27,27,22
141,0.375,7,7,3
142,0.375,41,41,26
143,0.375,36,17,4
144,0.375,27,27,2
145,0.375,17,17,7
146,0.375,34,34,18
147,0.375,29,29,2
148,0.375,22,22,3
149,0.375,57,57,48
150,0.375,29,29,25
151,0.375,37,37,27
152,0.375,27,27,11
153,0.375,31,17,0
154,0.375,28,28,25
155,0.375,30,30,6
156,0.375,18,0,0
157,0.375,35,35,29
158,0.375,36,36,4
159,0.375,34,13,0
160,0.375,35,35,27
161,0.375,30,30,24
162,0.375,24,24,2
163,0.375,15,15,8
164,0.375,40,40,29
165,0.375,32,32,29
166,0.375,31,9,0
167,0.375,29,12,0
168,0.375,25,25,2
169,0.375,26,16,0
170,0.375,28,28,24
171,0.375,32,10,2
172,0.375,31,31,23
173,0.375,28,28,15
174,0.375,24,24,10
175,0.375,36,36,21
176,0.375,32,25,21
177,0.375,29,29,15
178,0.375,27,27,18
179,0.375,44,44,14
180,0.375,36,12,0
181,0.375,30,30,8
182,0.375,24,24,16
183,0.375,37,27,3
184,0.375,26,21,3
185,0.375,24,11,0
186,0.375,17,0,0
187,0.375,25,8,4
188,0.375,18,0,0
189,0.375,35,28,5
190,0.375,37,0,0
191,0.375,20,13,6
192,0.375,27,27,24
193,0.375,20,20,6
194,0.375,26,3,0
195,0.375,29,29,6
196,0.375,28,28,27
197,0.375,31,31,3
198,0.375,30,8,6
199,0.375,28,28,13
200,0.375,22,22,22
201,0.375,27,27,13
202,0.375,35,35,7
203,0.375,29,29,16
204,0.375,20,20,3
205,0.375,48,48,3
206,0.375,33,30,26
207,0.375,17,17,3
208,0.375,42,21,11
209,0.375,33,33,10
210,0.375,34,34,32
211,0.375,39,19,4
212,0.375,33,33,6
213,0.375,27,27,26
214,0.375,12,12,5
215,0.375,26,24,15
216,0.375,38,38,8
217,0.375,28,28,14
218,0.375,31,19,13
219,0.375,27,27,26
220,0.375,49,49,12
221,0.375,32,32,27
222,0.375,16,16,9
223,0.375,42,42,38
224,0.375,24,24,20
225,0.375,34,34,21
226,0.375,34,17,14
227,0.375,18,18,2
228,0.375,36,36,14
229,0.375,26,26,11
230,0.375,23,23,23
231,0.375,36,36,26
232,0.375,28,28,27
233,0.375,27,27,5
234,0.375,31,6,4
235,0.375,28,20,0
236,0.375,25,19,0
237,0.375,29,29,22
238,0.375,28,11,0
239,0.375,34,34,4
240,0.375,43,34,14
241,0.375,30,17,4
242,0.375,28,28,13
243,0.375,27,14,11
244,0.375,31,31,30
245,0.375,35,26,0
246,0.375,29,29,23
247,0.375,37,33,3
248,0.375,25,25,15
249,0.375,33,29,23
