,lambd,p,k,k_mu
0,0.375,64,64,58
1,0.375,64,64,31
2,0.375,64,16,7
3,0.375,64,14,4
4,0.375,64,22,7
5,0.375,64,31,16
6,0.375,64,34,43
7,0.375,64,64,47
8,0.375,64,16,7
9,0.375,64,64,21
10,0.375,64,52,8
11,0.375,64,64,33
12,0.375,64,64,26
13,0.375,64,64,64
14,0.375,64,33,14
15,0.375,64,64,9
16,0.375,64,64,22
17,0.375,64,62,33
18,0.375,64,13,7
19,0.375,64,10,5
20,0.375,64,12,3
21,0.375,64,42,24
22,0.375,64,37,5
23,0.375,64,32,5
24,0.375,64,21,4
25,0.375,64,46,23
26,0.375,64,64,5
27,0.375,64,29,11
28,0.375,64,64,11
29,0.375,64,64,40
30,0.375,64,34,15
31,0.375,64,55,12
32,0.375,64,64,21
33,0.375,64,64,30
34,0.375,64,21,8
35,0.375,64,57,17
36,0.375,64,16,6
37,0.375,64,14,3
38,0.375,64,64,6
39,0.375,64,64,64
40,0.375,64,64,7
41,0.375,64,20,9
42,0.375,64,50,22
43,0.375,64,64,13
44,0.375,64,64,25
45,0.375,64,37,19
46,0.375,64,28,13
47,0.375,64,64,59
48,0.375,64,16,8
49,0.375,64,10,3
50,0.375,64,35,26
51,0.375,64,24,11
52,0.375,64,17,5
53,0.375,64,26,8
54,0.375,64,64,63
55,0.375,64,31,11
56,0.375,64,12,5
57,0.375,64,41,32
58,0.375,64,43,26
59,0.375,64,40,21
60,0.375,64,40,14
61,0.375,64,31,10
62,0.375,64,7,4
63,0.375,64,30,13
64,0.375,64,64,33
65,0.375,64,64,22
66,0.375,64,64,64
67,0.375,64,8,4
68,0.375,64,14,7
69,0.375,64,60,2
70,0.375,64,12,7
71,0.375,64,54,8
72,0.375,64,12,3
73,0.375,64,64,45
74,0.375,64,64,14
75,0.375,64,62,31
76,0.375,64,64,60
77,0.375,64,13,4
78,0.375,64,47,18
79,0.375,64,16,2
80,0.375,64,64,47
81,0.375,64,64,55
82,0.375,64,4,2
83,0.375,64,58,10
84,0.375,64,64,35
85,0.375,64,20,7
86,0.375,64,9,3
87,0.375,64,9,3
88,0.375,64,28,11
89,0.375,64,64,12
90,0.375,64,11,6
91,0.375,64,10,4
92,0.375,64,33,6
93,0.375,64,41,5
94,0.375,64,64,60
95,0.375,64,64,28
96,0.375,64,64,11
97,0.375,64,26,19
98,0.375,64,64,16
99,0.375,64,64,9
100,0.375,64,64,49
101,0.375,64,29,17
102,0.375,64,64,64
103,0.375,64,36,3
104,0.375,64,33,15
105,0.375,64,31,9
106,0.375,64,35,5
107,0.375,64,64,17
108,0.375,64,11,8
