,lambd,p,k,k_mu
0,0.375,64,64,29
1,0.375,64,64,59
2,0.375,64,6,3
3,0.375,64,6,3
4,0.375,64,11,8
5,0.375,64,37,7
6,0.375,64,22,6
7,0.375,64,64,59
8,0.375,64,19,8
9,0.375,64,64,17
10,0.375,64,17,5
11,0.375,64,64,49
12,0.375,64,64,44
13,0.375,64,64,56
14,0.375,64,31,8
15,0.375,64,64,29
16,0.375,64,64,39
17,0.375,64,27,17
18,0.375,64,17,7
19,0.375,64,18,7
20,0.375,64,10,4
21,0.375,64,40,18
22,0.375,64,11,6
23,0.375,64,47,34
24,0.375,64,18,4
25,0.375,64,24,11
26,0.375,64,64,24
27,0.375,64,34,19
28,0.375,64,64,10
29,0.375,64,64,21
30,0.375,64,44,16
31,0.375,64,17,9
32,0.375,64,64,32
33,0.375,64,64,49
34,0.375,64,28,13
35,0.375,64,36,19
36,0.375,64,33,21
37,0.375,64,7,2
38,0.375,64,64,32
39,0.375,64,64,64
40,0.375,64,64,19
41,0.375,64,19,7
42,0.375,64,47,11
43,0.375,64,64,22
44,0.375,64,64,22
45,0.375,64,39,15
46,0.375,64,17,8
47,0.375,64,64,16
48,0.375,64,33,10
49,0.375,64,14,2
50,0.375,64,27,6
51,0.375,64,24,11
52,0.375,64,13,8
53,0.375,64,40,14
54,0.375,64,64,30
55,0.375,64,31,15
56,0.375,64,17,15
57,0.375,64,46,18
58,0.375,64,54,61
59,0.375,64,52,42
60,0.375,64,39,13
61,0.375,64,46,19
62,0.375,64,36,10
63,0.375,64,43,6
64,0.375,64,64,15
65,0.375,64,64,23
66,0.375,64,64,64
67,0.375,64,9,3
68,0.375,64,24,10
69,0.375,64,20,10
70,0.375,64,12,5
71,0.375,64,39,12
72,0.375,64,13,6
73,0.375,64,64,28
74,0.375,64,64,61
75,0.375,64,63,20
76,0.375,64,64,59
77,0.375,64,12,3
78,0.375,64,35,9
79,0.375,64,47,13
80,0.375,64,64,44
81,0.375,64,64,62
82,0.375,64,13,7
