,lambd,p,k,k_mu
0,0.125,64,64,40
1,0.125,64,64,22
2,0.125,64,17,10
3,0.125,64,12,7
4,0.125,64,24,17
5,0.125,64,24,21
6,0.125,64,27,21
7,0.125,64,64,38
8,0.125,64,13,8
9,0.125,64,64,49
10,0.125,64,29,12
11,0.125,64,64,40
12,0.125,64,64,22
13,0.125,64,64,36
14,0.125,64,54,46
15,0.125,64,64,55
16,0.125,64,64,24
17,0.125,64,42,21
18,0.125,64,20,17
19,0.125,64,26,18
20,0.125,64,19,10
21,0.125,64,48,26
22,0.125,64,53,14
23,0.125,64,64,49
24,0.125,64,29,10
25,0.125,64,63,32
26,0.125,64,47,41
27,0.125,64,57,50
28,0.125,64,15,10
29,0.125,64,64,64
30,0.125,64,56,33
31,0.125,64,19,15
32,0.125,64,64,60
33,0.125,64,64,53
34,0.125,64,16,14
35,0.125,64,64,47
36,0.125,64,17,8
37,0.125,64,15,10
38,0.125,64,22,19
39,0.125,64,64,58
40,0.125,64,64,15
41,0.125,64,51,36
42,0.125,64,63,53
43,0.125,64,64,64
44,0.125,64,64,58
45,0.125,64,58,39
46,0.125,64,21,16
47,0.125,64,64,23
48,0.125,64,39,26
49,0.125,64,17,15
50,0.125,64,18,10
51,0.125,64,46,15
52,0.125,64,12,10
53,0.125,64,63,33
54,0.125,64,28,11
55,0.125,64,36,11
56,0.125,64,21,15
57,0.125,64,40,39
58,0.125,64,64,27
59,0.125,64,63,50
60,0.125,64,64,14
61,0.125,64,36,23
62,0.125,64,58,21
63,0.125,64,35,13
64,0.125,64,19,11
65,0.125,64,64,49
66,0.125,64,64,46
67,0.125,64,11,8
68,0.125,64,10,8
69,0.125,64,23,14
70,0.125,64,11,7
71,0.125,64,53,26
72,0.125,64,20,18
73,0.125,64,29,18
74,0.125,64,64,37
75,0.125,64,42,26
76,0.125,64,63,42
77,0.125,64,12,8
78,0.125,64,32,18
79,0.125,64,35,11
80,0.125,64,64,12
81,0.125,64,17,9
82,0.125,64,14,9
83,0.125,64,43,12
84,0.125,64,64,63
85,0.125,64,34,22
86,0.125,64,15,10
87,0.125,64,18,12
88,0.125,64,64,37
89,0.125,64,24,21
90,0.125,64,63,16
91,0.125,64,20,12
92,0.125,64,30,27
93,0.125,64,51,15
94,0.125,64,64,23
95,0.125,64,64,30
96,0.125,64,16,10
97,0.125,64,10,8
98,0.125,64,64,23
99,0.125,64,64,17
100,0.125,64,60,39
101,0.125,64,20,15
102,0.125,64,57,40
103,0.125,64,19,12
104,0.125,64,56,15
105,0.125,64,34,21
106,0.125,64,41,20
107,0.125,64,64,34
108,0.125,64,18,13
109,0.125,64,35,20
110,0.125,64,19,13
111,0.125,64,64,54
112,0.125,64,17,13
113,0.125,64,55,20
114,0.125,64,64,54
115,0.125,64,64,56
116,0.125,64,53,34
117,0.125,64,64,24
118,0.125,64,31,25
119,0.125,64,64,40
120,0.125,64,64,51
121,0.125,64,64,30
122,0.125,64,64,12
123,0.125,64,64,57
124,0.125,64,19,13
125,0.125,64,64,64
126,0.125,64,64,62
127,0.125,64,64,18
128,0.125,64,48,34
129,0.125,64,64,34
130,0.125,64,64,31
131,0.125,64,44,18
132,0.125,64,24,19
133,0.125,64,64,61
134,0.125,64,64,25
135,0.125,64,64,30
136,0.125,64,64,47
137,0.125,64,22,13
138,0.125,64,38,24
139,0.125,64,14,10
140,0.125,64,42,39
141,0.125,64,64,24
142,0.125,64,17,12
143,0.125,64,16,12
144,0.125,64,24,11
145,0.125,64,32,16
146,0.125,64,64,28
147,0.125,64,17,12
148,0.125,64,27,13
149,0.125,64,64,31
150,0.125,64,64,47
151,0.125,64,13,10
152,0.125,64,64,51
153,0.125,64,13,11
154,0.125,64,28,20
155,0.125,64,16,9
156,0.125,64,26,12
157,0.125,64,21,10
158,0.125,64,20,14
159,0.125,64,64,53
160,0.125,64,14,7
161,0.125,64,15,10
162,0.125,64,64,48
163,0.125,64,54,26
164,0.125,64,9,7
165,0.125,64,64,16
166,0.125,64,64,24
167,0.125,64,64,35
168,0.125,64,64,52
169,0.125,64,9,8
170,0.125,64,64,24
171,0.125,64,12,7
172,0.125,64,34,16
173,0.125,64,64,24
174,0.125,64,31,15
175,0.125,64,64,32
176,0.125,64,9,8
177,0.125,64,64,10
178,0.125,64,56,48
179,0.125,64,48,21
180,0.125,64,64,64
181,0.125,64,30,22
182,0.125,64,11,6
183,0.125,64,13,9
184,0.125,64,26,15
185,0.125,64,64,47
186,0.125,64,12,10
187,0.125,64,64,45
188,0.125,64,21,16
189,0.125,64,34,19
190,0.125,64,59,40
191,0.125,64,22,18
192,0.125,64,64,47
193,0.125,64,64,64
194,0.125,64,23,14
195,0.125,64,52,19
196,0.125,64,29,26
197,0.125,64,34,18
198,0.125,64,14,10
199,0.125,64,19,16
200,0.125,64,59,20
201,0.125,64,64,35
202,0.125,64,52,48
203,0.125,64,64,30
204,0.125,64,64,24
205,0.125,64,64,23
206,0.125,64,62,17
207,0.125,64,64,49
208,0.125,64,64,40
209,0.125,64,0,0
210,0.125,64,64,51
211,0.125,64,27,8
212,0.125,64,64,36
213,0.125,64,15,48
214,0.125,64,64,63
215,0.125,64,53,15
216,0.125,64,64,27
217,0.125,64,53,26
218,0.125,64,34,16
219,0.125,64,33,16
220,0.125,64,64,58
221,0.125,64,23,17
222,0.125,64,64,51
223,0.125,64,33,12
224,0.125,64,11,7
225,0.125,64,64,26
226,0.125,64,64,18
227,0.125,64,64,44
228,0.125,64,21,16
229,0.125,64,27,10
230,0.125,64,64,15
231,0.125,64,60,14
232,0.125,64,17,14
233,0.125,64,64,14
234,0.125,64,64,48
235,0.125,64,64,20
236,0.125,64,54,17
237,0.125,64,14,11
238,0.125,64,15,11
239,0.125,64,64,29
240,0.125,64,64,31
241,0.125,64,64,37
242,0.125,64,30,15
243,0.125,64,38,15
244,0.125,64,58,20
245,0.125,64,64,51
246,0.125,64,44,14
247,0.125,64,64,14
248,0.125,64,22,16
249,0.125,64,25,15
